line number,source_type,year,customs_region,customs_office,partner,Export_Import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,value_minus_unit_val_x_qty,,,filepath,source,sheet,value_total,value_sub_total₁,value_sub_total₂,value_sub_total₃,data_collector,unverified,remarks,,absurd_observation,trade defici,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Bray sec,,,4340,,62000,quintal,"0,07",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Chanvre,,,400,,2000,quintal,"0,2",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Feuillards,,,150,,200,faix,"0,75",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Fer en barres,,,2625,,21000,livres,"0,125",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Goudron,,,"202,1",1,27,baril,"7,5","-0,400000000000006",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,goudron,,,276,2,6900,quintal,"0,04",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Galipot,,,110,,1000,livres,"0,11",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Huile de terebenthine,,,209,,1900,livres,"0,11",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Liege,,,4200,,14000,quintal,"0,3",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Membrures de Noyer de 10 pieds de long et d’un pied en carré,,,144,,8,douzaine,18,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Merrain ganivelles,,,600,,4000,pieces,"0,15",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Peaux de chevreaux,,,"42304,1",,9954,douzaine,"4,25","-0,400000000001455",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Planches de noyer de six pieds de long et de deux pieds d’épaisseur,,,6600,,527,pieces,"12,5","12,5",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Cartes à jouer,,,1080,,72,grosse,15,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Papier blanc,,,"7661,1",,1393,rames,"5,5","-0,399999999999636",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Savon,,,190,,500,livres,"0,38",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Toile de saintonge commune,,,240,,400,aulne,"0,6",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Tables d'ardoise,,,108,,18,pieces,6,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Amandes,,,"2041,12",,6380,livres,"0,3","127,12",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Bled seigle,,,2200,,800,noisseaux,"2,75",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Cacao,,,12260,,24520,livres,"0,5",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Chataignes,,,4428,,984,boisseaux,"4,5",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Capres,,,240,,1000,livres,"0,24",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Huitres marrinées,,,135,,900,livres,"0,15",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Jambon,,,54,,180,livres,"0,3",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Miel,,,9828,,72800,livres,"0,135",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,2000lp par tonneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Prunes de brignoles,,,378,,1050,livres,"0,36",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Pruneaux,,,152726,,2545445,livres,"0,06","-0,699999999982538",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Hollande,Export,Raisin Sec,,,133,,900,livres,"0,15",-2,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Sucre blanc,,,31839,,93645,livres,"0,34","-0,30000000000291",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Sucre terré,,,"11737,12",,36645,livres,"0,32","10,7200000000012",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Sucre brut,,,"147474,5",,242710,livres,"0,6","1848,5",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Sirops de sucres,,,"43477,1",,579700,livres,"0,075","-0,400000000001455",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Eau de vie,,,704470,,10838,barriques,65,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Eau de la Reine de Hongrie,,,429,,660,livres,"0,65",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Liqueurs,,,360,,600,livres,"0,6",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Vin de ville,,,1571640,,18710,tonneaux,84,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Vin de haut,,,1347030,,14967,tonneaux,90,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,3lp par v donc 28v=84 lp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Vin de Blaye,,,17910,,398,tonneaux,54,-3582,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Vinaigre,,,15480,,172,tonneaux,90,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Bray sec,,,"13868,15",,198125,livres,"0,07","-0,600000000002183",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Barres de buy,,,1000,,4000,livres,"0,25",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,"5 sous le cru=0,07 lp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Écailles de tortue,,,1700,,400,livres,"4,25",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,graine de jardin,,,"25043,15",,20035,livres,"1,25","-0,599999999998545",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,graine de moutarde,,,"84,1",,13,boisseaux,"6,5","-0,400000000000006",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,graine de Lin,,,56290,1,433,tonneaux,130,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,graine de lin,,,3575,2,550,boisseaux,"6,1",220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,graine de genievre,,,200,,25,boisseaux,8,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,galipot,,,195,1,13,barils,15,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,galipot,,,1500,2,12500,livres,"0,12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,huile de Noix,,,90,,600,livres,"0,15",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,huile de Terebantine,,,220,,2000,livres,"0,11",0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Indigo,,,"4410,5",,1537,livres,"3,25","-584,75",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Lie de vin seiche,,,"99,15",,13300,livres,"0,0071","4,72",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,Export,Liège,,,8998,,32100,livres,"0,28",10,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
