numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Unverified
30,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,barbançons de terre,Hollande,"1,130.00",livres,0.2000000,,,absence de prix,1
31,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,barils vuides,Hollande,160.00,nombre,1.0000000,,,absence de prix,1
32,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,barres d'anspects,Hollande,600.00,nombre,0.3000000,,,absence de prix,1
33,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bassins de cuivre,Hollande,"25,522.00",livres,1.1000000,,,absence de prix,1
34,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,batons de sapin,Hollande,"4,170.00",livres,0.2500000,,,absence de prix,1
35,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bayette,Hollande,29.00,pieces,62.0000000,,,absence de prix,1
36,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bayette,Hollande,315.00,aunes,5.0000000,,,absence de prix,1
37,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bœuf salé,Hollande,"4,005.00",barils,21.0000000,,,absence de prix,1
38,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bœuf salé,Hollande,316.00,tierçons,91.0000000,,,absence de prix,1
39,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,beure,Hollande,"260,222.00",livres,0.2800000,,,absence de prix,1
40,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,biere,Hollande,"1,090.00",barriques,25.0000000,,,absence de prix,1
41,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,boites de sapin peintes,Hollande,190.00,livres,0.1500000,,,absence de prix,1
42,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bois de brezil,Hollande,"61,275.00",livres,0.1500000,,,absence de prix,1
43,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bois de caliatour,Hollande,590.00,livres,0.2800000,,,absence de prix,1
44,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bois de campêche en buche,Hollande,"160,750.00",livres,0.1500000,,,absence de prix,1
45,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,1,bois de campêche rapé,Hollande,"3,250.00",livres,0.1900000,,,absence de prix,1
46,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bois de fermnanbourg,Hollande,150.00,livres,0.4600000,,,absence de prix,1
47,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bois d'inde en buches,Hollande,"15,750.00",livres,0.1300000,,,absence de prix,1
48,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bois d'inde rapé,Hollande,"7,775.00",livres,0.1500000,,,absence de prix,1
49,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bois de teinture en buches,Hollande,"85,000.00",livres,0.1500000,,,absence de prix,1
50,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bois de teinture rapé,Hollande,"7,600.00",livres,0.1700000,,,absence de prix,1
51,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,boulange,Hollande,350.00,pieces,8.0000000,,,absence de prix,1
52,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,boulets de canon,Hollande,"47,500.00",livres,1.2500000,,,absence de prix,1
53,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,bouteilles de verre,Hollande,450.00,livres,0.0900000,,,absence de prix,1
54,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,brandins,Hollande,50.00,pieces,7.0000000,,,absence de prix,1
55,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,brenle ?,Hollande,323.00,pieces,5.5000000,,,absence de prix,1
56,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,brosserie,Hollande,"3,445.00",livres,1.0000000,,,absence de prix,1
57,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cabilleaux,Hollande,40.00,barils,30.0000000,,,absence de prix,1
58,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cabilleaux,Hollande,"103,785.00",livres,0.1500000,,,absence de prix,1
59,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,caffetieres de metail,Hollande,12.00,livres,1.5000000,,,absence de prix,1
60,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,camphre,Hollande,15.00,livres,11.0000000,,,absence de prix,1
61,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,canette,Hollande,"3,575.00",livres,5.0000000,,,absence de prix,1
62,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,canettes de grez,Hollande,"4,263.00",nombre,0.3000000,,,absence de prix,1
63,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,canettes de grez,Hollande,"3,450.00",livres,0.0700000,,,absence de prix,1
64,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cannes a main,Hollande,47.00,livres,10.0000000,,,absence de prix,1
65,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,canons de fer,Hollande,"10,535.00",livres,0.2000000,,,absence de prix,1
66,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,caves garnies,Hollande,598.00,9 flacons,4.0000000,,,absence de prix,1
67,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,caves garnies,Hollande,"1,836.00",6 flacons,0.0500000,,,absence de prix,1
68,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,caves garnies,Hollande,"7,177.00",livres,0.2000000,,,absence de prix,1
69,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cauris,Hollande,"10,000.00",livres,0.7000000,,,absence de prix,1
70,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,ceruze,Hollande,"17,425.00",livres,0.2000000,,,absence de prix,1
71,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chaises de commodité,Hollande,75.00,pieces,6.0000000,,,absence de prix,1
72,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chasselas,Hollande,125.00,pieces,1.0500000,,,absence de prix,1
73,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chandelle,Hollande,"5,169.00",livres,0.4500000,,,absence de prix,1
74,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,charbon de terre,Hollande,395.00,bariques,10.0000000,,,absence de prix,1
75,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chaudieres de fonte,Hollande,"1,200.00",livres,0.1200000,,,absence de prix,1
76,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chauffe pieds,Hollande,51.00,nombre,0.7500000,,,absence de prix,1
77,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chevrons de sapin,Hollande,32.00,nombre,0.7000000,,,absence de prix,1
78,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,chitte,Hollande,150.00,pieces,30.0000000,,,absence de prix,1
79,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cinabre,Hollande,50.00,livres,5.0000000,,,absence de prix,1
80,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,clous de fer,Hollande,"22,750.00",livres,0.2200000,,,absence de prix,1
81,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,coffres forts,Hollande,4.00,nombre,90.0000000,,,absence de prix,1
82,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,colle forte,Hollande,"4,576.00",livres,0.4000000,,,absence de prix,1
83,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,colle de poisson,Hollande,200.00,livres,2.5000000,,,absence de prix,1
84,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,commodes de sapin vernier,Hollande,10.00,nombre,32.0000000,,,absence de prix,1
85,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,coroots,Hollande,"3,750.00",pieces,3.5000000,,,absence de prix,1
86,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,couperose verte,Hollande,"144,300.00",livres,0.0800000,,,absence de prix,1
87,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,coupis,Hollande,150.00,pieces,18.0000000,,,absence de prix,1
88,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,couteaux a guaisnes,Hollande,"1,070.00",livres,1.7500000,,,absence de prix,1
89,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,couteaux communs,Hollande,"6,827.00",douzaines,1.8000000,,,absence de prix,1
90,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,couteaux communs,Hollande,"5,555.00",livres,1.1000000,,,absence de prix,1
91,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,coutil,Hollande,302.00,aunes,2.0000000,,,absence de prix,1
92,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,crapodines de fonte,Hollande,"3,940.00",livres,1.3000000,,,absence de prix,1
93,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,creusets,Hollande,382.00,livres,0.5000000,,,absence de prix,1
94,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cricks de fer,Hollande,5.00,nombre,30.0000000,,,absence de prix,1
95,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cuirs verts en poil,Hollande,156.00,pieces,18.0000000,,,absence de prix,1
96,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cuivre en chaudrons,Hollande,"9,611.00",livres,1.2500000,,,absence de prix,1
97,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cuivre jaune brut,Hollande,"4,945.00",livres,1.0500000,,,absence de prix,1
98,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,cuivre rouge en feüilles,Hollande,973.00,livres,1.2500000,,,absence de prix,1
99,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,eau de genievre,Hollande,192.00,livres,0.0000000,,,absence de prix,1
100,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,eguille a coudre,Hollande,22.00,livres,8.0000000,,,absence de prix,1
101,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,eguille a voiles,Hollande,51.00,livres,6.0000000,,,absence de prix,1
102,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,epars,Hollande,567.00,nombre,1.2000000,,,absence de prix,1
103,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,epicerie fine,Hollande,50.00,livres,8.0000000,,,absence de prix,1
104,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,essence,Hollande,8.00,livres,0.0000000,,,absence de prix,1
105,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,etoupes,Hollande,"2,272.00",livres,0.1000000,,,absence de prix,1
106,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,2,fayance,Hollande,"15,629.00",livres,0.3000000,,,absence de prix,1
107,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fer en barres,Hollande,"88,625.00",livres,0.1250000,,,absence de prix,1
108,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fer en cercles,Hollande,"36,600.00",livres,0.1400000,,,absence de prix,1
109,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fer de fonte ouvré,Hollande,"7,275.00",livres,0.2700000,,,absence de prix,1
110,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fer ouvré,Hollande,"27,388.00",livres,0.2000000,,,absence de prix,1
111,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,ferrement a moulin a sucre,Hollande,"26,400.00",livres,0.3200000,,,absence de prix,1
112,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fers de nigres ?,Hollande,96.00,paires,1.5000000,,,absence de prix,1
113,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,feuillards de fer,Hollande,"65,400.00",feuillards,2.0000000,,,absence de prix,1
114,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,feuillards de fer,Hollande,"30,425.00",livres,0.1400000,,,absence de prix,1
115,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,ficelle,Hollande,806.00,livres,0.6000000,,,absence de prix,1
116,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fil de fer,Hollande,"16,451.00",livres,0.8000000,,,absence de prix,1
117,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fil de laton,Hollande,67.00,livres,1.5000000,,,absence de prix,1
118,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fil a voile,Hollande,412.00,livres,0.8000000,,,absence de prix,1
119,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fleches et compar,Hollande,60.00,livres,1.7000000,,,absence de prix,1
120,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fleches pour la mer,Hollande,5.00,douzaines,100.0000000,,,absence de prix,1
121,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fottes,Hollande,70.00,pieces,15.0000000,,,absence de prix,1
122,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,fromage,Hollande,"316,766.00",livres,0.2400000,,,absence de prix,1
123,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,garas,Hollande,400.00,pieces,13.0000000,,,absence de prix,1
124,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,garence,Hollande,"16,430.00",livres,0.4100000,,,absence de prix,1
125,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,gaudron,Hollande,443.00,barils,22.0000000,,,absence de prix,1
126,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,genievre,Hollande,80.00,livres,0.2500000,,,absence de prix,1
127,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,geroffle,Hollande,"3,630.00",livres,8.0000000,,,absence de prix,1
128,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,graine a chapelet,Hollande,900.00,livres,6.0000000,,,absence de prix,1
129,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,graine de choux,Hollande,40.00,livres,1.4000000,,,absence de prix,1
130,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,gruau,Hollande,29.00,barriques,68.0000000,,,absence de prix,1
131,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,huinée bleuë,Hollande,20.00,pieces,18.0000000,,,absence de prix,1
132,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,guingan,Hollande,363.00,pieces,7.0000000,,,absence de prix,1
133,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,harangs blancs,Hollande,88.00,barils,16.0000000,,,absence de prix,1
134,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,harangs forts,Hollande,30.00,barils,18.0000000,,,absence de prix,1
135,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,horloges de sables,Hollande,180.00,livres,0.6000000,,,absence de prix,1
136,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,huile de baleine,Hollande,44.00,bariques,115.0000000,,,absence de prix,1
137,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,huile de baleine,Hollande,"142,300.00",livres,0.2500000,,,absence de prix,1
138,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,huile de canelle,Hollande,6.00,livres,0.0000000,,,absence de prix,1
139,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,huile de lin,Hollande,6.00,barriques,140.0000000,,,absence de prix,1
140,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,huile de lin,Hollande,"6,360.00",livres,0.3000000,,,absence de prix,1
141,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,huile d'olive,Hollande,"9,619.00",livres,0.4500000,,,absence de prix,1
142,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,jambons,Hollande,"6,542.00",livres,0.6000000,,,absence de prix,1
143,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,indienne,Hollande,501.00,pieces,17.0000000,,,absence de prix,1
144,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,liens de fil,Hollande,"1,207.00",livres,2.2500000,,,absence de prix,1
145,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,limeneas,Hollande,"1,976.00",pieces,18.0000000,,,absence de prix,1
146,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,limes,Hollande,851.00,livres,0.4000000,,,absence de prix,1
147,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,lin cru,Hollande,"23,703.00",livres,0.1800000,,,absence de prix,1
148,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,lin peigné,Hollande,"7,027.00",livres,0.3000000,,,absence de prix,1
149,Hasna,AD 44 C706,Local/Nantes/Nantes – Imports – 1744.csv,Local,1744,Imports,Nantes,3,linge vieux,Hollande,900.00,livres,0.7500000,,,absence de prix,1
