line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
11,Local,1753,Nantes,,Angleterre,Imports,Cuirs en poil,,,,,4915,pièces,18,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
12,Local,1753,Nantes,,Angleterre,Imports,Farine,,,,,13,Sack,25,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
13,Local,1753,Nantes,,Angleterre,Imports,Fromage commun,,,,,12507,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
14,Local,1753,Nantes,,Angleterre,Imports,Grain,,,,,740,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
15,Local,1753,Nantes,,Angleterre,Imports,Laine d'Angleterre,,,,,62749,livres,1.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
16,Local,1753,Nantes,,Angleterre,Imports,Laine peinée,,,,,34140,livres,1.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
17,Local,1753,Nantes,,Angleterre,Imports,Laine en toison,,,,,211,livres,0.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,1,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
18,Local,1753,Nantes,,Angleterre,Imports,Langues de bœuf,,,,,62,barils,35,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
19,Local,1753,Nantes,,Angleterre,Imports,Langues de bœuf,,,,,10,frequins,14,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
20,Local,1753,Nantes,,Angleterre,Imports,Langues de bœuf,,,,,9,tierçons,42,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
21,Local,1753,Nantes,,Angleterre,Imports,Langues de bœuf,,,,,3950,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
22,Local,1753,Nantes,,Angleterre,Imports,Lard,,,,,409,barils,22,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
23,Local,1753,Nantes,,Angleterre,Imports,Lard,,,,,36,frequins,8,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
24,Local,1753,Nantes,,Angleterre,Imports,Moellle de beouf,,,,,174,livres,0.35,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
25,Local,1753,Nantes,,Angleterre,Imports,Orge,,,,,298,tonneaux,70,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
26,Local,1753,Nantes,,Angleterre,Imports,Patates,,,,,8,bariques,5,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
27,Local,1753,Nantes,,Angleterre,Imports,Patates,,,,,6,pièces,10,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
28,Local,1753,Nantes,,Angleterre,Imports,Plomb en saumon,,,,,61230,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
29,Local,1753,Nantes,,Angleterre,Imports,Suif,,,,,25,frequins,17.5,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
30,Local,1753,Nantes,,Angleterre,Imports,Suif,,,,,34450,livres,0.35,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
31,Local,1753,Nantes,,Danemark,Imports,Avirons,,,,,160,pièces,3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
32,Local,1753,Nantes,,Danemark,Imports,Chanvre cru,,,,,59597,livres,0.18,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
33,Local,1753,Nantes,,Danemark,Imports,Cloux de fer,,,,,2362,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
34,Local,1753,Nantes,,Danemark,Imports,Cuivre Rouge,,,,,1627,livres,1.3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
35,Local,1753,Nantes,,Danemark,Imports,Douelles de sapin,,,,,816,pièces,1,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
36,Local,1753,Nantes,,Danemark,Imports,Esparts,,,,,316,pièces,1.5,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
37,Local,1753,Nantes,,Danemark,Imports,Fer en barres,,,,,49602,livres,0.14,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
38,Local,1753,Nantes,,Danemark,Imports,Matreaux,,,,,156,pièces,8,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
39,Local,1753,Nantes,,Danemark,Imports,Matreaux de 45 à 50 pieds,,,,,6,pièces,48,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
40,Local,1753,Nantes,,Danemark,Imports,Planches de sapin ordinaires,,,,,7845,pièces,0.5,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
41,Local,1753,Nantes,,Danemark,Imports,Planches de sapin de 8 à 9 pieds,,,,,44049,pièces,0.6,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
42,Local,1753,Nantes,,Danemark,Imports,Planches de sapin de 9 à 11 pieds,,,,,23708,pièces,0.75,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
43,Local,1753,Nantes,,Danemark,Imports,Demi planches de sapin,,,,,2639,pièces,0.5,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
44,Local,1753,Nantes,,Danemark,Imports,Bouts de sapin,,,,,700,pièces,0.15,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
45,Local,1753,Nantes,,Danemark,Imports,Toille à voile,,,,,6080,aunes,1.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
46,Local,1753,Nantes,,Danemark,Imports,Vin de rhin,,,,,5550,livres,,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,la valeur unitaire est donnée à 150 livres la barique,0,,,,,,,,,
47,Local,1753,Nantes,,Espagne,Imports,Avirons,,,,,200,traques,3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
48,Local,1753,Nantes,,Espagne,Imports,Citrons verts,,,,,8000,pièces,10,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
49,Local,1753,Nantes,,Espagne,Imports,Fer en barres,,,,,737651,livres,0.14,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
50,Local,1753,Nantes,,Espagne,Imports,Laine d'espagne,,,,,390781,livres,1.5,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
51,Local,1753,Nantes,,Espagne,Imports,Meules à eguiser,,,,,115,pièces,6.5,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,valeur unitaire donnée comme un intervalle 3-10 livres,0,,,,,,,,,
52,Local,1753,Nantes,,Espagne,Imports,Ocre,,,,,280,livres,0.06,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
53,Local,1753,Nantes,,Espagne,Imports,Vins D'Espagne,,,,,1,barique,125,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
54,Local,1753,Nantes,,Espagne,Imports,Vins D'Espagne,,,,,330,pots,2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
55,Local,1753,Nantes,,Espagne,Imports,Vin de rancio,,,,,2,Barique,150,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
56,Local,1753,Nantes,,Hollande,Imports,Acier,,,,,39191,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
57,Local,1753,Nantes,,Hollande,Imports,Aiguilles,,,,,7524,livres,3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
58,Local,1753,Nantes,,Hollande,Imports,Alun,,,,,10000,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
59,Local,1753,Nantes,,Hollande,Imports,Ambre jaune,,,,,25,livres,2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
60,Local,1753,Nantes,,Hollande,Imports,Amidon,,,,,62046,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
61,Local,1753,Nantes,,Hollande,Imports,Anabas,,,,,40000,piece,25,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
62,Local,1753,Nantes,,Hollande,Imports,Ancres de fer,,,,,4100,livres,0.24,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
63,Local,1753,Nantes,,Hollande,Imports,Argens vif,,,,,1300,livres,5,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
64,Local,1753,Nantes,,Hollande,Imports,Artichaux,,,,,500,livres,0.6,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
65,Local,1753,Nantes,,Hollande,Imports,Avoine,,,,,415,Tonneaux,80,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
66,Local,1753,Nantes,,Hollande,Imports,Azur,,,,,18880,livres,0.75,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
67,Local,1753,Nantes,,Hollande,Imports,Bajutapeau,,,,,266,pièces,22,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
68,Local,1753,Nantes,,Hollande,Imports,Baleine coupée,,,,,4013,livres,3.75,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
69,Local,1753,Nantes,,Hollande,Imports,Baleine en fanon,,,,,5252,livres,3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
70,Local,1753,Nantes,,Hollande,Imports,Barbançons de grez,,,,,4849,livres,0.15,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
71,Local,1753,Nantes,,Hollande,Imports,Batons à lave place,,,,,215,douzaines,3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
72,Local,1753,Nantes,,Hollande,Imports,Batons à lave place,,,,,350,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
73,Local,1753,Nantes,,Hollande,Imports,Bœuf salé,,,,,50,Baril,24,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
74,Local,1753,Nantes,,Hollande,Imports,Beure,,,,,160,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
75,Local,1753,Nantes,,Hollande,Imports,Bierre,,,,,431,Barique,15,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
76,Local,1753,Nantes,,Hollande,Imports,Blanc de baleine,,,,,50,livres,2.5,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
77,Local,1753,Nantes,,Hollande,Imports,Bled fromen,,,,,231,tonneaux,180,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
78,Local,1753,Nantes,,Hollande,Imports,Bled seigle,,,,,683,tonneaux,90,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
79,Local,1753,Nantes,,Hollande,Imports,Bois de brezil,,,,,1010,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
80,Local,1753,Nantes,,Hollande,Imports,Bois de campeche,,,,,1331,livres,0.15,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
81,Local,1753,Nantes,,Hollande,Imports,Bois de fernambourg,,,,,2913,livres,0.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
82,Local,1753,Nantes,,Hollande,Imports,Bois de flemouk,,,,,680,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
83,Local,1753,Nantes,,Hollande,Imports,Bois jaune,,,,,1631,livres,0.15,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
84,Local,1753,Nantes,,Hollande,Imports,Bois d'inde en buches,,,,,17403,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
85,Local,1753,Nantes,,Hollande,Imports,Bois d'inde rapée,,,,,34707,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
86,Local,1753,Nantes,,Hollande,Imports,Bois de sainte marthe,,,,,962,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
87,Local,1753,Nantes,,Hollande,Imports,Bois de sandal en buches,,,,,26605,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
88,Local,1753,Nantes,,Hollande,Imports,Bois de sandal moulu,,,,,9847,livres,0.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
89,Local,1753,Nantes,,Hollande,Imports,Bois à teindre moulu,,,,,8692,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
90,Local,1753,Nantes,,Hollande,Imports,Borax,,,,,206,livres,6,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
91,Local,1753,Nantes,,Hollande,Imports,Bouteilles de verre,,,,,1412,livres,0.2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
92,Local,1753,Nantes,,Hollande,Imports,Brosserie,,,,,1410,livres,1,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
93,Local,1753,Nantes,,Hollande,Imports,Cabarets Vernis,,,,,12,pièces,6,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
94,Local,1753,Nantes,,Hollande,Imports,Cadenats,,,,,184,livres,0.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
95,Local,1753,Nantes,,Hollande,Imports,Caffetierres de cuivre rouge,,,,,36,pièces,1.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
96,Local,1753,Nantes,,Hollande,Imports,Caffetierres d'etain,,,,,13,pièces,1.2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
97,Local,1753,Nantes,,Hollande,Imports,Cannettes de grez,,,,,25540,livres,,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,valeur unitaire manquante,0,,,,,,,,,
98,Local,1753,Nantes,,Hollande,Imports,Cannettes de grez,,,,,1500,pièces,0.2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
99,Local,1753,Nantes,,Hollande,Imports,Caves garnies de 6 flacons,,,,,1079,pièces,4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
100,Local,1753,Nantes,,Hollande,Imports,Caves garnies de 9 flacons,,,,,350,pièces,8,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
101,Local,1753,Nantes,,Hollande,Imports,Caves garnies,,,,,15022,livres,0.45,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
102,Local,1753,Nantes,,Hollande,Imports,Cendre gravelée,,,,,213,livres,1.75,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
103,Local,1753,Nantes,,Hollande,Imports,Ceruse,,,,,1121,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
104,Local,1753,Nantes,,Hollande,Imports,Chair fumée,,,,,25,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
105,Local,1753,Nantes,,Hollande,Imports,Chaises de commodités,,,,,135,pièces,6,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
106,Local,1753,Nantes,,Hollande,Imports,Chanvre cru,,,,,143960,livres,0.18,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
107,Local,1753,Nantes,,Hollande,Imports,Charbon de terre,,,,,733,Barique,10,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
108,Local,1753,Nantes,,Hollande,Imports,Chasselas,,,,,260,piece,24,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
109,Local,1753,Nantes,,Hollande,Imports,Chausse pied,,,,,194,pièces,0.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
110,Local,1753,Nantes,,Hollande,Imports,Graines de choufleur,,,,,8,livres,1.2,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,"la marchandise est chou fleur et le prix indique "" si c'est la graine """,0,,,,,,,,,
111,Local,1753,Nantes,,Hollande,Imports,Cloux de fer,,,,,14692,livres,0.3,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
112,Local,1753,Nantes,,Hollande,Imports,Cocos,,,,,30200,livres,0.6,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
113,Local,1753,Nantes,,Hollande,Imports,Coffres de fer,,,,,7,pièces,120,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
114,Local,1753,Nantes,,Hollande,Imports,Cordages,,,,,27952,livres,0.25,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
115,Local,1753,Nantes,,Hollande,Imports,Corne,,,,,2000,feuilles,0.6,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
116,Local,1753,Nantes,,Hollande,Imports,Cornichons,,,,,12,livres,0.4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
117,Local,1753,Nantes,,Hollande,Imports,Coroos,,,,,2000,piece,4,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
118,Local,1753,Nantes,,Hollande,Imports,Couperoze,,,,,22500,livres,0.08,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
119,Local,1753,Nantes,,Hollande,Imports,Coutteaux flamands,,,,,3227,douzaines,1.5,sources/Local/AD44_C716_Nantes_Imports_1753.csv,AD44 C716,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,
