marchandises_simplification,provenance_nord_américaine,details_provenance
cachou maron,Hors Amérique du Nord,Indes
café,Hors Amérique du Nord,
café avarié,Hors Amérique du Nord,
café des Indes,Hors Amérique du Nord,Indes
café du Levant,Hors Amérique du Nord,Levant
café en parchemin,Hors Amérique du Nord,
café trié,Hors Amérique du Nord,
cahouannes,Hors Amérique du Nord,
caisse,Hors Amérique du Nord,
camphre,Hors Amérique du Nord,
cane,Hors Amérique du Nord,antilles
canefice,Hors Amérique du Nord,Indes
caneficier,Hors Amérique du Nord,Indes
cannelle,Hors Amérique du Nord,
cannelle commune,Hors Amérique du Nord,
cannelle fine,Hors Amérique du Nord,
cannes,Hors Amérique du Nord,antilles
capillaire,Hors Amérique du Nord,
caret,Hors Amérique du Nord,
carré,Hors Amérique du Nord,
carres,Hors Amérique du Nord,
cassave,Hors Amérique du Nord,tropiques
casse,Hors Amérique du Nord,antilles
cauris,Hors Amérique du Nord,Afrique
cendre,Hors Amérique du Nord,
cendre à orfèvre,Hors Amérique du Nord,
cerneaux,Hors Amérique du Nord,
chandelle,Hors Amérique du Nord,
charbon de terre,Hors Amérique du Nord,
chevrons d'acajou,Hors Amérique du Nord,tropiques
chevrons de 5 pieds en acajou,Hors Amérique du Nord,tropiques
chevrons de 6 pieds en acajou,Hors Amérique du Nord,tropiques
chevrons de 8 pieds en acajou,Hors Amérique du Nord,tropiques
chevrons de cèdre,Hors Amérique du Nord,
chevrons de merisier,Hors Amérique du Nord,
chocolat,Hors Amérique du Nord,
chocolat en pâte,Hors Amérique du Nord,
cinabre et vermillon,Hors Amérique du Nord,
cire,Hors Amérique du Nord,
cire blanche et jaune,Hors Amérique du Nord,
cire brute jaune,Hors Amérique du Nord,
cire jaune,Hors Amérique du Nord,
cire verte,Hors Amérique du Nord,
citrons confits,Hors Amérique du Nord,
citrons et limons,Hors Amérique du Nord,
citrons et orange,Hors Amérique du Nord,
citrons et orange frais,Hors Amérique du Nord,
cloches de métal,Hors Amérique du Nord,
cloches vieilles,Hors Amérique du Nord,
clous de girofle,Hors Amérique du Nord,
cochenille,Hors Amérique du Nord,
cochenille mesteque,Hors Amérique du Nord,
cocos,Hors Amérique du Nord,antilles
cocos verts,Hors Amérique du Nord,antilles
colle,Hors Amérique du Nord,
colle de poisson,Hors Amérique du Nord,
confitures,Hors Amérique du Nord,
confitures de sèche,Hors Amérique du Nord,
confitures sèches,Hors Amérique du Nord,
contra yerba,Hors Amérique du Nord,
contrabierre,Hors Amérique du Nord,
coquillage,Hors Amérique du Nord,
coton,Hors Amérique du Nord,
coton de laine,Hors Amérique du Nord,
coton en laine,Hors Amérique du Nord,
coton en rames,Hors Amérique du Nord,
coton en rames et filé,Hors Amérique du Nord,
coton filé,Hors Amérique du Nord,
crayons de pastel,Hors Amérique du Nord,
crayons fins de pastel et laque et lack-lack des Indes,Hors Amérique du Nord,
crêpe et étoffe et gaze et passementerie et ruban de soie,Hors Amérique du Nord,
crêpe et étoffe et passementerie et ruban de soie,Hors Amérique du Nord,
crin,Hors Amérique du Nord,
cuirs avariés tannés,Hors Amérique du Nord,
cuirs de buffle,Hors Amérique du Nord,
cuirs de fer et en poil,Hors Amérique du Nord,
cuirs en poil,Hors Amérique du Nord,
cuirs et peaux non apprêtés,Hors Amérique du Nord,
cuirs forts tannés,Hors Amérique du Nord,
cuirs non apprêtés,Hors Amérique du Nord,
cuirs secs en poil,Hors Amérique du Nord,
cuirs secs en poil de vache,Hors Amérique du Nord,
cuirs tannés,Hors Amérique du Nord,
cuirs vieux,Hors Amérique du Nord,
cuivre,Hors Amérique du Nord,
cuivre à mitraille,Hors Amérique du Nord,
cuivre brut,Hors Amérique du Nord,
cuivre de fer en poids,Hors Amérique du Nord,
cuivre laminé,Hors Amérique du Nord,
cuivre sur poil,Hors Amérique du Nord,
cuivre vieux,Hors Amérique du Nord,
curcuma,Hors Amérique du Nord,Asie
dattes,Hors Amérique du Nord,
de tafia,Hors Amérique du Nord,antilles
dégras,Hors Amérique du Nord,
dégras de peau,Hors Amérique du Nord,
dents d'éléphant,Hors Amérique du Nord,Afrique
dents de morphil,Hors Amérique du Nord,Afrique
diamants perles et pierres fines,Hors Amérique du Nord,
douelles,Hors Amérique du Nord,
douelles à barils,Hors Amérique du Nord,
douelles à pipe,Hors Amérique du Nord,
drache,Hors Amérique du Nord,
drap écarlate,Hors Amérique du Nord,
drogues,Hors Amérique du Nord,
duves,Hors Amérique du Nord,
duvet,Hors Amérique du Nord,
eau citronnelle,Hors Amérique du Nord,
eau de Barbade,Hors Amérique du Nord,antilles
eau de cannelle,Hors Amérique du Nord,
eau de citronnelle,Hors Amérique du Nord,
eau de fleurs d'orange,Hors Amérique du Nord,
eau de Philipine,Hors Amérique du Nord,
eau de senteur de la reine de Hongrie,Hors Amérique du Nord,
eau des Carmes,Hors Amérique du Nord,
eau des farmes,Hors Amérique du Nord,
eau pour la goutte,Hors Amérique du Nord,
eau vulnéraire,Hors Amérique du Nord,
eau-de-vie et liqueurs,Hors Amérique du Nord,
eau-de-vie et rhum et tafia,Hors Amérique du Nord,antilles
écaille,Hors Amérique du Nord,
écaille de cahouanne,Hors Amérique du Nord,
écaille de caret,Hors Amérique du Nord,
écaille de tortue,Hors Amérique du Nord,
écaille de tortue en carapace,Hors Amérique du Nord,
écorce de bois de fer,Hors Amérique du Nord,
écorce de citron,Hors Amérique du Nord,
écorce de gaiac,Hors Amérique du Nord,tropiques
écorce de simaboura,Hors Amérique du Nord,tropiques
épicerie,Hors Amérique du Nord,
ergots de caret,Hors Amérique du Nord,
esprit-de-vin,Hors Amérique du Nord,
étain,Hors Amérique du Nord,
étain brut,Hors Amérique du Nord,
étain de retour,Hors Amérique du Nord,
étain vieux,Hors Amérique du Nord,
étamine,Hors Amérique du Nord,
étamine de laine,Hors Amérique du Nord,
faïence et porcelaine et poterie,Hors Amérique du Nord,
farine,Hors Amérique du Nord,
farine de Mayoc,Hors Amérique du Nord,
farine et biscuit de mer,Hors Amérique du Nord,
fer,Hors Amérique du Nord,
fer neuf,Hors Amérique du Nord,
fer vieux,Hors Amérique du Nord,
fer-blanc,Hors Amérique du Nord,
feuilles de tabac,Hors Amérique du Nord,
fil de chanvre,Hors Amérique du Nord,
filoselle et soie,Hors Amérique du Nord,
fonte,Hors Amérique du Nord,
fontevielle,Hors Amérique du Nord,
frange d'or vieille,Hors Amérique du Nord,
fruits frais,Hors Amérique du Nord,
fruits secs,Hors Amérique du Nord,
futailles,Hors Amérique du Nord,
galipot,Hors Amérique du Nord,
galle,Hors Amérique du Nord,
galon brûlé,Hors Amérique du Nord,
galon vieux,Hors Amérique du Nord,
gaze et mouchoirs et ruban de soie,Hors Amérique du Nord,
gingembre,Hors Amérique du Nord,Asie
gingembre confit,Hors Amérique du Nord,Asie
gingembre et piment et poivre,Hors Amérique du Nord,Asie
gingembre sec,Hors Amérique du Nord,Asie
ginseng,Hors Amérique du Nord,
girofle,Hors Amérique du Nord,
girofle et muscade,Hors Amérique du Nord,
gomme,Hors Amérique du Nord,
gomme arabique,Hors Amérique du Nord,
gomme copale,Hors Amérique du Nord,
gomme d'acajou,Hors Amérique du Nord,tropiques
gomme de gaïac,Hors Amérique du Nord,tropiques
gomme du Sénégal,Hors Amérique du Nord,Afrique
gomme élastique,Hors Amérique du Nord,
gomme élémi,Hors Amérique du Nord,Asie
gomme laque,Hors Amérique du Nord,Asie
goudron,Hors Amérique du Nord,
grains blé,Hors Amérique du Nord,
grains cuscute,Hors Amérique du Nord,tropiques
grains divers,Hors Amérique du Nord,
grains froment,Hors Amérique du Nord,
grains riz,Hors Amérique du Nord,
graine à chapelets,Hors Amérique du Nord,
graine à chapelles,Hors Amérique du Nord,
graine d'ambrette,Hors Amérique du Nord,
graine d'indigo,Hors Amérique du Nord,
graine de bois des Indes,Hors Amérique du Nord,Indes
graine de brion,Hors Amérique du Nord,
graine de campêche,Hors Amérique du Nord,tropiques
graine de chapelets,Hors Amérique du Nord,
graine de coton,Hors Amérique du Nord,
graine de d'Alma Christi,Hors Amérique du Nord,tropiques
graine de jardin,Hors Amérique du Nord,
graine de lin,Hors Amérique du Nord,
graine de Saint-Domingue,Hors Amérique du Nord,antilles
graine de sapotille,Hors Amérique du Nord,tropiques
graine de vers à soie,Hors Amérique du Nord,Asie
graine grasse,Hors Amérique du Nord,
graine jaune,Hors Amérique du Nord,
graine rouge,Hors Amérique du Nord,
grains à chapelets,Hors Amérique du Nord,
grains de coton,Hors Amérique du Nord,
graisse de cacao,Hors Amérique du Nord,
guildive,Hors Amérique du Nord,antilles
guingan,Hors Amérique du Nord,France
hamacs de retour,Hors Amérique du Nord,
herbes à charpentier,Hors Amérique du Nord,
herbes de capillaire,Hors Amérique du Nord,
herbes médicinales et plantes médicinales et racines médicinales,Hors Amérique du Nord,
huile,Hors Amérique du Nord,
huile d'Alma Christi,Hors Amérique du Nord,tropiques
huile d'olive pour fabrique,Hors Amérique du Nord,
huile de cacao,Hors Amérique du Nord,
huile de cahouanne,Hors Amérique du Nord,
huile de copahu,Hors Amérique du Nord,amérique du sud
huile de Palma Christi,Hors Amérique du Nord,tropiques
huile de palme,Hors Amérique du Nord,tropiques
huile de poisson,Hors Amérique du Nord,
huile de soldat,Hors Amérique du Nord,
huile de tamarin,Hors Amérique du Nord,Indes
huile térébenthine,Hors Amérique du Nord,Monde
igname,Hors Amérique du Nord,
indienne,Hors Amérique du Nord,Indes
indigo,Hors Amérique du Nord,
ipécacuanha,Hors Amérique du Nord,amérique du sud
joncs pour cannes et bambou et rotin,Hors Amérique du Nord,
joncs pour cannes et bambou et ruban,Hors Amérique du Nord,
laine fine,Hors Amérique du Nord,
laine fine et de chevron,Hors Amérique du Nord,
laque,Hors Amérique du Nord,
lard,Hors Amérique du Nord,
librairie,Hors Amérique du Nord,
lin peigné,Hors Amérique du Nord,
linge de table commun,Hors Amérique du Nord,
lingots et monnaies étrangères d'argent et d'or,Hors Amérique du Nord,
lingots ou monnaies étrangères d'argent et d'or,Hors Amérique du Nord,
liqueurs,Hors Amérique du Nord,
liqueurs à boire,Hors Amérique du Nord,
liqueurs et sirop,Hors Amérique du Nord,
liqueurs fines,Hors Amérique du Nord,
lit de plume,Hors Amérique du Nord,
madriers,Hors Amérique du Nord,
madriers d'acajou,Hors Amérique du Nord,tropiques
madriers d'acajou de 10 à 11 pieds,Hors Amérique du Nord,tropiques
madriers d'acajou de 10 pieds,Hors Amérique du Nord,tropiques
madriers d'acajou de 12 pieds,Hors Amérique du Nord,tropiques
madriers d'acajou de 6 à 8 pieds,Hors Amérique du Nord,tropiques
madriers d'acajou de 7 à 6 pieds,Hors Amérique du Nord,tropiques
madriers d'acajou de 7 à 8 pieds,Hors Amérique du Nord,tropiques
madriers d'acajou de 8 à 10 pieds,Hors Amérique du Nord,tropiques
madriers d'acajou de 8 pieds,Hors Amérique du Nord,tropiques
madriers d'acajou de 9 à 8 pieds,Hors Amérique du Nord,tropiques
madriers d'acajou de 9 pieds,Hors Amérique du Nord,tropiques
madriers de acajou,Hors Amérique du Nord,tropiques
madriers de acajou de 10 à 11 pieds,Hors Amérique du Nord,tropiques
madriers de acajou de 10 pieds,Hors Amérique du Nord,tropiques
madriers de acajou de 11 pieds,Hors Amérique du Nord,tropiques
madriers de acajou de 12 pieds,Hors Amérique du Nord,tropiques
madriers de acajou de 5 pieds,Hors Amérique du Nord,tropiques
madriers de acajou de 6 pieds,Hors Amérique du Nord,tropiques
madriers de acajou de 9 pieds,Hors Amérique du Nord,tropiques
madriers de bois de couleur,Hors Amérique du Nord,
madriers de chêne,Hors Amérique du Nord,
madriers de gaïac de 9 pieds,Hors Amérique du Nord,
madriers de merisier,Hors Amérique du Nord,
madriers de noyer,Hors Amérique du Nord,
madriers de Prusse,Hors Amérique du Nord,Prusse
madriers de sapin,Hors Amérique du Nord,
maniguette,Hors Amérique du Nord,Afrique
masses de coton,Hors Amérique du Nord,
mâtereaux d'acajou de 7 à 8 pieds,Hors Amérique du Nord,tropiques
matières premières,Hors Amérique du Nord,
mâts de sapin,Hors Amérique du Nord,
médicaments,Hors Amérique du Nord,
mélasse,Hors Amérique du Nord,
mercerie,Hors Amérique du Nord,
mercerie commune,Hors Amérique du Nord,
mercerie fine,Hors Amérique du Nord,
mercerie ordinaire,Hors Amérique du Nord,
mercure,Hors Amérique du Nord,
merrains,Hors Amérique du Nord,
merrains à barils,Hors Amérique du Nord,
merrains à barriques,Hors Amérique du Nord,
merrains à pipes,Hors Amérique du Nord,
merrains à quart,Hors Amérique du Nord,
merrains en barriques,Hors Amérique du Nord,
meules à aiguiser,Hors Amérique du Nord,
miel,Hors Amérique du Nord,
mine de plomb,Hors Amérique du Nord,
mitraille,Hors Amérique du Nord,
mitrailles de cuivre,Hors Amérique du Nord,
mobilier,Hors Amérique du Nord,
mouchoirs de coton,Hors Amérique du Nord,
mouchoirs et mouchoirs des Indes,Hors Amérique du Nord,Indes
mousse de lin,Hors Amérique du Nord,
mousselines et Nankin et toile de coton,Hors Amérique du Nord,Asie
muscades,Hors Amérique du Nord,
muscades et macis,Hors Amérique du Nord,
Nankin,Hors Amérique du Nord,
Nankin de coton,Hors Amérique du Nord,
nattes de paille,Hors Amérique du Nord,
noix d'acajou,Hors Amérique du Nord,tropiques
noix de galle,Hors Amérique du Nord,
objets à la valeur,Hors Amérique du Nord,
objets d'art et d'histoire naturelle,Hors Amérique du Nord,
objets de collection sculpture et d'histoire naturelle et peinture et gravure,Hors Amérique du Nord,
objets divers,Hors Amérique du Nord,
objets manufacturés réunis,Hors Amérique du Nord,
ocre,Hors Amérique du Nord,
ongles d'écaille de tortue,Hors Amérique du Nord,
ongles de caret,Hors Amérique du Nord,
orange,Hors Amérique du Nord,
organeaux,Hors Amérique du Nord,
ouvrages d'étain,Hors Amérique du Nord,
ouvrages d'industrie étrangers,Hors Amérique du Nord,
ouvrages de bois,Hors Amérique du Nord,
ouvrages de cuivre,Hors Amérique du Nord,
ouvrages de fer,Hors Amérique du Nord,
ouvrages de fonte,Hors Amérique du Nord,
ouvrages de jonc,Hors Amérique du Nord,
ouvrages de sparterie commune et cordage de jonc ...,Hors Amérique du Nord,
paille d'herbe,Hors Amérique du Nord,
palma christi,Hors Amérique du Nord,tropiques
pareira brava,Hors Amérique du Nord,
parfumerie,Hors Amérique du Nord,
pâte de cacao,Hors Amérique du Nord,
peaux,Hors Amérique du Nord,
peaux corroyées de veau,Hors Amérique du Nord,
peaux d'agneau,Hors Amérique du Nord,
peaux de chat,Hors Amérique du Nord,
peaux de chat sauvage,Hors Amérique du Nord,
peaux de chevreau,Hors Amérique du Nord,
peaux de fouine,Hors Amérique du Nord,
peaux de lapin,Hors Amérique du Nord,
peaux de maroquins,Hors Amérique du Nord,
peaux de mouton,Hors Amérique du Nord,
peaux de rat,Hors Amérique du Nord,
peaux de renard,Hors Amérique du Nord,
peaux de tigre,Hors Amérique du Nord,
peaux et pelleterie,Hors Amérique du Nord,
peaux tannées de veau,Hors Amérique du Nord,
peignes,Hors Amérique du Nord,
peignes d'herbe,Hors Amérique du Nord,
peignes de coton,Hors Amérique du Nord,
Pékin,Hors Amérique du Nord,
pelleterie,Hors Amérique du Nord,
pelleterie apprêtée commune,Hors Amérique du Nord,
pelleterie commune,Hors Amérique du Nord,
pelleterie commune crue,Hors Amérique du Nord,
pelleterie en parchemins,Hors Amérique du Nord,
pelleterie ouvrée,Hors Amérique du Nord,
perches communes,Hors Amérique du Nord,
perruques,Hors Amérique du Nord,
piment,Hors Amérique du Nord,
piment et poivre,Hors Amérique du Nord,
pistaches,Hors Amérique du Nord,
plan d'habitation,Hors Amérique du Nord,
planches d'acajou,Hors Amérique du Nord,tropiques
planches d'acajou de 8 pieds,Hors Amérique du Nord,tropiques
planches d'acajou de 9 pieds,Hors Amérique du Nord,tropiques
planches d'aunis,Hors Amérique du Nord,
planches de bois des Indes,Hors Amérique du Nord,Indes
planches de chêne pour bordage,Hors Amérique du Nord,
planches de chênes pour bordage,Hors Amérique du Nord,
planches de cyprès,Hors Amérique du Nord,
planches de merisier,Hors Amérique du Nord,
planches de sapin,Hors Amérique du Nord,
planches de sapin commun,Hors Amérique du Nord,
planches de sapin de 8 pieds,Hors Amérique du Nord,
planches de sapin pour bordage,Hors Amérique du Nord,
plantes herbes racines etc.,Hors Amérique du Nord,
platille de retour,Hors Amérique du Nord,
platille roussie,Hors Amérique du Nord,
plomb,Hors Amérique du Nord,
plomb en grenaille,Hors Amérique du Nord,
plomb en saumon,Hors Amérique du Nord,
plomb et toutenague,Hors Amérique du Nord,
plomb vieux,Hors Amérique du Nord,
plumes à lit,Hors Amérique du Nord,
plumes brutes et de parure,Hors Amérique du Nord,
plumes d'autruche,Hors Amérique du Nord,
plumes d'autruche brutes,Hors Amérique du Nord,
plumes d'oiseaux,Hors Amérique du Nord,
plumes de lin,Hors Amérique du Nord,
poil de chameau,Hors Amérique du Nord,Afrique
poil de coton,Hors Amérique du Nord,
pois secs,Hors Amérique du Nord,
pois verts,Hors Amérique du Nord,
poisson,Hors Amérique du Nord,
poivre,Hors Amérique du Nord,
poivre giroflé,Hors Amérique du Nord,
poivre noir,Hors Amérique du Nord,
pompes,Hors Amérique du Nord,
porcelaine,Hors Amérique du Nord,
poterie commune,Hors Amérique du Nord,
poudre à fusil,Hors Amérique du Nord,
poudre à poudrer,Hors Amérique du Nord,
provisions,Hors Amérique du Nord,
provisions de bouche,Hors Amérique du Nord,
provisions diverses principalement en beurre,Hors Amérique du Nord,
quincaille,Hors Amérique du Nord,
quincaillerie,Hors Amérique du Nord,
quincaillerie d'acier et de fer,Hors Amérique du Nord,
quinquina,Hors Amérique du Nord,tropiques
racines de ginseng,Hors Amérique du Nord,
rasade,Hors Amérique du Nord,Afrique
rassades,Hors Amérique du Nord,Afrique
résines exotiques,Hors Amérique du Nord,
rhubarbe,Hors Amérique du Nord,
rhubarbe de Moscovie,Hors Amérique du Nord,Russie
rhum et tafia,Hors Amérique du Nord,antilles
rocou,Hors Amérique du Nord,tropiques
safranum,Hors Amérique du Nord,
salpêtre,Hors Amérique du Nord,
salpêtre et soufre,Hors Amérique du Nord,
salsepareille,Hors Amérique du Nord,
sang de dragon,Hors Amérique du Nord,
satin de retour,Hors Amérique du Nord,
savon,Hors Amérique du Nord,
semé,Hors Amérique du Nord,
séné,Hors Amérique du Nord,
siamoise,Hors Amérique du Nord,
simaboura,Hors Amérique du Nord,tropiques
sirop,Hors Amérique du Nord,
sirop de capillaire,Hors Amérique du Nord,
sirop de limon,Hors Amérique du Nord,
sirop de mélasse,Hors Amérique du Nord,
sirop de sucre,Hors Amérique du Nord,antilles
sirop des Indes,Hors Amérique du Nord,Indes
sirop fin,Hors Amérique du Nord,
soie,Hors Amérique du Nord,
soliveaux d'acajou,Hors Amérique du Nord,tropiques
soliveaux de cyprès,Hors Amérique du Nord,
souliers,Hors Amérique du Nord,
subsistances,Hors Amérique du Nord,
sucre,Hors Amérique du Nord,antilles
sucre blanc,Hors Amérique du Nord,antilles
sucre brun,Hors Amérique du Nord,antilles
sucre brut,Hors Amérique du Nord,antilles
sucre candi,Hors Amérique du Nord,antilles
sucre commun,Hors Amérique du Nord,antilles
sucre de Cayenne,Hors Amérique du Nord,tropiques
sucre de Cayenne terré,Hors Amérique du Nord,tropiques
sucre de forme,Hors Amérique du Nord,
sucre de têtes,Hors Amérique du Nord,
sucre en forme terré,Hors Amérique du Nord,
sucre en pain,Hors Amérique du Nord,
sucre fin,Hors Amérique du Nord,
sucre raffiné,Hors Amérique du Nord,
sucre terré,Hors Amérique du Nord,
sucre têtes,Hors Amérique du Nord,
sucre têtes forme,Hors Amérique du Nord,
suif,Hors Amérique du Nord,
tabac,Hors Amérique du Nord,
tabac commun,Hors Amérique du Nord,
tabac commun en feuilles,Hors Amérique du Nord,
tabac d'Espagne,Hors Amérique du Nord,Espagne
