simplification,nbr_occurences_simpl,grouping,note,nbr_occurences_grouping
Colonies françaises en-deça du Cap,4,Outre-mers,,84635
Colonies françaises et colonies hollandaises,20,Outre-mers,,84635
Colonies françaises et Inde,1,Outre-mers,,84635
Colonies françaises et Saint-Domingue,1,Outre-mers,,84635
Colonies françaises hors Guyane et Sénégal,3,Outre-mers,,84635
Colonies hollandaises,142,Outre-mers,,84635
Colonies portugaises,27,Outre-mers,,84635
Colonies suédoises,57,Outre-mers,,84635
Commerce de la Compagnie des Indes,133,Outre-mers,,84635
Constantinople,22,Levant et Barbarie,,25454
Corse,123,France,,5686
Courlande et Russie,143,Nord,,67079
Cuba et Porto Rico,20,Outre-mers,,84635
Danemark,12392,Nord,,67079
Danemark et Norvège,392,Nord,,67079
Duché de Bouillon,108,Divers,,2350
Dunkerque,722,France,,5686
Dunkerque et Lorient,2,France,,5686
Dunkerque et Marseille,2,France,,5686
Dunkerque et Petites Îles,4,France,,5686
"Dunkerque, Lorient et Petites Îles",3,France,,5686
Égypte,53,Levant et Barbarie,,25454
Empire Ottoman,1480,Levant et Barbarie,,25454
Empire Ottoman et Barbarie,2217,Levant et Barbarie,,25454
Empire Ottoman et Levant,98,Levant et Barbarie,,25454
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,France,,5686
Entrepôt,87,Divers,,2350
Épaves et échouements,56,Divers,,2350
Espagne,60000,Espagne,,63883
Espagne et Portugal,1,Divers,,2350
Espagne et ses colonies,3860,Espagne,,63883
Espagne par mer,2,Espagne,,63883
Espagne par terre,2,Espagne,,63883
États ?,17,????,,226
États de l'Empereur,4462,Flandre et autres états de l'Empereur,,25657
États de l'Empereur par mer,2,Flandre et autres états de l'Empereur,,25657
États de l'Empereur par terre,2,Flandre et autres états de l'Empereur,,25657
États du roi,1,????,,226
États ecclésiastiques,1620,Italie,,106227
États ecclésiastiques et Venise,52,Italie,,106227
États romains,64,Italie,,106227
États-Unis d'Amérique,6287,États-Unis d'Amérique,,6287
Europe,16,Divers,,2350
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",479,Divers,,2350
Flandre,19072,Flandre et autres états de l'Empereur,,25657
France,16,France,,5686
Franche Comté,8,France,,5686
Gênes,15390,Italie,,106227
"Gênes, Milan, Toscane et Lucques",4,Italie,,106227
Genève,3208,Suisse,,20605
Genève et Piémont,604,Italie,,106227
Genève et Suisse,2510,Suisse,,20605
"Genève, Suisse et ses alliés",949,Suisse,,20605
Gibraltar,1,Angleterre,,26448
Gothembourg,10,Nord,,67079
Guadeloupe,2190,Outre-mers,,84635
Guatemala,2,Outre-mers,,84635
Guernesey,2,Angleterre,,26448
Guernesey et Dumbarton,1,Angleterre,,26448
Guinée,10352,Outre-mers,,84635
Guinée et Sénégal,2992,Outre-mers,,84635
Guyane,11,Outre-mers,,84635
Guyane anglaise,4,Outre-mers,,84635
Guyane et Sénégal,2,Outre-mers,,84635
Guyane française,2,Outre-mers,,84635
Haïti,10,Outre-mers,,84635
Hambourg,112,Nord,,67079
"Hambourg, Hollande et Livourne",1,Divers,,2350
Hollande,76113,Hollande,,78558
Hollande et Villes hanséatiques,223,Divers,,2350
Île Bourbon,53,Outre-mers,,84635
Île Bourbon et Inde,3,Outre-mers,,84635
Île de Ré,1,France,,5686
Île Maurice,22,Outre-mers,,84635
Îles,7104,Outre-mers,,84635
Îles de France et de Bourbon,206,Outre-mers,,84635
Îles de l'Amérique,134,Outre-mers,,84635
Îles et Guinée,2,Outre-mers,,84635
Îles françaises,1997,Outre-mers,,84635
Îles françaises de l'Amérique,41490,Outre-mers,,84635
Inconnu,209,Inconnu,,209
Inde étrangère,18,Outre-mers,,84635
Indes,3488,Outre-mers,,84635
Indes anglaises,16,Outre-mers,,84635
Indes et Moka,41,Outre-mers,,84635
Indes françaises,22,Outre-mers,,84635
Indes hollandaises,6,Outre-mers,,84635
Irlande,62,Angleterre,,26448
Italie,38670,Italie,,106227
Levant,20640,Levant et Barbarie,,25454
Levant et Toscane,1,Divers,,2350
Lisbonne,11,Portugal,,15134
Livourne,254,Italie,,106227
Lorient,227,France,,5686
Lorient et Marseille,1,France,,5686
Lorient et Petites Îles,2,France,,5686
Lorraine,555,Allemagne,,23817
Lorraine et Trois Évêchés,1,France,,5686
Louisiane,7,Outre-mers,,84635
Lübeck en Norvège,1,Nord,,67079
Marseille,2576,France,,5686
Marseille et Petites Îles,1,France,,5686
Martinique,2777,Outre-mers,,84635
Mecklembourg-Schwerin,4,Nord,,67079
Mexique,9,Outre-mers,,84635
Milanais,4,Italie,,106227
Milanais et Toscane,602,Italie,,106227
"Milanais, Toscane et Lucques",1108,Italie,,106227
Milddelbourg,1,Nord,,67079
Monde,4400,Monde,,4853
"Monde (hors Amérique, colonies françaises, Europe et Inde)",1,Monde,,4853
Monde hors Amérique,1,Monde,,4853
Monde hors Amérique et hors Inde,5,Monde,,4853
Monde hors Amérique et hors Inde et hors Piémont,1,Monde,,4853
Monde hors colonies,385,Monde,,4853
Monde hors Europe,52,Monde,,4853
Monde hors Europe et hors colonies,1,Monde,,4853
Monde hors Europe et hors colonies françaises et hors Inde,1,Monde,,4853
Monde hors Europe et hors Sénégal français,2,Monde,,4853
Monde hors Guyanne française,2,Monde,,4853
Monde hors Pays de Gex,1,Monde,,4853
Monds hors Ports de la Baltique,1,Monde,,4853
Morée,11,Levant et Barbarie,,25454
Nancy,2,France,,5686
Nantes,1,France,,5686
Naples,5527,Italie,,106227
Naples et Sicile,5046,Italie,,106227
"Naples, Sicile et Palerme",52,Italie,,106227
"Naples, Sicile et Parme",394,Italie,,106227
Nord,22552,Nord,,67079
Nord (Hanse et Russie),3881,Nord,,67079
Norvège,80,Nord,,67079
Nouvelle-Grenade,3,Outre-mers,,84635
Pays d'Aunis,1,France,,5686
Pays de Gex,20,France,,5686
Pays de Labour,31,France,,5686
Pays-Bas,1031,Hollande,,78558
Pays-Bas et ses colonies,1408,Hollande,,78558
Pêches à la Baleine,2,Divers,,2350
Pêches à la Morue à Terre-Neuve,2,Divers,,2350
Pêches à la Morue en Islande,1,Divers,,2350
Pêches côtières (Hareng),2,Divers,,2350
Pêches côtières (Maquereaux),2,Divers,,2350
Pêches côtières (Sardines),1,Divers,,2350
Pêches étrangères,17,Divers,,2350
Pêches françaises,42,Divers,,2350
Pérou,6,Outre-mers,,84635
Petites Îles,464,France,,5686
Philippines,1,Outre-mers,,84635
Piémont,1590,Italie,,106227
Piémont et Savoie,340,Italie,,106227
Piémont par mer,1,Italie,,106227
Piémont par terre,1,Italie,,106227
Poitou,1,France,,5686
Pologne,305,Allemagne,,23817
Pologne-Genève,1,Allemagne,,23817
Ports de la Baltique,1,Nord,,67079
Portugal,15123,Portugal,,15134
Prises et saisies,1305,Divers,,2350
Prusse,4649,Nord,,67079
Prusse – par mer,2,Nord,,67079
Riga,3,Nord,,67079
Rio de la Plata,14,Outre-mers,,84635
Rome et Venise,2,Italie,,106227
Rotterdam,6,Hollande,,78558
Rouen,1,France,,5686
Royaume d'Étrurie,1153,Italie,,106227
Royaume de Sardaigne,5658,Italie,,106227
Royaume de Sardaigne – par mer,2,Italie,,106227
Royaume de Sardaigne – par terre,2,Italie,,106227
Russie,6672,Nord,,67079
Saint-Domingue,5564,Outre-mers,,84635
Saint-Jean de Luz,9,France,,5686
Saint-Thomas,11,Outre-mers,,84635
Salonique,5,Levant et Barbarie,,25454
"Salonique, Archipel et Satali",17,Levant et Barbarie,,25454
Sardaigne,2040,Italie,,106227
Savoie,12043,Italie,,106227
Savoie et Piémont,11425,Italie,,106227
Sénégal,318,Outre-mers,,84635
Sénégal français,9,Outre-mers,,84635
Sidon,5,Levant et Barbarie,,25454
Sidon et Acre,15,Levant et Barbarie,,25454
Smyrne,35,Levant et Barbarie,,25454
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,Nord,,67079
Strasbourg,1,France,,5686
Suède,11249,Nord,,67079
Suède et ses colonies,173,Nord,,67079
Suisse,13938,Suisse,,20605
Tobago,740,Outre-mers,,84635
Tobago et Sainte-Lucie,2,Outre-mers,,84635
Toscane,636,Italie,,106227
Tripoli de Syrie,15,Levant et Barbarie,,25454
Trois Évêchés,614,France,,5686
Turquie,34,Levant et Barbarie,,25454
Vénézuela,14,Outre-mers,,84635
Venise,1943,Italie,,106227
Villes hanséatiques,4750,Nord,,67079
Voitures diverses,2,Divers,,2350
Ypres,1,Flandre et autres états de l'Empereur,,25657
