simplification,nbr_occurences_simpl,medicinales,obsolete,nbr_obs,nbr_occurences_medicinales
agnelines et crottelins,1,not a medical product,non,1,530860
agobille,2,,non,,1395
agoutals,4,not a medical product,non,4,530860
agoutals de bois,5,not a medical product,non,5,530860
agrément,15,not a medical product,non,15,530860
agrément au quart,3,not a medical product,non,3,530860
agrément d'argent,2,not a medical product,non,2,530860
agrément d'or,1,not a medical product,non,1,530860
agrément d'or et d'argent,5,not a medical product,non,5,530860
agrément de fil,9,not a medical product,non,9,530860
agrément de fil et de soie,3,not a medical product,non,2,530860
agrément de fleur,1,not a medical product,non,1,530860
agrément de soie,57,not a medical product,non,55,530860
agrément de soie et d'argent,1,not a medical product,non,1,530860
agrément de soie or et argent faux,1,not a medical product,non,1,530860
agréments de soie et milleret,1,not a medical product,non,,530860
agréments et milleret,1,not a medical product,non,,530860
agrès,15,not a medical product,non,13,530860
agrès apparaux de navire et embarcations,6,not a medical product,non,6,530860
agrès apparaux et embarcations,2,not a medical product,non,2,530860
agrès de navire et jeux de voile,10,not a medical product,non,10,530860
agrès et apparaux,2,not a medical product,non,1,530860
agrès et apparaux d'or navire,1,,non,,1395
agrès et bâtiments de mer,10,not a medical product,non,10,530860
agrès et embarcations,8,not a medical product,non,8,530860
agrès et voile de navire,1,not a medical product,non,1,530860
aigles,1,not a medical product,non,1,530860
aigre de cèdre,9,not a medical product,non,9,530860
aigre de cidre,5,not a medical product,non,5,530860
aigre de vitriol,17,narrow medical product,non,16,24136
aigrettes,10,not a medical product,non,8,530860
aigrettes de fil d'or et d'argent,1,not a medical product,non,1,530860
aigrettes de soie,1,not a medical product,non,1,530860
aigrettes de soie et argent,1,not a medical product,non,1,530860
aigrettes et bavolets,1,not a medical product,non,1,530860
aiguières d'étain,1,not a medical product,non,1,530860
aiguilles,209,not a medical product,non,192,530860
aiguilles à boîtes,1,not a medical product,non,1,530860
aiguilles à coudre,61,not a medical product,non,47,530860
aiguilles à coudre voiles,1,not a medical product,non,,530860
aiguilles à ralingue,1,not a medical product,non,1,530860
aiguilles à tabac,1,not a medical product,non,1,530860
aiguilles à toile,1,not a medical product,non,1,530860
aiguilles d'emballage,2,not a medical product,non,2,530860
aiguilles de mercerie fine,1,not a medical product,non,1,530860
aiguilles epars de sapin,1,not a medical product,non,1,530860
aiguilles et épingles,1,not a medical product,non,1,530860
aiguilles et épingles de mercerie fine,3,not a medical product,non,3,530860
aiguilles et mercerie fine,2,not a medical product,non,2,530860
aiguilles grosses,1,not a medical product,non,1,530860
aiguilles pour voile,37,not a medical product,non,26,530860
aiguillettes,1,not a medical product,non,,530860
ail,2,not a medical product,non,2,530860
ailes,4,not a medical product,non,3,530860
ailes de fléaux,1,not a medical product,non,1,530860
ailes de moulins,1,not a medical product,non,1,530860
ailor,1,not a medical product,non,1,530860
ails,204,not a medical product,non,184,530860
ails à fauches,1,not a medical product,non,1,530860
ails blancs à casser,1,not a medical product,non,1,530860
aimant,1,not a medical product,non,1,530860
ains à pêcher,43,not a medical product,non,23,530860
ains et lignes à pêcher,2,not a medical product,non,2,530860
airain,6,not a medical product,non,6,530860
airain non ouvré,4,not a medical product,non,4,530860
ajustements,37,not a medical product,non,36,530860
ajustements de femme,5,not a medical product,non,4,530860
ajustements de soie,2,not a medical product,non,1,530860
alambics,17,not a medical product,non,16,530860
alambics d'étain,17,not a medical product,non,7,530860
alambics de cuivre,2,not a medical product,non,1,530860
alambics de terre,1,not a medical product,non,1,530860
alana,2,not a medical product,non,2,530860
alazar,2,not a medical product,non,2,530860
albâtre,5,not a medical product,non,5,530860
albâtre brut,3,not a medical product,non,3,530860
albâtre et marbre brut et poli,21,not a medical product,non,21,530860
albâtre moulé poli ou sculpté,6,not a medical product,non,6,530860
alcalis autre que natron et soude,2,not a medical product,non,2,530860
alcalis salin,1,not a medical product,non,1,530860
alènes,5,not a medical product,non,5,530860
alibanies,97,not a medical product,non,49,530860
alizari,17,not a medical product,non,15,530860
alizari et garance,165,not a medical product,non,165,530860
alizari sèche,7,not a medical product,non,7,530860
alkermés,1,narrow medical product,non,1,24136
alkermès en grains,23,narrow medical product,non,4,24136
allaya,84,not a medical product,non,68,530860
alleaux,1,not a medical product,non,1,530860
allemande de poil,10,not a medical product,non,10,530860
allumettes,54,not a medical product,non,51,530860
allumettes à vin,29,not a medical product,non,5,530860
allumettes de coton,1,not a medical product,non,1,530860
allumettes de mêche soufrée,1,not a medical product,non,1,530860
allumettes droguées,3,not a medical product,non,3,530860
allumettes épicée,2,not a medical product,non,1,530860
allumettes opérées et soufrées,1,not a medical product,non,1,530860
allumettes soufrées,12,not a medical product,non,11,530860
almagro ou crayon rouge,1,not a medical product,non,1,530860
almanachs,1,not a medical product,non,1,530860
almanachs brochés,2,not a medical product,non,2,530860
almanachs en blancs,1,not a medical product,non,1,530860
almanachs enjolivés,1,not a medical product,non,1,530860
almanachs reliés,1,not a medical product,non,1,530860
aloès,229,narrow medical product,non,208,24136
aloès cabalin,6,narrow medical product,non,5,24136
aloès commun,1,narrow medical product,non,1,24136
aloès et opium,2,narrow medical product,non,2,24136
aloès hépatique,1,narrow medical product,non,1,24136
aloès moyen,2,narrow medical product,non,2,24136
aloiset,1,not a medical product,non,1,530860
alose,2,not a medical product,non,1,530860
alose fumée,1,not a medical product,non,1,530860
alose salée,5,not a medical product,non,1,530860
aloues,1,narrow medical product,non,1,24136
alouettes,4,not a medical product,non,3,530860
alpargate,37,not a medical product,non,36,530860
alphabets,1,not a medical product,non,1,530860
alpiste,20,not a medical product,non,12,530860
alpiste et millet,9,not a medical product,non,9,530860
alquifoux,479,not a medical product,non,414,530860
alquifoux en galène,2,not a medical product,non,2,530860
alquifoux et mine de plomb,36,not a medical product,non,36,530860
alquifoux mine de plomb ou graphite,23,not a medical product,non,23,530860
alquifoux ou mine de plomb,1,not a medical product,non,1,530860
alquifoux sable plombifère,1,not a medical product,non,1,530860
alquitra,3,not a medical product,non,3,530860
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,not a medical product,non,2,530860
alto basses contrebasses guitare lyres violes violons,2,not a medical product,non,2,530860
alto bassons guitare violons,3,not a medical product,non,3,530860
aluchiabanis,3,not a medical product,non,1,530860
alun,1873,narrow medical product,non,1643,24136
alun à cordonnier,1,narrow medical product,non,,24136
alun autre que brûlé ou calciné,2,narrow medical product,non,2,24136
alun bon,2,narrow medical product,non,2,24136
alun brûlé,1,narrow medical product,non,1,24136
alun commun,1,narrow medical product,non,1,24136
alun de glace,1,narrow medical product,non,,24136
alun de roche,5,narrow medical product,non,5,24136
alun de Rome,3,narrow medical product,non,3,24136
alun de Rome fin rosé,1,narrow medical product,non,1,24136
alun de Rouen,2,narrow medical product,non,2,24136
alun de Surde,2,narrow medical product,non,2,24136
alun du Levant,1,narrow medical product,non,1,24136
alun en dracy,1,narrow medical product,non,1,24136
alun en rame,1,,non,,1395
alun gâté,1,narrow medical product,non,1,24136
alun ordinaire,1,narrow medical product,non,1,24136
alvés,2,not a medical product,non,1,530860
amadou,225,not a medical product,non,190,530860
amadou et agaric amadouvier,7,not a medical product,non,7,530860
amandes,1207,not a medical product,non,940,530860
amandes à la praline,4,not a medical product,non,4,530860
amandes amères,1,not a medical product,non,1,530860
amandes arachis noisettes noix noyaux,2,not a medical product,non,2,530860
amandes cassée,6,not a medical product,non,6,530860
amandes cassées,384,not a medical product,non,338,530860
amandes cassées ou en coque,3,not a medical product,non,3,530860
amandes courtes,1,not a medical product,non,1,530860
amandes douces,4,not a medical product,non,3,530860
amandes en coque,300,not a medical product,non,269,530860
amandes et figue et raisin,24,not a medical product,non,24,530860
amandes et pelures et prunes et raisin,1,not a medical product,non,1,530860
amandes et pruneaux,2,not a medical product,non,1,530860
amandes et raisin sec,2,not a medical product,non,1,530860
amandes et raisin sec et savon,1,not a medical product,non,1,530860
amandes et savon,2,not a medical product,non,1,530860
amandes et sucre,1,not a medical product,non,1,530860
amandes et verdet,1,not a medical product,non,1,530860
amandes fraîches,1,not a medical product,non,1,530860
amandes longues,1,not a medical product,non,1,530860
amandes mondées,2,not a medical product,non,2,530860
amandes sèches,64,not a medical product,non,64,530860
amandes sèches et figue sèche et ???,9,not a medical product,non,9,530860
amandes sèches et figue sèche et raisin sec,135,not a medical product,non,135,530860
amaril,1,not a medical product,oui,1,530860
amarine,1,not a medical product,non,,530860
ambrain à grande barrique,1,not a medical product,non,1,530860
ambre,42,not a medical product,non,37,530860
ambre blanc,1,not a medical product,non,,530860
ambre brut,1,not a medical product,non,1,530860
ambre carabé,21,narrow medical product,non,18,24136
ambre carabé jaune,2,narrow medical product,non,2,24136
ambre en grains,1,,non,,1395
ambre et corail,1,not a medical product,non,1,530860
ambre gris,36,not a medical product,non,33,530860
ambre jaune,72,narrow medical product,non,65,24136
ambre moulu,2,not a medical product,non,2,530860
ameny,1,narrow medical product,oui,,24136
amer,3,not a medical product,non,3,530860
amer de laine,1,not a medical product,non,1,530860
amertis,4,not a medical product,non,1,530860
ameublement,2,not a medical product,non,,530860
ameublement de chitte,1,not a medical product,non,,530860
ami de toilé,1,not a medical product,non,1,530860
amidon,1166,not a medical product,non,1007,530860
amidon alun,1,,non,,1395
amidon en grains,1,not a medical product,non,1,530860
amidon en poudre,1,,non,,1395
amidon et poudre à poudrer,1,not a medical product,non,1,530860
ammoniac,7,narrow medical product,non,7,24136
ammoniac et sel,21,narrow medical product,non,21,24136
ammonium,1,narrow medical product,non,2,24136
amomum,14,narrow medical product,non,8,24136
amomum et fèves de tonka et noix de ravensara,2,narrow medical product,non,2,24136
amomum verum,2,narrow medical product,non,2,24136
amurca,4,not a medical product,non,4,530860
anabasse,121,not a medical product,non,74,530860
anabasse ; bajutapau,3,,non,,1395
anabasse ; corat ; nicaneas ; platille,2,,non,,1395
anacardes,2,narrow medical product,non,2,24136
anacoste,3,not a medical product,non,2,530860
ananas,1,not a medical product,non,1,530860
ananas confit,2,not a medical product,non,2,530860
ananas et pommes de grenade,1,not a medical product,non,1,530860
ananas planté,1,not a medical product,non,1,530860
anatomie,1,not a medical product,non,1,530860
anatose,3,not a medical product,non,,530860
anches de tonneaux,2,not a medical product,non,2,530860
anchois,851,not a medical product,non,717,530860
anchois câpres et olives,10,not a medical product,non,4,530860
anchois câpres etc.,1,not a medical product,non,1,530860
anchois câpres olives,1,not a medical product,non,1,530860
anchois et boutargue,13,not a medical product,non,13,530860
anchois et câpres,5,not a medical product,non,1,530860
anchois et sardes,1,not a medical product,non,1,530860
anchois et sardines,5,not a medical product,non,5,530860
anchois mariné,6,not a medical product,non,6,530860
anchois mariné et salé,39,not a medical product,non,39,530860
anchois salé et mariné,2,not a medical product,non,2,530860
anchois salés,5,not a medical product,non,5,530860
anchois salés et marinés,9,not a medical product,non,9,530860
ancres,5,not a medical product,non,4,530860
ancres de chaudon,1,not a medical product,non,1,530860
ancres de fer,553,not a medical product,non,448,530860
ancres de fer à chaudrons,1,not a medical product,non,1,530860
ancres de fer au-dessus de 250 kilogrammes,1,not a medical product,non,1,530860
ancres de fer de 250 kilogrammes et au-dessous,1,not a medical product,non,1,530860
ancres de fer et embarcations,2,not a medical product,non,2,530860
ancres et embarcations,5,not a medical product,non,5,530860
ancres et grappins de fer,1,not a medical product,non,1,530860
ancres gravelées,1,not a medical product,non,1,530860
ancres neuves,3,not a medical product,non,,530860
ancres vides,4,not a medical product,non,3,530860
ancres vieilles,1,,non,,1395
ancres vieilles vides,1,not a medical product,non,1,530860
andolium,2,not a medical product,non,1,530860
andouilles,43,not a medical product,non,31,530860
andouillette,1,not a medical product,non,1,530860
ânes,174,not a medical product,non,161,530860
ânes et ânesses,9,not a medical product,non,8,530860
ânes et mulets,11,not a medical product,non,11,530860
ânesses,1,not a medical product,non,1,530860
angélique,28,narrow medical product,non,28,24136
angélique du Rozème,1,narrow medical product,non,1,24136
anguilles,22,not a medical product,non,21,530860
anguilles et truites,1,not a medical product,non,1,530860
anguilles fraîches,1,not a medical product,non,1,530860
anguilles marinées,1,not a medical product,non,1,530860
anguilles salées,22,not a medical product,non,19,530860
anille,1,not a medical product,non,1,530860
animaux,5,not a medical product,non,5,530860
anis,520,not a medical product,non,423,530860
anis et rac et rhum etc.,2,not a medical product,non,1,530860
anis et sucre,1,not a medical product,non,1,530860
anis vert,94,not a medical product,non,74,530860
anis vert à distiller,2,not a medical product,non,2,530860
anisette,113,not a medical product,non,93,530860
anisette au fiasque,6,not a medical product,non,6,530860
anisette de Bordeaux,2,not a medical product,non,2,530860
anneau de cuivre,1,,non,,1395
anneau de fer,2,not a medical product,non,2,530860
anneaux de cuivre,1,not a medical product,non,1,530860
anneaux de fer,1,,non,,1395
ânon,2,not a medical product,non,2,530860
anspects,124,not a medical product,non,112,530860
anspects de 3 à 4 pieds,1,not a medical product,non,1,530860
anspects de bois,27,not a medical product,non,22,530860
anspects de sapin,1,not a medical product,non,1,530860
antale,3,not a medical product,non,3,530860
antale et cauris,1,not a medical product,non,1,530860
antchibanis,9,not a medical product,non,3,530860
antenelle,1,not a medical product,non,1,530860
antennes,2,not a medical product,non,2,530860
antennes et mâts de bateaux,1,not a medical product,non,1,530860
antimoine,221,narrow medical product,non,194,24136
antimoine cru,27,narrow medical product,non,26,24136
antimoine métallique et sulfuré,2,not a medical product,non,2,530860
antimoine préparé,2,narrow medical product,non,2,24136
antimoine vert,1,not a medical product,non,,530860
antofle,1,not a medical product,non,1,530860
antofle de girofle,11,not a medical product,non,9,530860
apasier,1,not a medical product,non,1,530860
apier,3,not a medical product,non,3,530860
apios,7,not a medical product,non,7,530860
apparaux et bâtiments de mer,38,not a medical product,non,38,530860
apprêtée à toiler les livres,1,not a medical product,non,1,530860
apprêtée pour parchemins,1,not a medical product,non,1,530860
arachis olives fraîches,1,not a medical product,non,1,530860
arains,6,not a medical product,non,3,530860
arak,17,not a medical product,non,7,530860
arbalètes,1,not a medical product,non,1,530860
arbalètrrie et cartes marines,1,not a medical product,oui,1,530860
arbres,7,not a medical product,non,6,530860
arbres à fruits,2,not a medical product,non,2,530860
arbres à planter,142,not a medical product,non,134,530860
arbres châtaignier,4,not a medical product,non,,530860
arbres d' ???,1,not a medical product,non,1,530860
arbres d'auban,1,not a medical product,non,1,530860
arbres de sapin,1,not a medical product,non,1,530860
arbres et arbrisseaux,25,not a medical product,non,25,530860
arbres et arbrisseaux à fruits,1,not a medical product,non,1,530860
arbres et arbrisseaux sauvages,1,not a medical product,non,1,530860
arbres et arbustes,6,not a medical product,non,6,530860
arbres et plants,1,not a medical product,non,1,530860
arbres fruitiers,87,not a medical product,non,62,530860
arbres marronniers à planter,1,not a medical product,non,1,530860
arbres nains,1,not a medical product,non,,530860
arbres tilleul,3,not a medical product,non,3,530860
arbrisseaux,9,not a medical product,non,6,530860
arbustes,3,not a medical product,non,3,530860
arcanette,1,not a medical product,non,1,530860
arcanie,1,not a medical product,non,1,530860
arcanson,4,not a medical product,non,4,530860
arcanum duplicatum,2,not a medical product,non,2,530860
archets de violons,1,not a medical product,non,1,530860
archets et violon,1,not a medical product,non,1,530860
archiabanis,2,not a medical product,non,1,530860
arçons de bas de bois,1,not a medical product,non,1,530860
arçons de bois,1,not a medical product,non,1,530860
arçons de selles,14,not a medical product,non,12,530860
arçons démontés,1,not a medical product,non,,530860
ardoise,365,not a medical product,non,319,530860
ardoise à piler,1,not a medical product,non,1,530860
ardoise commune,2,not a medical product,non,1,530860
ardoise dite chérubin et à mortier,1,not a medical product,non,1,530860
ardoise dite grande voisine,1,not a medical product,non,1,530860
ardoise dite moyenne voisine,1,not a medical product,non,1,530860
ardoise dite petite voisine,1,not a medical product,non,1,530860
ardoise dite voisine grande moyenne et petite,2,not a medical product,non,1,530860
ardoise en carreaux,1,not a medical product,non,1,530860
ardoise en carreaux et d'1 pied carré,1,not a medical product,non,1,530860
ardoise en carreaux ou en table,7,not a medical product,non,7,530860
ardoise en livret,1,not a medical product,non,1,530860
ardoise encadrée,1,not a medical product,non,1,530860
ardoise encadrée et en livret,1,not a medical product,non,1,530860
ardoise non travaillée,1,not a medical product,non,1,530860
ardoise pour fenêtre,6,not a medical product,non,5,530860
ardoise pour toiture,8,not a medical product,non,8,530860
ardoise pour toiture au kilogramme,1,not a medical product,non,1,530860
ardoise pour toiture au nombre,2,not a medical product,non,2,530860
ardoise verte,1,not a medical product,non,1,530860
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,not a medical product,non,9,530860
arelles de baleine,1,,non,,1395
argent,11,not a medical product,non,10,530860
argent battu,1,not a medical product,non,1,530860
argent battu et en feuille,2,not a medical product,non,2,530860
argent battu filé laminé et tiré,3,not a medical product,non,3,530860
argent brisé et en lingots et en masses,1,not a medical product,non,1,530860
argent brûlé,1,not a medical product,non,1,530860
argent brut,1,not a medical product,non,1,530860
argent brut en lingot et en masse ouvrages détruits,2,not a medical product,non,2,530860
argent carragoux,2,not a medical product,non,2,530860
argent en barils,1,not a medical product,non,1,530860
argent en barres,2,not a medical product,non,2,530860
argent en lingots,18,not a medical product,non,15,530860
argent en lingots par Calais,1,not a medical product,non,1,530860
argent et or,237,not a medical product,non,237,530860
argent et or billon,1,not a medical product,non,1,530860
argent faux,9,not a medical product,non,9,530860
argent faux en fil cantilles etc.,2,not a medical product,non,1,530860
argent faux et or faux,53,not a medical product,non,53,530860
argent faux et or faux traits,1,not a medical product,non,1,530860
argent fin,1,not a medical product,non,1,530860
argent monnayé et nogat d'or,4,not a medical product,non,4,530860
argent talari,0,not a medical product,oui,4,530860
argent vif,3,not a medical product,non,3,530860
argenterie,732,not a medical product,non,667,530860
argenterie épée,7,not a medical product,non,7,530860
argenterie et bijouterie,14,not a medical product,non,14,530860
argenterie et bijouterie et orfèvrerie,1,not a medical product,non,1,530860
argenterie et orfèvrerie,122,not a medical product,non,122,530860
argenterie et orfèvrerie vermeil,37,not a medical product,non,37,530860
argenterie neuve,4,not a medical product,non,1,530860
argenterie vieille,12,not a medical product,non,9,530860
argile et terre pour engrais,15,not a medical product,non,15,530860
arins,1,not a medical product,non,,530860
aristoloche,68,narrow medical product,non,60,24136
armement de tables,3,not a medical product,non,3,530860
armes,251,not a medical product,non,246,530860
armes à feu,368,not a medical product,non,331,530860
armes à feu de guerre,2,not a medical product,non,2,530860
armes à feu de guerre et de traite,1,not a medical product,non,1,530860
armes à feu de guerre portatives,2,not a medical product,non,2,530860
armes à feu de luxe,4,not a medical product,non,4,530860
armes à feu de luxe ou de traite,3,not a medical product,non,3,530860
armes à feu de munitions,2,not a medical product,non,2,530860
armes à feu de munitions fines,4,not a medical product,non,4,530860
armes à feu de traite,1,not a medical product,non,1,530860
armes à feu et artillerie,1,not a medical product,non,1,530860
armes à feu et de traite,1,not a medical product,non,1,530860
armes à feu et fusils,1,not a medical product,non,,530860
armes armureries,1,not a medical product,non,,530860
armes autres que de guerre à feu,1,not a medical product,non,1,530860
armes autres que de guerre blanches,1,not a medical product,non,1,530860
armes blanches,201,not a medical product,non,187,530860
armes blanches de guerre,1,not a medical product,non,1,530860
armes blanches de guerre et de traite,1,not a medical product,non,1,530860
armes blanches de luxe,2,not a medical product,non,2,530860
armes blanches de luxe ou de traite,3,not a medical product,non,3,530860
armes blanches de traite,1,not a medical product,non,1,530860
armes de chasse ou de luxe à feu,2,not a medical product,non,2,530860
armes de chasse ou de luxe blanches,2,not a medical product,non,2,530860
armes de guerre,2,not a medical product,non,2,530860
armes différentes,1,not a medical product,non,,530860
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,not a medical product,non,3,530860
armes et munitions,9,not a medical product,non,9,530860
armes lames,1,not a medical product,non,1,530860
armes remontrances,1,not a medical product,non,1,530860
armoires,57,not a medical product,non,49,530860
armoires ayant servi,1,not a medical product,non,1,530860
armoires d'acajou,12,not a medical product,non,6,530860
armoires de bois,1,not a medical product,non,,530860
armoires de bois de noyer,1,not a medical product,non,1,530860
armoires de bois de sapin peintes,1,not a medical product,non,,530860
armoires de bois des Indes,1,not a medical product,non,1,530860
armoires de chêne,9,not a medical product,non,5,530860
armoires de chêne ornée,1,not a medical product,non,1,530860
armoires de noyer,9,not a medical product,non,3,530860
armoires de sapin,3,not a medical product,non,1,530860
armoires et commodes,1,not a medical product,non,,530860
armoires vieilles,2,not a medical product,non,1,530860
armoisin,46,not a medical product,non,13,530860
armure de fer,1,not a medical product,non,1,530860
armure vieille,1,not a medical product,non,1,530860
arnas,1,not a medical product,non,,530860
arpois,1,not a medical product,non,1,530860
arquebuse,1,not a medical product,non,1,530860
arrangas,1,not a medical product,non,1,530860
arrosoirs,6,not a medical product,non,5,530860
arrosoirs de bois,2,not a medical product,non,1,530860
arrosoirs de cuivre,1,not a medical product,non,1,530860
arrosoirs de fer,1,,non,,1395
arrosoirs de fer-blanc,6,not a medical product,non,4,530860
arrosoirs de sapin,1,not a medical product,non,1,530860
arrosoirs de terre,1,not a medical product,non,,530860
arrowroot,1,not a medical product,non,1,530860
arséniate de potasse,2,narrow medical product,non,2,24136
arsenic,411,narrow medical product,non,363,24136
arsenic métallique,6,narrow medical product,non,6,24136
artichauts,78,not a medical product,non,76,530860
artichauts champignons et truffes,2,not a medical product,non,2,530860
artichauts confits,68,not a medical product,non,38,530860
artichauts frais,17,not a medical product,non,14,530860
artichauts marinés,2,not a medical product,non,2,530860
artichauts secs,6,not a medical product,non,5,530860
artifice,5,not a medical product,non,5,530860
artifice fusées etc.,1,not a medical product,non,1,530860
artillerie,6,not a medical product,non,6,530860
asa fœtida,123,narrow medical product,non,109,24136
asperges,9,not a medical product,non,9,530860
asperges confites,1,not a medical product,non,,530860
asperges et scorsonères,1,not a medical product,non,1,530860
asphaltum,19,narrow medical product,non,19,24136
assiette,1,not a medical product,non,1,530860
assiette de Biarritz,1,not a medical product,non,1,530860
assiette de bois,1,not a medical product,non,1,530860
assiette de faïence,8,not a medical product,non,3,530860
assiette de porcelaine,3,not a medical product,non,1,530860
assiette de porcelaine des Indes,1,not a medical product,non,,530860
assiette de terre,6,not a medical product,non,5,530860
assiette et plats de terre,1,not a medical product,non,1,530860
asustum,1,narrow medical product,non,1,24136
atastes,1,not a medical product,non,,530860
atlas,2,not a medical product,non,,530860
atlas à la feuille d'or,1,,non,,1395
atlas et instruments de marine,1,not a medical product,non,,530860
atlas jaspé,1,,non,,1395
attaches de cuivre,1,not a medical product,non,1,530860
attelles de colliers,14,not a medical product,non,14,530860
