marchandises_norm_ortho,marchandises_simplification,nbr_occurences_ortho
agrément au quart,agrément au quart,3
agrément d'argent,agrément d'argent,2
agrément d'or,agrément d'or,1
agrément de fil,agrément de fil,9
agrément de fleur,agrément de fleur,1
agrément de soie,agrément de soie,56
agrément de soie et d'argent,agrément de soie et d'argent,1
agrément de soie et fil,agrément de fil et de soie,1
agrément de soie or et argent faux,agrément de soie or et argent faux,1
agrément or et argent,agrément d'or et d'argent,5
agrément soie et fil,agrément de fil et de soie,2
agrès,agrès,1
agrès de navire,agrès,10
agrès de navire en voile,voile de navire,1
agrès de navire et jeux de voile,agrès de navire et jeux de voile,5
agrès de navire jeux de voile,agrès de navire et jeux de voile,5
agrès de vaisseaux,agrès,1
agrès et apparaux,agrès et apparaux,1
agrès et apparaux d'or navire,agrès et apparaux d'or navire,1
agrès et voiles de navire,agrès et voile de navire,1
aigles,aigles,1
aigre de cèdre,aigre de cèdre,9
aigre de cidre,aigre de cidre,5
aigre de vitriol,aigre de vitriol,17
aigrettes,aigrettes,10
aigrettes de fil or et argent,aigrettes de fil d'or et d'argent,1
aigrettes de soie,aigrettes de soie,1
aigrettes de soie et argent,aigrettes de soie et argent,1
aiguières d'étain,aiguières d'étain,1
aiguilles,aiguilles,194
aiguilles à boîtes,aiguilles à boîtes,1
aiguilles à coudre,aiguilles à coudre,48
aiguilles à coudre voiles,aiguilles à coudre voiles,1
aiguilles à ralingue,aiguilles à ralingue,1
aiguilles à tabac,aiguilles à tabac,1
aiguilles à toile,aiguilles à toile,1
aiguilles à voile,aiguilles pour voile,37
aiguilles d'emballage,aiguilles d'emballage,1
aiguilles d'emballeur,aiguilles d'emballage,1
aiguilles espars de sapin,aiguilles epars de sapin,1
aiguilles grosses,aiguilles grosses,1
aiguillettes,aiguillettes,1
ailes,ailes,4
ailes de fléaux,ailes de fléaux,1
ailes de moulins,ailes de moulins,1
ailor,ailor,1
ails,ails,191
ails à fauches,ails à fauches,1
ails blancs à casser,ails blancs à casser,1
aimant,aimant,1
ains,ains à pêcher,2
ains à pêcher,ains à pêcher,41
ains et lignes à pêcher,ains et lignes à pêcher,2
airain,airain,6
airain en batterie,batterie d'airain,4
airain non ouvré,airain non ouvré,4
airain ouvré,ouvrages d'airain,15
ajustements,ajustements,37
ajustements de femme,ajustements de femme,4
ajustements de soie,ajustements de soie,2
ajustements pour femme,ajustements de femme,1
alambics,alambics,17
alambics d'étain,alambics d'étain,16
alambics de cuivre,alambics de cuivre,1
alambics de terre,alambics de terre,1
alambics en cuivre,alambics de cuivre,1
alana (tripoli),alana,2
alazar,alazar,2
albâtre,albâtre,5
albâtre brut,albâtre brut,3
albâtre et marbre ouvrés,ouvrages de marbre et ouvrages d'albâtre,29
"albâtre sculpté, moulé ou poli",albâtre moulé poli ou sculpté,6
alcalis cendre de bois vive,cendre de bois vive,3
alcalis natron,natron,3
alcalis perlasse et cendre gravelées,perlasse et gravelées,1
alcalis potasse,potasse,8
alcalis salin,alcalis salin,1
alcalis soude autre que natron,alcalis autre que natron et soude,2
alcalis soude de toute sorte,soude de toute sorte,6
alcalis soude et natron,natron et soude,1
alènes,alènes,4
alènes de cordonnier,alènes,1
alibanies,alibanies,95
alibanies étoffe,alibanies,1
alizary,alizari,1
alkermés,alkermés,1
allaya,allaya,84
alleaux,alleaux,1
allumettes,allumettes,52
allumettes à vin,allumettes à vin,29
allumettes de coton,allumettes de coton,1
allumettes de mêche soufrée,allumettes de mêche soufrée,1
allumettes droguées,allumettes droguées,3
allumettes épicées,allumettes épicée,2
allumettes opérées et soufrées,allumettes opérées et soufrées,1
allumettes soufrées,allumettes soufrées,12
almagro ou crayon rouge,almagro ou crayon rouge,1
almanachs,almanachs,1
almanachs enjolivés,almanachs enjolivés,1
aloès,aloès,222
aloès cabalin,aloès cabalin,4
aloès commun,aloès commun,1
aloès hépatique,aloès hépatique,1
aloès moyen,aloès moyen,2
aloiset,aloiset,1
alose,alose,1
alose dite elft,alose,1
alose fumée,alose fumée,1
alose salée,alose salée,5
aloues,aloues,1
alouettes,alouettes,2
alpargate,alpargate,37
alphabets,alphabets,1
alpiste,alpiste,20
alpiste et millet,alpiste et millet,9
alquifoux,alquifoux,449
alquifoux et mine de plomb,alquifoux et mine de plomb,36
alquifoux mine de plomb ou graphite,alquifoux mine de plomb ou graphite,23
alquifoux ou mine de plomb,alquifoux ou mine de plomb,1
alquitra,alquitra,3
aluchiabanis,aluchiabanis,2
alun,alun,1732
alun à cordonnier,alun à cordonnier,1
alun bon,alun bon,2
alun de glace,alun de glace,1
alun de Rome,alun de Rome,3
alun en rame,alun en rame,1
alun gâté,alun gâté,1
alvés,alvés,2
amadou,amadou,227
amadou et agaric amadouvier,amadou et agaric amadouvier,7
amandes,amandes,1121
amandes à la praline,amandes à la praline,4
amandes amères,amandes amères,1
amandes cassées,amandes cassées,383
amandes coque,amandes en coque,1
amandes courtes,amandes courtes,1
amandes diverses,amandes,2
amandes douces,amandes douces,4
amandes en coque,amandes en coque,287
amandes en coque ou cassées,amandes cassées ou en coque,3
amandes et pruneaux,amandes et pruneaux,2
amandes et raisin sec,amandes et raisin sec,1
amandes et savon,amandes et savon,2
amandes et vert-de-gris,amandes et verdet,1
amandes longues,amandes longues,1
amandes mondées,amandes mondées,2
amandes raisin sec et savon,amandes et raisin sec et savon,1
amaril,amaril,1
amarine,amarine,1
ambrain à grande barrique,ambrain à grande barrique,1
ambre,ambre,41
ambre blanc,ambre blanc,1
ambre brut,ambre brut,1
ambre carabé,ambre carabé,21
ambre et corail,ambre et corail,1
ambre gris,ambre gris,35
ambre jaune,ambre jaune,66
ambre jaune carabé,ambre carabé jaune,2
ambre jaune travaillé,ouvrages d'ambre jaune,1
ambre moulu,ambre moulu,2
ambre ouvré,ouvrages d'ambre,1
ameny,ameny,1
amer,amer,3
amertis,amertis,4
ameublement,ameublement,2
ameublement de chitte,ameublement de chitte,1
ami de toilé,ami de toilé,1
amidon,amidon,1165
amidon alun,amidon alun,1
amidon en grains,amidon en grains,1
amidon et poudre à poudrer,amidon et poudre à poudrer,1
ammoniac,ammoniac,1
ammonium,ammonium,5
amomum,amomum,11
amomum et fèves de tonka et noix de ravensara,amomum et fèves de tonka et noix de ravensara,2
amomum verum,amomum verum,2
amurca,amurca,3
amurca ou marc d'olive,amurca,1
anabasse,anabasse,120
anabasse ; bajutapau,anabasse ; bajutapau,3
anabasse ; corat ; nicaneas ; platille,anabasse ; corat ; nicaneas ; platille,2
anacardes,anacardes,2
anacoste,anacoste,3
ananas,ananas,1
ananas confit,ananas confit,2
ananas planté,ananas planté,1
anatomie,anatomie,1
anatose,anatose,3
anches de tonneaux,anches de tonneaux,2
anchois,anchois,843
anchois câpres etc.,anchois câpres etc.,1
anchois salés,anchois salés,1
ancres,ancres,5
ancres de chaudon,ancres de chaudon,1
ancres de fer,ancres de fer,266
ancres de fer à chaudons,ancres de fer à chaudrons,1
ancres et grappins de fer,ancres et grappins de fer,1
ancres gravelées,ancres gravelées,1
ancres neuves,ancres neuves,3
ancres vides,ancres vides,4
ancres vieilles vides,ancres vieilles vides,1
ancres vielles,ancres vieilles,1
andolium,andolium,1
andolium ou crockfish,andolium,1
andouilles,andouilles,43
andouillette,andouillette,1
ânes,ânes,159
ânes et ânesses,ânes et ânesses,8
ânesses,ânesses,1
angélique,angélique,28
angélique du Rozème,angélique du Rozème,1
anguilles,anguilles,23
anguilles marinées,anguilles marinées,1
anguilles salées,anguilles salées,22
aniec,anis,5
anille,anille,1
anis,anis,515
anis et sucre,anis et sucre,1
anis étoilé,badiane,15
anis vert,anis vert,93
anisette,anisette,99
anisette de Bordeaux,anisette de Bordeaux,2
anneau de cuivre,anneau de cuivre,1
anneau de fer,anneau de fer,2
ânon,ânon,2
anspects,anspects,124
anspects barre,barres d'anspects,1
anspects de 3 à 4 pieds,anspects de 3 à 4 pieds,1
anspects de sapin,anspects de sapin,1
antale,antale,3
antchibanis,antchibanis,9
antenelle,antenelle,1
antennes,antennes,2
antennes et mâts de bateaux,antennes et mâts de bateaux,1
antimoine,antimoine,190
antimoine cru,antimoine cru,25
antimoine cru et préparé,antimoine,4
antimoine préparé,antimoine préparé,2
antimoine sulfuré et métallique,antimoine métallique et sulfuré,2
antimoine vert,antimoine vert,1
antofle,antofle,1
antofle de girofle,antofle de girofle,11
apasier,apasier,1
apier,apier,3
apios,apios,7
apprêtée à toiler les livres,apprêtée à toiler les livres,1
apprêtée pour parchemins,apprêtée pour parchemins,1
arains,arains,6
arak,arak,15
arak boisson,arak,1
arbalètes,arbalètes,1
arbalètrrie et cartes marines,arbalètrrie et cartes marines,1
arbres,arbres,5
arbres à fruits,arbres à fruits,2
arbres à planter,arbres à planter,140
arbres châtaignier,arbres châtaignier,4
arbres de sapin,arbres de sapin,1
arbres en ???,arbres,1
arbres en plants,arbres à planter,2
arbres en plants de bois d'???,arbres d' ???,1
arbres en plants de bois d'auban,arbres d'auban,1
arbres et arbrisseaux,arbres et arbrisseaux,25
arbres et arbrisseaux à fruits,arbres et arbrisseaux à fruits,1
arbres et arbrisseaux sauvages,arbres et arbrisseaux sauvages,1
arbres et arbustes,arbres et arbustes,4
arbres et arbustes divers,arbres et arbustes,2
arbres et plants divers,arbres et plants,1
arbres fruitiers,arbres fruitiers,87
arbres marronniers à planter,arbres marronniers à planter,1
arbres nains,arbres nains,1
arbres orangers,orangers,2
arbres plants de bois,arbres,1
arbres tilleul,arbres tilleul,3
arbrisseaux,arbrisseaux,9
arbustes,arbustes,3
arcanette,arcanette,1
arcanie,arcanie,1
arcanson,arcanson,4
arcanum duplicatum,arcanum duplicatum,2
archets de violons,archets de violons,1
archiabanis,archiabanis,1
arçons de bas de bois,arçons de bas de bois,1
arçons de bois,arçons de bois,1
arçons de selles,arçons de selles,14
arçons démontés,arçons démontés,1
ardoise,ardoise,364
ardoise à piler,ardoise à piler,1
ardoise dite cherubin et à mortier,ardoise dite chérubin et à mortier,1
ardoise dite grande voisine,ardoise dite grande voisine,1
ardoise dite moyenne voisine,ardoise dite moyenne voisine,1
ardoise dite petite voisine,ardoise dite petite voisine,1
ardoise dite voisine grande moyenne et petite,ardoise dite voisine grande moyenne et petite,2
ardoise en carreaux,ardoise en carreaux,1
ardoise en carreaux d'1 pied carré,ardoise en carreaux et d'1 pied carré,1
ardoise en carreaux ou en table,ardoise en carreaux ou en table,7
ardoise en livret,ardoise en livret,1
ardoise encadrée,ardoise encadrée,1
ardoise encadrée et en livret,ardoise encadrée et en livret,1
ardoise non travaillée,ardoise non travaillée,1
ardoise ordinaire,ardoise commune,2
ardoise pour fenêtre,ardoise pour fenêtre,6
ardoise pour toitures,ardoise pour toiture,8
ardoise pour toitures au kilogramme,ardoise pour toiture au kilogramme,1
ardoise pour toitures au nombre,ardoise pour toiture au nombre,2
ardoise verte,ardoise verte,1
ardoises tablettes,tablettes d'ardoise,1
argent,argent,1
argent argent carragoux,argent carragoux,2
argent argent piastres,piastres,3
argent argent piastres d'Espagne,piastres d'Espagne,6
argent argent piastres du Grand Seigneur,piastres du grand seigneur,2
argent argent talaris,talaris,4
argent battu,argent battu,1
argent battu et en feuilles,argent battu et en feuille,2
"argent battu, tiré, laminé et filé",argent battu filé laminé et tiré,3
argent brûlé,argent brûlé,2
argent brut en masses et en lingots et brisé,argent brisé et en lingots et en masses,1
argent brut en masses et en lingots et ouvrages détruits,argent brut en lingot et en masse ouvrages détruits,2
argent divers,argent,5
argent en barils,argent en barils,1
argent en barres,argent en barres,3
argent en bijouterie,bijouterie en argent,1
argent en lames,lames d'argent,1
argent en lingots,argent en lingots,17
argent en lingots de bas aloi,argent en lingots,1
argent en lingots par Calais,argent en lingots par Calais,1
argent en matières,argent,1
argent en monnaie,monnaies d'argent,1
argent en orfèvrerie,orfèvrerie d'argent,2
argent en piastres,piastres,2
argent en piastres gourdes,piastres gourdes,1
argent et or billon,argent et or billon,1
argent et or monnayé argent brut,argent brut,1
argent et or monnayé argent en feuilles,feuilles d'argent,1
argent et or monnayé argent monnayé,monnaies d'argent,2
argent et or monnayé or monnayé,monnaies d'or,1
argent et or monnayé piastres,piastres,6
argent et or monnayé sequins,sequins,2
argent faux,argent faux,9
argent faux en fil cantilles etc.,argent faux en fil cantilles etc.,2
argent fin,argent fin,1
argent monnayé,monnaies d'argent,24
argent monnayé en écus à palmes,écus à palmes,1
argent monnayé en espèces coursables,monnaies d'argent en espèces coursables,1
argent monnayé en piastres,piastres,2
argent monnayé en piastres et talaris,piastres et talaris,1
argent monnayé en piastres et talaris par La Cure et Strasbourg,piastres et talaris par La Cure et Strasbourg,1
argent monnayé en piastres et talaris par Marseille,piastres et talaris par Marseille,2
argent monnayé en piastres et talaris par Strasbourg,piastres et talaris par Strasbourg,1
argent monnayé en piastres par le Havre,piastres par le Havre,1
argent monnayé en piastres par le Pont de Beauvoisin,piastres par le Pont de Beauvoisin,2
argent monnayé en talaris,talaris,1
argent monnayé par Calais,monnaies d'argent par Calais,2
argent monnayé par Strasbourg et Metz,monnaies d'argent par Strasbourg et Metz,1
argent monnayé par Valenciennes,monnaies d'argent par Valenciennes,1
argent oeis,argent vif,3
argent or quadruples,monnaies d'or quadruple,3
argent or sequins,sequins,1
argent or sequins vénitiens,sequins,2
argent ouvré,ouvrages d'argent,1
argent vif,mercure,498
argent vif et mercure,mercure,9
argent vif ou mercure,mercure,32
argenterie,argenterie,685
argenterie bagues,bagues d'argent,1
argenterie boucles,boucles d'argent,2
argenterie bugues,bagues d'argent,1
argenterie croix,croix d'argent,2
argenterie croix d'argent neuve,croix d'argent neuve,1
argenterie diverse,argenterie,41
argenterie en vaisselle,vaisselle d'argent,1
argenterie épée,argenterie épée,7
argenterie et bijouterie,argenterie et bijouterie,14
argenterie et orfévrerie,argenterie et orfèvrerie,112
argenterie et orfévrerie en vermeil,argenterie et orfèvrerie vermeil,19
argenterie et orfèvrerie en vermeil,argenterie et orfèvrerie vermeil,18
argenterie neuve,argenterie neuve,4
argenterie tabatières,tabatières d'argent,1
argenterie vieille,argenterie vieille,12
arins,arins,1
aristoloche,aristoloche,67
armement de tables,armement de tables,3
armes,armes,132
armes à feu,armes à feu,325
armes à feu boucaniers,boucaniers,1
armes à feu de munitions,armes à feu de munitions,2
armes à feu de munitions fines,armes à feu de munitions fines,4
armes à feu dites de luxe,armes à feu de luxe,2
armes à feu diverses,armes à feu,31
armes à feu en fusils,fusils,3
armes à feu en fusils à deux coups,fusils à deux coups,3
armes à feu en fusils de chasse,fusils de chasse,4
armes à feu en fusils de traite,fusils de traite,7
armes à feu en fusils dits boucaniers,boucaniers,5
armes à feu en pistolets,pistolets,3
armes à feu et artillerie,armes à feu et artillerie,1
armes à feu et de traite,armes à feu et de traite,1
armes à feu et fusils,armes à feu et fusils,1
armes à feu fusils,fusils,120
armes à feu fusils de chasse,fusils de chasse,3
armes à feu fusils de maître,fusils de maître,1
armes à feu fusils de munitions,fusils de munitions,1
armes à feu fusils de traite,fusils de traite,6
armes à feu fusils et leurs baïonnettes,fusils et leurs baïonnettes,1
armes à feu fusils ordinaires,fusils ordinaires,3
armes à feu mousquetons,mousquetons,1
armes à feu paires de pistolets,pistolets par paire,1
armes à feu pistolets,pistolets,32
armes à feu pistolets de traite,pistolets de traite,3
armes armureries,armes armureries,1
armes autres que de guerre à feu,armes autres que de guerre à feu,1
armes autres que de guerre blanches,armes autres que de guerre blanches,1
armes baïonnettes,baïonnettes,1
armes blanches,armes blanches,178
armes blanches baïonnettes,baïonnettes,2
armes blanches diverses,armes blanches,18
armes blanches en épée,épée,1
armes blanches en sabres,sabres,2
armes blanches en sabres de traite,sabres de traite,1
armes blanches en sabres ordinaires,sabres ordinaires,2
armes blanches épée,épée,12
armes blanches épée d'argent,épée d'argent,1
armes blanches et à feu,armes,3
armes blanches lames,armes lames,1
armes blanches lames d'épée,lames d'épée,3
armes blanches lames de fleuret,lames de fleuret,1
armes blanches lames de sabres,lames de sabres,4
armes blanches lances,lances,1
armes blanches sabres,sabres,37
armes blanches sabres et baïonnettes,sabres et baïonnettes,1
armes canons de fer,canons de fer,2
armes canons et affûts,affûts et canons,1
armes canons et balles de fer,canons de fer et balles de fer,1
armes de chasse ou de luxe à feu,armes de chasse ou de luxe à feu,2
armes de chasse ou de luxe blanches,armes de chasse ou de luxe blanches,2
armes de feu,armes à feu,1
armes de guerre,armes de guerre,2
armes de guerre à feu,armes à feu de guerre,2
armes de guerre à feu portatives,armes à feu de guerre portatives,2
armes de guerre blanches,armes blanches de guerre,1
armes de luxe à feu,armes à feu de luxe,2
armes de luxe blanches,armes blanches de luxe,2
armes de luxe ou de traite à feu,armes à feu de luxe ou de traite,3
armes de luxe ou de traite blanches,armes blanches de luxe ou de traite,3
armes de traite à feu,armes à feu de traite,1
armes de traite blanches,armes blanches de traite,1
armes de traite et de guerre à feu,armes à feu de guerre et de traite,1
armes de traite et de guerre blanches,armes blanches de guerre et de traite,1
armes différentes,armes différentes,1
armes diverses,armes,112
armes diverses à feu,armes à feu,5
armes diverses blanches,armes blanches,3
armes diverses et munitions de guerre,armes et munitions,9
armes épées,épée,2
armes et artillerie armes à feu,armes à feu,5
armes et artillerie armes blanches,armes blanches,2
armes et artillerie artillerie en canons pierriers espingoles et mortiers,armes et artillerie artillerie en canons pierriers espingoles et mortiers,3
armes fusils,fusils,5
armes fusils de traite,fusils de traite,5
armes non reprises,armes,1
armes pistolets,pistolets,3
armes platines de fusils,platines de fusils,1
armes remontrances,armes remontrances,1
armes sabres,sabres,3
armes sabres de traite,sabres de traite,2
armoire d'acajou,armoires d'acajou,1
armoires,armoires,57
armoires ayant servi,armoires ayant servi,1
armoires d'acajou,armoires d'acajou,8
armoires de bois,armoires de bois,1
armoires de bois d'acajou,armoires d'acajou,3
armoires de bois de chêne,armoires de chêne,1
armoires de bois de noyer,armoires de noyer,3
armoires de bois de sapin,armoires de sapin,1
armoires de bois de sapin peintes,armoires de bois de sapin peintes,1
armoires de bois des Îles,armoires de bois des Indes,1
armoires de chêne,armoires de chêne,8
armoires de chêne ornée,armoires de chêne ornée,1
armoires de noyer,armoires de noyer,6
armoires de sapin,armoires de sapin,2
armoires et commodes,armoires et commodes,1
armoires vieilles,armoires vieilles,2
armoisin,armoisin,46
armure vieille,armure vieille,1
arnas,arnas,1
arpois,arpois,1
arquebuse,arquebuse,1
arrangas,arrangas,1
arrelles de baleine,arelles de baleine,1
arrosoirs,arrosoirs,6
arrosoirs de bois,arrosoirs de bois,2
arrosoirs de cuivre,arrosoirs de cuivre,1
arrosoirs de fer-blanc,arrosoirs de fer-blanc,4
arrosoirs de sapin,arrosoirs de sapin,1
arrosoirs de terre,arrosoirs de terre,1
arrowroot,arrowroot,1
arséniate de potasse,arséniate de potasse,2
arsenic,arsenic,391
arsenic métallique,arsenic métallique,6
artichauts,artichauts,79
artichauts confits,artichauts confits,68
artichauts frais,artichauts frais,16
artichauts marinés,artichauts marinés,2
artichauts secs,artichauts secs,6
artichauts verts,artichauts frais,1
articles d'industrie réunis,ouvrages d'industrie,240
Articles de manufactures étrangères en toile à voile,toile pour voile étrangère,1
articles de peu de valeur réunis,divers,19
articles réunis,divers,2410
articles réunis d'une valeur moindre de 2000 francs chacun,divers,136
articles réunis de peu de valeur,divers,379
articles réunis et tissus étrangers réexportés,divers,26
artifice,artifice,5
artifice fusées etc.,artifice fusées etc.,1
artillerie,artillerie,6
artillerie canons de différents calibres,canons de différents calibres,1
artillerie en bombes et boulets,bombes et boulets,2
artillerie en boulets,boulets,1
artillerie en canons bombes,bombes et canons,3
artillerie en canons de fer,canons de fer,3
asa foetida,asa fœtida,119
asperges,asperges,9
asperges confites,asperges confites,1
asperges et scorsonères,asperges et scorsonères,1
asperges plants,plants d'asperges,1
asphaltum,asphaltum,15
asphaltum ou bitume de Judée,asphaltum,4
assiette,assiette,1
assiette de Biarritz,assiette de Biarritz,1
assiette de bois,assiette de bois,1
assiette de faïence,assiette de faïence,6
assiette de porcelaine,assiette de porcelaine,3
assiette de porcelaine des Indes,assiette de porcelaine des Indes,1
assiette de terre,assiette de terre,6
asustum,asustum,1
atastes,atastes,1
atlas,atlas,2
atlas à fleurs d'or,atlas à la feuille d'or,1
atlas et instruments de marine,atlas et instruments de marine,1
atlas jaspé,atlas jaspé,1
attaches de cuivre,attaches de cuivre,1
attelles de colliers,attelles de colliers,14
aube,aube,1
auclimes,auclimes,2
auf,auf,117
auf ouvré,ouvrages d'auf,23
auf travaillé,ouvrages d'auf,3
auf travaillé en cordes,cordes d'auf,1
augemy,augemy,2
auges,auges,3
auges de carreaux,auges de carreaux,2
augustins,augustins,2
aurcsats,aurcsats,1
aurcsats étoile,aurcsats étoile,1
aussière,aussière,4
autel de marbre,autel de marbre,2
autre outil de pur acier,outil d'acier pur,1
autres céréales farine,farine,4
autres céréales grains,grains,5
autres céréales grains de la Corse,grains de la Corse,1
autres couleurs autrement préparées,couleurs autrement préparées,2
autres couleurs préparées à l'huile,couleurs préparées à l'huile,2
autres matériaux de construction,matériaux de construction,2
autres matières minérales de toute sorte,matières minérales,2
autres métaux,métaux,144
autres outils de fer rechargé d'acier,outils de fer rechargé d'acier,1
autres outils de pur fer,outils de fer pur,1
avelanèdes,avelanèdes,53
"avelanèdes, valonèdes ou vallonées",avelanèdes,5
avelines,avelines,8
aviron,avirons,1
avirons,avirons,638
avirons bruts,avirons bruts,17
avirons de 12 pieds,avirons de 12 pieds,1
avirons de 18 pieds,avirons de 18 pieds,1
avirons de 30 pieds,avirons de 30 pieds,1
avirons de 5 pieds,avirons de 5 pieds,1
avirons de 8 à 12,avirons de 8 à 12 pieds,1
avirons de chêne,avirons de chêne,1
avirons de sapin,avirons de sapin,1
avirons et rames bruts,avirons et rames bruts,2
avirons et rames façonnés,avirons et rames façonnés,5
avirons polis,avirons polis,1
avoine,avoine,497
avoine en gerbes,avoine en gerbes,1
avoine et haricots,avoine et haricots,1
avoine mondée,avoine mondée,1
avoine moulée,avoine moulée,1
avoine orge etc.,avoine et orge etc.,1
azur,azur,671
azur commun,azur commun,193
azur et cobalt,azur et cobalt,20
azur fin,azur fin,13
azur gros,azur gros,19
azur ou bleu commun,azur commun,1
babouches,babouches,90
babouches de maroquin,babouches de maroquin,2
bacs contenant une aime,bacs d'1 aime,1
bacs de pierre,bacs de pierre,1
bacs de pierre bleue,bacs de pierre bleue,1
bacs de pierre contenant 1 aime,bacs de pierre d'1 aime,1
bacs de pierre contenant 4 aimes,bacs de pierre de 4 aimes,1
bacs de pierre de demi d'aime,bacs de pierre de demi d'aime,1
bacs de pierre de moindre classe,bacs de pierre de moindre classe,1
bacs de pierre de trois-quart d'aime,bacs de pierre de trois-quart d'aime,1
bacs de pierre en dessous d'1 aime,bacs de pierre en dessous d'1 aime,1
bacs de pierre en dessus d'1 aime,bacs de pierre en dessus d'1 aime,1
badiane,badiane,6
badiane ou anis étoilé,badiane,1
baffetas,taffetas,105
baffetas blanc,baffetas blanc,19
baffetas bleu,baffetas bleu,26
bagarot,bagarot,1
bagues,bagues,5
bagues à pierres fausses,bagues à pierres fausses,1
bagues d'or,bagues d'or,1
bagues de cuivre,bagues de cuivre,2
bagues de laiton,bagues de laiton,1
bagues de verre,bagues de verre,3
baguettes,baguettes,6
baguettes à chandelle,baguettes à chandelle,1
baguettes à fusils,baguettes de fusil,4
baguettes de bois,baguettes de bois,1
baguettes de bois doré,baguettes de bois doré,1
