quantity_unit,quantity_unit_ortho,source_bdc,nbr_bdc_quantity_unit,nbr_bdc_quantity_unit_ortho
34 a 35 pieds,,1,1,160059
34 pieds,,1,5,160059
35 à 56 pieds,,1,1,160059
35 pieds,,1,7,160059
36 à 37 pieds,,1,1,160059
36 à 40 pieds,,1,1,160059
36 pieds,,1,12,160059
37 pieds,,1,1,160059
38 à 40 pieds,,1,2,160059
38 pieds,,1,4,160059
4 à 5 pieds,,1,11,160059
4 à 6 pieds,,1,1,160059
4 pieds,,1,7,160059
4 pieds de long,,1,1,160059
40 à 42 pieds,,1,1,160059
40 à 46 pieds,,1,1,160059
40 à 50 pieds,,1,4,160059
40 à 60 pieds,,1,2,160059
40 ou 42 pieds,,1,1,160059
40 ou 45 pieds,,1,1,160059
40 ou 60 pieds,,1,1,160059
40 pieds,,1,8,160059
42 à 43 pieds,,1,1,160059
42 à 45 pieds,,1,1,160059
42 à 50 pieds,,1,1,160059
42 à 65 pieds,,1,1,160059
42 pieds,,1,2,160059
43 pieds,,1,1,160059
44 à 50 pieds,,1,1,160059
44 pieds,,1,4,160059
45 à 50 pieds,,1,1,160059
45 à 70 pieds,,1,1,160059
45 ou 50 pieds,,1,1,160059
45 pieds,,1,6,160059
450 Feuilles,450 feuilles,1,1,1
46 à 53 pieds,,1,1,160059
46 pieds,,1,3,160059
47 a 50 pieds,,1,1,160059
48 pieds,,1,4,160059
5 à 6 pieds,,1,6,160059
5 à 7 pieds,,1,1,160059
5 à 8 pieds,,1,1,160059
5 pieds,,1,7,160059
50 à 60 pieds,,1,2,160059
50 pieds,,1,7,160059
52 à 53 pieds,,1,1,160059
52 pieds,,1,2,160059
53 pieds,,1,1,160059
54 pieds,,1,6,160059
55 ou 60 pieds,,1,1,160059
55 pieds,,1,4,160059
6 à 7 pieds,,1,5,160059
6 à 9 pieds,,1,1,160059
6 fioles,,1,1,160059
6 flacons,,1,15,160059
6 pieds,,1,14,160059
"6,50 pieds",,1,1,160059
60 à 63 pieds,,1,1,160059
60 à 65 pieds,,1,1,160059
60 à 70 pieds,,1,1,160059
60 pieds,,1,4,160059
600 Feuilles,600 feuilles,1,1,1
62 pieds,,1,1,160059
64 pieds,,1,1,160059
65 pieds,,1,1,160059
7 à 8 pieds,,1,9,160059
7 pieds,,1,7,160059
8 a 10 pieds,,1,1,160059
8 à 10 pieds,,1,1,160059
8 à 11 pieds,,1,1,160059
8 à 36 pieds,,1,1,160059
8 a 9 pieds,,1,1,160059
8 à 9 pieds,,1,11,160059
8 pieds,,1,15,160059
"8,50 pieds",,1,1,160059
80 pieds,,1,1,160059
9 a 10 pieds,,1,1,160059
9 à 10 pieds,,1,17,160059
9 fioles,,1,1,160059
9 flacons,,1,13,160059
9 pieds,,1,22,160059
à répétition,à répétition,1,1,1
acharmiere,à charnière d'or,1,1,1
aimes,aimes,1,3,8
alvrames,alvrames,1,2,2
ancre,ancre,1,2,106
Ancre,ancre,1,19,106
ancres,ancre,1,44,106
Ancres,ancre,1,41,106
andouilles,andouilles,1,1,1
années,anée,1,1,14
Arobe,arrobes,1,2,10
Arobes,arrobes,1,5,10
Aroves,arrobes,1,2,10
Arrobes,arrobes,1,1,10
arts,arts,1,1,1
asnée,anée,1,1,14
asnées,anée,1,12,14
assorties,,1,1,160059
assortis,,1,2,160059
atlas,atlas,1,2,2
au nombre,en nombre,1,1,18392
aulnes,aunes,1,274,9762
Aulnes,aunes,1,61,9762
aumes,aunes,1,18,9762
Aums,,1,19,160059
aune,aunes,1,184,9762
Aune,aunes,1,365,9762
aunes,aunes,1,6177,9762
Aunes,aunes,1,2681,9762
AUnes,aunes,1,1,9762
AUNES,,1,21,160059
aunes carrées,aunes carrées,1,1,1
aunes',,1,1,160059
Auns,,1,48,160059
autunce,aunes,1,1,9762
avirons,avirons,1,1,4
Avirons,avirons,1,3,4
Ayme,aimes,1,1,8
aymes,aimes,1,3,8
aynes,aimes,1,1,8
bahnes,bannes,1,1,28
baille du Poids,baille du poids,1,1,1
bailler,bailles,1,14,41
bailles,bailles,1,14,41
Bailles,bailles,1,12,41
baillet,bailles,1,1,41
Baines,baines,1,1,2
bairque,barrique,1,1,1
bales,balle,1,1,557
Bales,balle,1,1,557
bales d'haricots,bales d'haricots,1,1,1
balets,ballots,1,1,214
balle,balle,1,9,557
Balle,balle,1,7,557
balle et 900 livres,balle et 900 livres,1,1,1
balles,balle,1,469,557
Balles,balle,1,68,557
ballles,balle,1,2,557
balllot,ballots,1,1,214
ballon,ballon,1,1,23
Ballon,ballon,1,2,23
ballons,ballon,1,6,23
Ballons,ballon,1,10,23
Ballos,ballots,1,1,214
ballot,ballots,1,8,214
Ballot,ballots,1,4,214
Ballot petit,ballot petit,1,1,1
ballots,ballots,1,103,214
Ballots,ballots,1,41,214
balon,ballon,1,1,23
balons,ballon,1,1,23
Balons,ballon,1,2,23
balot,ballots,1,3,214
Balot,ballots,1,3,214
balots,ballots,1,39,214
Balots,ballots,1,10,214
banne,bannes,1,1,28
bannes,bannes,1,20,28
Bannes,bannes,1,6,28
baquet,baquet,1,1,1
barals,barils,1,1,6920
barattes,barattes,1,1,1
barbançons,barbançons,1,6,12
Barbançons,barbançons,1,6,12
barbots,barbots,1,1,1
barbues,barbues,1,2,4
barbuës,barbues,1,1,4
barbus,,1,1,160059
Barbus,barbues,1,1,4
bards,bards,1,1,1
barig de 500 livres,,1,1,160059
barigaux,barriques,1,1,5119
baril,barils,1,81,6920
Baril,barils,1,184,6920
baril à 450 Feuilles,barils de 450 feuilles,1,1,42
Baril petit,baril petit,1,1,1
Barile,barils,1,2,6920
barill,barils,1,1,6920
barilles,barils,1,8,6920
Barillet,,1,1,160059
barillets,barillets,1,17,55
Barillets,barillets,1,30,55
barils,barils,1,4017,6920
Barils,barils,1,2043,6920
barils ?,,1,2,160059
barils blancs,,1,3,160059
barils de 100 l,barils de 100 livres,1,1,2
barils de 100 livres,barils de 100 livres,1,1,2
barils de 20 pots,,1,1,160059
barils de 450 feuilles,barils de 450 feuilles,1,2,42
Barils de 450 feuilles,barils de 450 feuilles,1,34,42
Barils de 450 Feuilles,barils de 450 feuilles,1,2,42
Barils de 450 feuillles,barils de 450 feuilles,1,1,42
Barils de 600 feuilles,barils de 600 feuilles,1,4,4
barils de 64 pots,barils de 64 pots,1,2,2
Barils de grand modèle 330,barils de grand modèle 330,1,1,1
barils double,barils double,1,1,8
Barils double,barils double,1,1,8
barils doubler,barils double,1,1,8
barils doubles,barils double,1,5,8
barils feuiller,barils feuiller,1,1,1
Barils grand modèle,barils grand modèle,1,1,1
barils gros,,1,1,160059
barils petit,barils petits,1,1,51
Barils petit modèle,barils petit modèle,1,1,1
barils petits,barils petits,1,4,51
Barils petits,barils petits,1,2,51
Barils petits de 300,barils petits de 300,1,1,1
barils saumur,,1,2,160059
barils simple,barils simple,1,1,3
barils simples,barils simple,1,2,3
barique,barriques,1,42,5119
Barique,barriques,1,361,5119
Bariqueq,barriques,1,1,5119
bariques,barriques,1,1400,5119
Bariques,barriques,1,1257,5119
bariques à 400 L,barriques à 400 L.,1,1,1
bariques d'un milliers,,1,1,160059
bariques de 1000 livres,,1,6,160059
bariques de 500 L,barriques à 500 L.,1,1,1
bariques de 500 livres,,1,3,160059
bariques en bouteilles,barriques en bouteilles,1,1,2
bariques en bouteilles ?,,1,1,160059
Bariques nantoises,barriques nantaises,1,1,1
Bariques poids de 1000 l,barriques poids de 1000 livres,1,1,1
bariquet,,1,1,160059
Bariquues,barriques,1,1,5119
Barls,barils,1,1,6920
Barques,barques,1,1,1
barraux,barreaux,1,9,18
Barraux,barreaux,1,6,18
barreaux,barreaux,1,3,18
barres,barres,1,30,45
Barres,barres,1,15,45
barril,barils,1,5,6920
Barril,barils,1,5,6920
Barril de 3,baril de 3,1,1,1
Barrile,barils,1,2,6920
Barriles,barils,1,2,6920
Barrilets,barillets,1,1,55
Barrillets,barillets,1,7,55
barrils,barils,1,253,6920
Barrils,barils,1,311,6920
Barrils de 450 feuilles,barils de 450 feuilles,1,2,42
Barrils en saumure,barils en saumure,1,1,1
barrils gros,barils gros,1,1,1
Barrils ordinaires,barils ordinaires,1,1,1
barrils petits,barils petits,1,3,51
Barrils petits,barils petits,1,5,51
barrique,barriques,1,17,5119
Barrique,barriques,1,109,5119
Barriquels,barriques,1,1,5119
barriques,barriques,1,887,5119
Barriques,barriques,1,1041,5119
Barriques en bottes,barriques en bottes,1,1,1
barriques et bouteilles,barriques en bouteilles,1,1,2
Barriques Grosses,barriques grosses,1,1,1
Barrrils,barils,1,1,6920
Barrriques,barriques,1,1,5119
bas,bas,1,3,3
basin double,basin double,1,1,1
bassin,bassins,1,1,3
bassines,bassines,1,1,1
bassins,bassins,1,1,3
Bassins,bassins,1,1,3
bateaux,bateaux,1,23,30
batons,bâtons,1,3,4
Batons,bâtons,1,1,4
batteaux,bateaux,1,3,30
Batteaux,bateaux,1,4,30
Battes,battes,1,1,1
Baucoud,boucaux,1,1,53
bautes,bouts,1,1,19
bayonettes,baïonnettes,1,1,1
bazannes,bazannes,1,7,7
bazin,,1,2,160059
Bazique,,1,1,160059
beines,baines,1,1,2
bertilles,bertilles,1,1,1
betes,bêtes,1,1,1
bichets,bichets,1,1,1
billes,billes,1,14,17
Billes,billes,1,3,17
billets,billets,1,1,1
billons,billons,1,3,3
Billots,billots,0,0,0
bines,bines,1,1,1
birges,birges,1,1,1
boete,boëtes,1,3,34
Boete,boëtes,1,5,34
boëte,boëtes,1,1,34
Boëte,boëtes,1,4,34
boëte de 3 livres,boëtes de 3 livres,1,1,1
boetes,boëtes,1,8,34
Boetes,,1,1,160059
Boétes,,1,1,160059
boëtes,boëtes,1,2,34
Boëtes,boëtes,1,8,34
Boëtte,,1,1,160059
boettes,boëtes,1,3,34
bœuf,bœufs,1,1,8
bœufs,bœufs,1,7,8
boillaux,boisseau,1,6,1466
boinaux,boisseau,1,1,1466
boineaux,boisseau,1,4,1466
boinnaux,boisseau,1,1,1466
Boiseau,boisseau,1,1,1466
boiseaux,boisseau,1,4,1466
Boiseaux,boisseau,1,1,1466
boissaux,boisseau,1,2,1466
Boissaux,boisseau,1,5,1466
boisseau,,1,1,160059
Boisseau,boisseau,1,88,1466
Boisseauc,boisseau,1,1,1466
boisseaux,boisseau,1,372,1466
Boisseaux,boisseau,1,978,1466
boisseux,boisseau,1,1,1466
Boite,boîtes,1,8,57
boîte,boîtes,1,2,57
Boîte,boîtes,1,1,57
Boïte,,1,2,160059
boites,boîtes,1,9,57
Boites,boîtes,1,9,57
boîtes,boîtes,1,8,57
Boîtes,boîtes,1,19,57
Boitte,boîtes,1,1,57
boitures,voitures,1,1,23
Bolliches,bolliches,1,1,1
boneauds,boucaux,1,1,53
bonnets,bonnets,1,8,9
Bonnets,bonnets,1,1,9
Bordage,bordage,1,1,1
borneaux,boisseau,1,1,1466
borraux,barraux,1,1,1
bote,bottes,1,1,313
botes,bottes,1,2,313
botiches,botiches,1,2,5
Botiches,botiches,1,2,5
Botiges,botiches,1,1,5
botte,bottes,1,2,313
Botte,bottes,1,6,313
bottes,bottes,1,250,313
Bottes,bottes,1,52,313
bottes à 68 veltes,bottes à 68 veltes,1,1,1
bouc,boucs,1,4,173
Boucaud,,1,1,160059
boucauds,boucaux,1,33,53
Boucauds,boucaux,1,5,53
boucauls,boucaux,1,2,53
boucault,boucaux,1,2,53
boucaults,boucaux,1,2,53
Boucaults,boucaux,1,2,53
Boucautes,boucaux,1,1,53
Boucauts,boucaux,1,1,53
boucaux,boucaux,1,2,53
Boucaux,boucaux,1,1,53
boucs,boucs,1,163,173
Boueilles,bouteilles,1,1,1996
Boues,boucs,1,6,173
boules,boules,1,3,4
boulle,boules,1,1,4
bouquets,bouquets,1,2,2
Bourdillons,bourdillons,1,1,1
bourriques,bourriques,1,1,1
Bout,bout,1,1,1
boutades,boutades,1,8,11
Boutades,boutades,1,3,11
Bouteiles,bouteilles,1,3,1996
bouteille,bouteilles,1,7,1996
Bouteille,bouteilles,1,126,1996
bouteilles,bouteilles,1,1288,1996
Bouteilles,bouteilles,1,552,1996
bouteïlles,,1,1,160059
Bouteilles + Muids + Pintes,bouteilles + muids + pintes,1,2,2
Bouteilles de peinte,bouteilles de pinte,1,1,3
bouteilles de pinte,bouteilles de pinte,1,1,3
Bouteilles de pinte,bouteilles de pinte,1,1,3
bouteilles de pintes,,1,1,160059
bouteills,bouteilles,1,1,1996
bouteuilles,bouteilles,1,17,1996
Bouteuilles,,1,2,160059
bouteuilles ou le livres,bouteilles ou le livres,1,1,1
bouts,bouts,1,9,19
Bouts,bouts,1,9,19
bouts de 4 à 5 pieds,,1,1,160059
bouts de 5 à 6 pieds,,1,1,160059
bouts de planches,,1,1,160059
Bouyeilles,bouteilles,1,1,1996
brails,barils,1,1,6920
brancard,brancard,1,1,1
braques,,1,1,160059
brases,brasses,1,2,12
brasse,brasses,1,1,12
brassées,brassées,1,8,8
Brasser,basses,1,1,1
Brasses,brasses,1,9,12
brilles,brilles,1,1,1
Brin,,1,5,160059
brins,brins,1,1,11
Brins,brins,1,9,11
briques,briques,1,1,2
Briques,briques,1,1,2
Bruis,brins,1,1,11
buche,bûches,1,2,30
Buche,,1,1,160059
buches,bûches,1,12,30
Buches,bûches,1,10,30
bûches,bûches,1,6,30
cabas,cabas,1,22,23
Cabas,cabas,1,1,23
cahiers,cahiers,1,1,1
cais,caisses,1,1,956
caise,caisses,1,1,956
caises,caisses,1,6,956
caisse,caisses,1,63,956
Caisse,caisses,1,18,956
caisses,caisses,1,662,956
Caisses,caisses,1,204,956
caisses de 50 L,caisses de 50 L.,1,1,1
caisses ordinaires,caisses ordinaires,1,1,1
Caisson,,1,1,160059
caissons,caissons,1,72,90
Caissons,caissons,1,18,90
Canastres,canastre,1,2,2
canavette,canevettes,1,2,44
canavettes,canevettes,1,18,44
Canavettes,canevettes,1,6,44
canelle,cannelles,1,3,44
canelles,cannelles,1,31,44
Canelles,cannelles,1,1,44
canes,canes,1,8,9
Canes,canes,1,1,9
canette,cannettes,1,1,9
canettes,cannettes,1,4,9
canevettes,canevettes,1,2,44
Canevettes,canevettes,1,7,44
cannades,cannades,1,1,1
cannavettes,canevettes,1,2,44
canne,cannes,1,1,70
Cannées,cannées,1,1,1
cannelle,cannelles,1,1,44
cannelles,cannelles,1,8,44
cannes,cannes,1,33,70
Cannes,cannes,1,36,70
cannes en carré,cannes en carré,1,1,1
cannette,cannettes,1,1,9
cannettes,cannettes,1,1,9
Cannettes,cannettes,1,2,9
cannevette,canevettes,1,1,44
Cannevette,canevettes,1,1,44
cannevettes,canevettes,1,4,44
Cannevettes,canevettes,1,1,44
caps,caps,1,6,10
Caps,caps,1,4,10
caques,caques,1,3,5
Caques,caques,1,2,5
careaux,carreaux,1,1,94
Careaux,carreaux,1,2,94
Cargaison,cargaisons,1,1,2
cargaisons,cargaisons,1,1,2
carpes,carpes,1,8,8
carques,canques,1,1,1
carraux,carreaux,1,1,94
Carraux,carreaux,1,2,94
Carre,carre,1,1,1
carreaux,carreaux,1,59,94
Carreaux,carreaux,1,28,94
carteaux,carreaux,1,1,94
carteroles,caratello,1,1,1
cartes ?,,1,1,160059
cartier du pied de 480 livres,cartier du pied de 480 livres,1,1,1
cartieres,cartieres,1,1,4
Cartieres,cartieres,1,3,4
Cartons,cartons,1,3,3
cartroles,cartroles,1,1,1
Casernes,,1,1,160059
casse,caisses,1,1,956
Castes,castes,1,1,1
cave,cave,1,1,13
cavelle,cavelles,1,2,14
cavelles,cavelles,1,12,14
caves,cave,1,9,13
Caves,cave,1,3,13
cavettes,cavettes,1,1,1
cens,cent,1,1,189
Cens,cent,1,34,189
cent,cent,1,56,189
Cent,cent,1,20,189
Cent au grand,cent au grand,1,1,1
cent au grand compte,cent au grand compte,1,94,122
Cent au grand compte,cent au grand compte,1,28,122
cent.,cent,1,7,189
centaine,centaine,1,1,10
Centaine,centaine,1,1,10
centaines,centaine,1,8,10
cents,cent,1,45,189
Cents,cent,1,25,189
cents au grand nombre,cent au grand nombre,1,1,1
cercles,cercles,1,11,11
chaises,chaises,1,3,3
chaldes,chaldres,1,4,13
Chaldes,chaldres,1,1,13
chaldon,chalon,1,1,2
chaldres,chaldres,1,5,13
Chaldres,chaldres,1,1,13
chalons,chalon,1,1,2
chamois,chamois,1,6,6
chanterice,chanterice,1,1,1
Chantourné,chantourné,1,2,2
chapeau,chapeaux,1,1,127
chapeaux,chapeaux,1,115,127
Chapeaux,chapeaux,1,11,127
chapeaux ???,,1,1,160059
chapons,chapons,1,1,1
Char,chars,1,2,145
chardées,chardées,1,1,1
chardes,chaldres,1,1,13
cHaretée,charretées,1,1,222
Charetée,charretées,1,2,222
charetées,charretées,1,21,222
Charetées,charretées,1,2,222
charetes,charrettes,1,2,16
charetés,charretées,1,3,222
Charetés,charretées,1,2,222
charettes,charrettes,1,7,16
Charettes,charrettes,1,2,16
charge,charges,1,18,2775
Charge,charges,1,118,2775
charge de 300 livres,charge de 300 livres,1,34,34
charge de chenal,charge de chenal,1,1,2
charge de cheval,charge de chenal,1,1,2
chargées,chargées,1,1,1
charges,charges,1,2071,2775
Charges,charges,1,567,2775
charges ??,charges,1,1,2775
chariot,chariots,1,1,18
Chariot,chariots,1,2,18
chariots,chariots,1,10,18
Chariots,chariots,1,4,18
charretées,charretées,1,124,222
Charretées,charretées,1,5,222
charretes,charrettes,1,2,16
charretés,charretées,1,1,222
charrette,charrettes,1,1,16
Charrette,charrettes,1,2,16
Charrettée,charretées,1,4,222
Charrettées,charretées,1,4,222
charrettes,,1,1,160059
charriot,chariots,1,1,18
chars,chars,1,121,145
Chars,chars,1,21,145
charte,charte,1,2,2
charté,charretées,1,1,222
chartée,charretées,1,2,222
Chartée,charretées,1,3,222
chartées,charretées,1,8,222
Chartées,charretées,1,33,222
chartéle,chartils,1,1,2
chartéls,chartils,1,1,2
chartés,charretées,1,3,222
Chartés,charretées,1,2,222
chartiers,charretées,1,1,222
charts,chars,1,1,145
Chatores ??,chaldres,1,1,13
cheldes,cheldes,1,1,2
chemises,chemises,1,7,7
chevaux,chevaux,1,25,25
chevrier,chevrier,1,1,1
chevrons,chevrons,1,1,2
Chevrons,chevrons,1,1,2
chipons de 300 livres,chipons de 300 livres,1,1,1
chopes,chopes,1,1,1
choux,choux,1,1,1
Ciel,ciel,1,2,2
citrons,citrons,1,1,1
classer,classer,1,1,1
cloches,cloches,1,1,1
codes,rodes,1,1,68
coffre,coffre,1,2,26
Coffre,coffre,1,2,26
coffres,coffre,1,19,26
Coffres,coffre,1,3,26
coffrets,coffrets,1,1,1
colis,colis,1,4,5
Colis,colis,1,1,5
collé,collé,1,1,1
colonne,colonnes,1,1,2
colonnes,colonnes,1,1,2
commune,communes,1,1,29
communes,communes,1,25,29
Communes,communes,1,1,29
comune,communes,1,1,29
comunes,communes,1,1,29
conques,conques,1,216,216
coquilles,coquilles,1,1,1
corde,corde,1,1,63
Corde,corde,1,5,63
cordes,corde,1,38,63
Cordes,corde,1,19,63
cordes ?,,1,1,160059
cordons,cordons,1,1,1
Costes,cottes,1,1,34
Costés,cottes,1,1,34
cotes,cottes,1,2,34
Cotes,cottes,1,2,34
cotés,cottes,1,1,34
Cotés,cottes,1,1,34
côtés,,1,1,160059
Cotte,cottes,1,3,34
Cotté,,1,2,160059
Cottées,cottes,1,1,34
cottes,cottes,1,6,34
Cottes,cottes,1,14,34
Cottés,cottes,1,2,34
couffe,couffe,1,1,1
coupe,coupes,1,1,30
Coupe,coupes,1,1,30
coupes,coupes,1,16,30
Coupes,coupes,1,12,30
couples,,1,1,160059
coupon,coupons,1,1,26
Coupon,coupons,1,3,26
coupons,coupons,1,15,26
Coupons,coupons,1,7,26
courbes,courbes,1,1,1
cout,cent,0,0,0
couteaux,couteaux,1,1,1
Couverts,couverts,1,1,1
couvertures,couvertures,1,15,17
Couvertures,couvertures,1,2,17
Croix,croix,1,2,3
croyes,croix,1,1,3
cruche,cruche,1,2,8
cruches,cruche,1,3,8
Cruches,cruche,1,3,8
cubillons,cabillon,1,1,1
Cuina,cuirs,1,1,210
cuir,cuirs,1,2,210
cuirs,cuirs,1,180,210
Cuirs,cuirs,1,27,210
Cuirs entier,cuirs entier,1,1,1
Cuirs entiers,cuirs entiers,1,1,1
da ?,,1,1,160059
Dame jannes,dame-jeannes,1,1,4
dame jeanne,dame-jeannes,1,1,4
damejannes,dame-jeannes,1,1,4
Damejeannes,dame-jeannes,1,1,4
de,de,1,4,4
de navire ???,,1,1,160059
de selle,de selle,1,1,1
decagramme,décagramme,1,1,1
décimètres,décimètres,1,13,13
demi barique,,1,1,160059
demi barriques,demi barriques,1,3,6
demi bouteilles,demi bouteilles,1,2,9
Demi bouteilles,demi bouteilles,1,1,9
demi caisses,demi caisses,1,6,17
Demi caisses,,1,1,160059
demi charge,demi charge,1,3,6
Demi charge,demi charge,1,1,6
demi cuirs,demi cuirs,1,2,21
demi Cuirs,demi cuirs,1,13,21
Demi cuirs,demi cuirs,1,1,21
Demi meulles,demi meule,1,1,1
demi pièce,demi pièces,1,1,15
demi pieces,,1,2,160059
demi pièces,demi pièces,1,3,15
Demi pièces,demi pièces,1,3,15
demi planches,demi planches,1,4,5
demi Planches,demi planches,1,1,5
demi-bariques,demi barriques,1,1,6
demi-caisses,demi caisses,1,8,17
Demi-pipe,,1,1,160059
Demibarique,demi barriques,1,1,6
demie,demie,1,4,8
Demie ancres,demie ancres,1,1,1
demie bouteilles,demi bouteilles,1,3,9
demie charge,demie charge,1,3,4
Demie charge,demie charge,1,1,4
demie pièces,demi pièces,1,2,15
Demiepièce,,1,1,160059
demies,demie,1,3,8
Demies,demie,1,1,8
demies bottes,demi bottes,1,1,2
Demies bouteilles,demi bouteilles,1,1,9
demies caisses,demi caisses,1,3,17
demy,demi,1,2,2
Demy bariques,demi barriques,1,1,6
demy bottes,demi bottes,1,1,2
demy bouteilles,demi bouteilles,1,1,9
Demy bouteuilles,demi bouteilles,1,1,9
demy charge,demi charge,1,2,6
demy Cuirs,demi cuirs,1,4,21
Demy cuirs,demi cuirs,1,1,21
Demy pièce,demi pièces,1,1,15
demy pieces,demi pièces,1,3,15
Demy pièces,demi pièces,1,2,15
demy pieds,demi pieds,1,1,1
demy planches Barils,demi planches en barils,1,1,1
demycs,demycs,1,2,2
deniers,deniers,1,1,1
denniers ?,,1,1,160059
devants,devants,1,2,2
dierons ?,,1,1,160059
differentes grandeures,,1,1,160059
dindons,dindons,1,1,1
divers,divers,1,2,26
diverses,divers,1,24,26
données ?,,1,1,160059
Dossier,dossier,1,2,2
double,double,1,1,1
doubles,,1,2,160059
doubles cavelles,doubles cavelles,1,1,1
doublures,doublures,1,1,1
Douelle,douelles,1,24,717
Douëlle,,1,2,160059
douelles,douelles,1,418,717
