source,nb_occurence_BdCFR,nbr_occurences_source,orthographic,note,obsolete,nbr_occurences_ortho
///Industrie étrangère///Meubles et miroirs,9,9,industrie étrangère meubles et miroirs,,non,13
///Industrie Etrangère///Ouvrages de jonc,3,3,industrie étrangère ouvrages de jonc,,non,17
///Industrie étrangère///Ouvrages de jonc,14,14,industrie étrangère ouvrages de jonc,,non,17
///Industrie Etrangère///Ouvrages divers,11,11,industrie étrangère ouvrages divers,,non,37
///Industrie étrangère///Ouvrages divers,26,26,industrie étrangère ouvrages divers,,non,37
///Industrie Etrangère///Peaux et pelleteries,17,17,industrie étrangère peaux et pelleterie,,non,52
///Industrie étrangère///Peaux et pelleteries,35,35,industrie étrangère peaux et pelleterie,,non,52
///Industrie Etrangère///Plumes à écrire,4,4,industrie étrangère plumes à écrire,,non,10
///Industrie étrangère///Plumes à écrire,6,6,industrie étrangère plumes à écrire,,non,10
///Industrie Etrangère///Plumes d'autruche,2,2,industrie étrangère plumes d'autruche,,non,7
///Industrie étrangère///Plumes d'Autruche,5,5,industrie étrangère plumes d'autruche,,non,7
///Industrie Etrangère///Plumes de toute sorte,3,3,industrie étrangère plumes de toute sorte,,non,23
///Industrie étrangère///Plumes de toute sorte,20,20,industrie étrangère plumes de toute sorte,,non,23
"///Industrie étrangère///Porcelaine, faience et poterie",12,12,industrie étrangère porcelaine faïence et poterie,,non,12
///Industrie Etrangère///Quincailleries diverses,9,9,industrie étrangère quincaillerie diverse,,non,9
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...",8,8,industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes,,non,20
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..",12,12,industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes,,non,20
///Industrie Etrangère///Savons,3,3,industrie étrangère savon,,non,9
///Industrie étrangère///Savons,6,6,industrie étrangère savon,,non,9
///Industrie Etrangère///Voitures,1,1,industrie étrangère voiture,,non,3
///Industrie étrangère///Voitures,2,2,industrie étrangère voiture,,non,3
///Industrie générale///Armes,2,2,industrie générale armes,,non,2
///Industrie générale///Articles d'industrie réunis,35,35,industrie générale articles d'industrie réunis,,non,56
///Industrie Générale///Articles d'industrie réunis,21,21,industrie générale articles d'industrie réunis,,non,56
///Industrie générale///Bijouterie,24,24,industrie générale bijouterie,,non,30
///Industrie Générale///Bijouterie,6,6,industrie générale bijouterie,,non,30
///Industrie générale///Bougie,1,1,industrie générale bougie,,non,2
///Industrie Générale///Bougie,1,1,industrie générale bougie,,non,2
///Industrie générale///Cauris,2,2,industrie générale cauris,,non,3
///Industrie Générale///Cauris,1,1,industrie générale cauris,,non,3
///Industrie générale///Chandelle,1,1,industrie générale chandelle,,non,2
///Industrie Générale///Chandelles,1,1,industrie générale chandelle,,non,2
///Industrie générale///Cordages,2,2,industrie générale cordage,,non,3
///Industrie Générale///Cordages,1,1,industrie générale cordage,,non,3
///Industrie générale///Dorures fines,17,17,industrie générale dorure fine,,non,23
///Industrie Générale///Dorures fines,6,6,industrie générale dorure fine,,non,23
///Industrie générale///Esprit de vin,11,11,industrie générale esprit-de-vin,,non,14
///Industrie Générale///Esprit de vin,3,3,industrie générale esprit-de-vin,,non,14
///Industrie générale///Faience et poterie,14,14,industrie générale faïence et poterie,,non,19
///Industrie Générale///Faience et poterie,5,5,industrie générale faïence et poterie,,non,19
///Industrie générale///Gants de peau,21,21,industrie générale gants de peau,,non,29
///Industrie Générale///Gants de peau,8,8,industrie générale gants de peau,,non,29
///Industrie générale///Habillemens et lingerie,22,22,industrie générale habillement et lingerie,,non,29
///Industrie Générale///Habillements et lingeries,7,7,industrie générale habillement et lingerie,,non,29
///Industrie générale///Horlogerie,15,15,industrie générale horlogerie,,non,21
///Industrie Générale///Horlogerie,6,6,industrie générale horlogerie,,non,21
///Industrie générale///Jeux de voiles,2,2,industrie générale jeux de voile,,non,3
///Industrie Générale///Jeux de voiles,1,1,industrie générale jeux de voile,,non,3
///Industrie générale///Librairie,31,31,industrie générale librairie,,non,45
///Industrie Générale///Librairie,14,14,industrie générale librairie,,non,45
///Industrie Générale///Marchandises des indes,1,1,industrie générale marchandises des Indes,,non,1
///Industrie générale///Merceries,37,37,industrie générale mercerie,,non,54
///Industrie Générale///Merceries,17,17,industrie générale mercerie,,non,54
///Industrie générale///Meubles et glaces,28,28,industrie générale meubles et glaces,,non,38
///Industrie Générale///Meubles et glaces,10,10,industrie générale meubles et glaces,,non,38
///Industrie Générale///Ouvrages de cruivre doré et argenté,4,4,industrie générale ouvrages de cuivre doré et argenté,,non,17
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,9,9,industrie générale ouvrages de cuir en cordonnerie et sellerie,,non,11
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie,2,2,industrie générale ouvrages de cuir en cordonnerie et sellerie,,non,11
///Industrie générale///Ouvrages de cuivre doré et argenté,13,13,industrie générale ouvrages de cuivre doré et argenté,,non,17
///Industrie générale///Ouvrages de modes et fleurs artificielles,24,24,industrie générale ouvrages de modes et fleurs artificielles,,non,32
///Industrie Générale///Ouvrages de modes et fleurs artificielles,8,8,industrie générale ouvrages de modes et fleurs artificielles,,non,32
///Industrie générale///Ouvrages de terre cuite,1,1,industrie générale ouvrages de terre cuite,,non,1
///Industrie générale///Ouvrages divers,22,22,industrie générale ouvrages divers,,non,22
///Industrie Générale///Ouvrages divers en bois et futailles vuides,5,5,industrie générale ouvrages divers en bois et futailles vides,,non,5
///Industrie Générale///Ouvrages en terre cuite,1,1,industrie générale ouvrages en terre cuite,,non,1
///Industrie générale///Papier pour tenture,6,6,industrie générale papier pour tenture,,non,28
///Industrie générale///Papiers à écrire,36,36,industrie générale papier à écrire,,non,51
///Industrie Générale///Papiers à écrire,15,15,industrie générale papier à écrire,,non,51
///Industrie générale///Papiers pour tenture,14,14,industrie générale papier pour tenture,,non,28
///Industrie Générale///Papiers pour tenture,8,8,industrie générale papier pour tenture,,non,28
///Industrie Générale///Parasols,1,1,industrie générale parasols,,non,1
///Industrie générale///Parfumerie,21,21,industrie générale parfumerie,,non,36
///Industrie Générale///Parfumerie,15,15,industrie générale parfumerie,,non,36
///Industrie générale///Passementerie,6,6,industrie générale passementerie,,non,8
///Industrie Générale///Passementerie,2,2,industrie générale passementerie,,non,8
///Industrie générale///Peaux et pelleteries,28,28,industrie générale peaux et pelleterie,,non,40
///Industrie Générale///Peaux et pelleteries,12,12,industrie générale peaux et pelleterie,,non,40
///Industrie générale///Porcelaine,13,13,industrie générale porcelaine,,non,20
///Industrie Générale///Porcelaine,7,7,industrie générale porcelaine,,non,20
///Industrie Générale///Poudre à tirer,2,2,industrie générale poudre à tirer,,non,3
///Industrie générale///Poudre à tirer,1,1,industrie générale poudre à tirer,,non,3
///Industrie générale///Quincaillerie,26,26,industrie générale quincaillerie,,non,40
///Industrie Générale///Quincaillerie,14,14,industrie générale quincaillerie,,non,40
///Industrie générale///Savons,30,30,industrie générale savon,,non,44
///Industrie Générale///Savons,14,14,industrie générale savon,,non,44
///Industrie générale///Tableaux et estampes,12,12,industrie générale tableaux et estampes,,non,17
///Industrie Générale///Tableaux et Estampes,5,5,industrie générale tableaux et estampes,,non,17
///Industrie générale///Verrerie,19,19,industrie générale verrerie,,non,31
///Industrie Générale///Verrerie,12,12,industrie générale verrerie,,non,31
///Matière d'Or et d'argent///Monnaies au type étranger,6,6,matières d'or et d'argent monnaies au type étranger,,non,7
///Matière d'Or et d'argent///Orfévrerie,16,16,matières d'or et d'argent orfévrerie,,non,34
///Matières d'Or et d'argent///Argenterie et orfévrerie,4,4,matières d'or et d'argent argenterie et orfévrerie,,non,9
///Matières d'Or et d'argent///Argenteries et orfévrerie,5,5,matières d'or et d'argent argenterie et orfévrerie,,non,9
///Matieres d'Or et d'argent///Monnaies au type étranger,1,1,matières d'or et d'argent monnaies au type étranger,,non,7
"///Matières d'Or et d'argent///Monnaies étrangères , ou lingots",10,10,matières d'or et d'argent monnaies étrangères ou lingots,,non,14
///Matières d'or et d'argent///Monnaies étrangères et lingots,3,3,matières d'or et d'argent monnaies étrangères et lingots,,non,3
///Matières d'Or et d'argent///Monnaies étrangères ou lingots,4,4,matières d'or et d'argent monnaies étrangères ou lingots,,non,14
///Matieres d'Or et d'argent///Orfévrerie,7,7,matières d'or et d'argent orfévrerie,,non,34
///Matières d'or et d'argent///Orfévrerie,11,11,matières d'or et d'argent orfévrerie,,non,34
///Métaux///Argent vif,7,7,métal argent vif,,non,7
///Métaux///Articles réunis,4,4,métal articles réunis,,non,4
///Métaux///Autres métaux,29,29,métal autre métal,,non,29
///Métaux///Cuivre,28,28,métal cuivre,,non,28
"///Métaux///Cuivre, bronze et laiton",15,15,métal cuivre bronze et laiton,,non,34
"///Métaux///Cuivre, bronze et Laiton",10,10,métal cuivre bronze et laiton,,non,34
"///Métaux///Cuivre,bronze et laiton",9,9,métal cuivre bronze et laiton,,non,34
///Métaux///Etain,12,12,métal étain,,non,12
///Métaux///Fer blanc,6,6,métal fer-blanc,,non,18
///Métaux///Fer-blanc,9,9,métal fer-blanc,,non,18
///Métaux///Fers,37,37,métal fer,,non,37
///Métaux///Fers blanc,3,3,métal fer-blanc,,non,18
///Métaux///Fers et aciers,42,42,métal fer et acier,,non,42
///Métaux///Plomb,18,18,métal plomb,,non,26
///Métaux///plomb,8,8,métal plomb,,non,26
///Objets manufacturés///Armes,1,1,objets manufacturés armes,,non,1
///Objets manufacturés///Articles réunis,21,21,objets manufacturés articles réunis,,non,21
"///Objets manufacturés///Bonneterie en fil , coton et laine",11,11,objets manufacturés bonneterie en fil coton et laine,,non,15
"///Objets manufacturés///Bonneterie en fil, coton et laine",4,4,objets manufacturés bonneterie en fil coton et laine,,non,15
///Objets manufacturés///Bonneterie ordinaire en coton et laine,5,5,objets manufacturés bonneterie ordinaire en coton et laine,,non,5
///Objets manufacturés///Bonneteries de soie,48,48,objets manufacturés bonneterie de soie,,non,48
///Objets manufacturés///Bonneteries diverses,36,36,objets manufacturés bonneterie diverse,,non,36
///Objets manufacturés///Chapellerie,44,44,objets manufacturés chapellerie,,non,45
///Objets manufacturés///chapellerie,1,1,objets manufacturés chapellerie,,non,45
///Objets manufacturés///Dentelles,40,40,objets manufacturés dentelle,,non,40
///Objets manufacturés///Dentelles de fil,8,8,objets manufacturés dentelle de fil,,non,8
///Objets manufacturés///Draperies,69,69,objets manufacturés draperie,,non,69
///Objets manufacturés///Etoffe mélangées de ces matieres,13,13,objets manufacturés étoffe mélangée de ces matières,,non,33
///Objets manufacturés///Etoffe riches,15,15,objets manufacturés étoffe riche,,non,31
///Objets manufacturés///Etoffes de coton,26,26,objets manufacturés étoffe de coton,,non,26
///Objets manufacturés///Etoffes de laine,32,32,objets manufacturés étoffe de laine,,non,32
///Objets manufacturés///Etoffes de laine et de poil,17,17,objets manufacturés étoffe de laine et de poil,,non,17
///Objets manufacturés///Etoffes de soie,57,57,objets manufacturés étoffe de soie,,non,57
///Objets manufacturés///Etoffes diverses,34,34,objets manufacturés étoffe diverse,,non,34
///Objets manufacturés///Etoffes en coton et en laine,16,16,objets manufacturés étoffe en coton et en laine,,non,16
///Objets manufacturés///Etoffes mélangées de ces matières,20,20,objets manufacturés étoffe mélangée de ces matières,,non,33
///Objets manufacturés///Etoffes riches,16,16,objets manufacturés étoffe riche,,non,31
"///Objets manufacturés///Gazes, crepes et mouchoirs de soie",39,39,objets manufacturés gaze crêpe et mouchoirs de soie,,non,58
"///Objets manufacturés///Gazes, crêpes et mouchoirs de soie",19,19,objets manufacturés gaze crêpe et mouchoirs de soie,,non,58
///Objets manufacturés///Mouchoirs divers en fil et coton,28,28,objets manufacturés mouchoirs divers en fil et coton,,non,28
///Objets manufacturés///Mouchoirs divers et des Indes,17,17,objets manufacturés mouchoirs divers et des Indes,,non,17
///Objets manufacturés///Mousselines,24,24,objets manufacturés mousseline,,non,24
///Objets manufacturés///Objets manufacturés réunis,27,27,objets manufacturés objets manufacturés réunis,,non,27
///Objets manufacturés///Rubannerie de soie,39,39,objets manufacturés rubannerie de soie,,non,39
///Objets manufacturés///Rubannerie ordinaire,16,16,objets manufacturés rubannerie ordinaire,,non,16
///Objets manufacturés///Rubanneries diverses,3,3,objets manufacturés rubannerie diverse,,non,3
"///Objets manufacturés///Soierie en étoffe, mouchoirs, gazes et rubans",12,12,objets manufacturés soierie en étoffe mouchoirs gaze et ruban,,non,40
"///Objets manufacturés///Soirie en étoffe ,mouchoirs, gazes et rubans",15,15,objets manufacturés soierie en étoffe mouchoirs gaze et ruban,,non,40
"///Objets manufacturés///Soirie en étoffe, mouchoirs,gazes et rubans",13,13,objets manufacturés soierie en étoffe mouchoirs gaze et ruban,,non,40
///Objets manufacturés///Toile de coton,12,12,objets manufacturés toile de coton,,non,41
///Objets manufacturés///Toile de fil et coton,11,11,objets manufacturés toile de fil et coton,,non,38
///Objets manufacturés///Toiles de coton,29,29,objets manufacturés toile de coton,,non,41
"///Objets manufacturés///Toiles de coton, mousseline et nankin",11,11,objets manufacturés toile de coton mousseline et Nankin,,non,11
"///Objets manufacturés///Toiles de coton, mousseline, nankin, et des Indes",10,10,objets manufacturés toile de coton mousseline Nankin et des Indes,,non,10
///Objets manufacturés///Toiles de fil et coton,27,27,objets manufacturés toile de fil et coton,,non,38
///Objets manufacturés///Toiles de lin et chanvre,21,21,objets manufacturés toile de lin et chanvre,,non,21
///Objets manufacturés///Toiles de lin et de chanvre,41,41,objets manufacturés toile de lin et de chanvre,,non,41
///Objets manufacturés///Toiles diverses de lin et de chanvre,15,15,objets manufacturés toile diverse de lin et de chanvre,,non,15
///Objets manufacturés///Toiles diverses en lin et chanvre,29,29,objets manufacturés toile diverse en lin et chanvre,,non,29
"///Objets manufacturés///Toiles en coton, mousseline et nankin",11,11,objets manufacturés toile en coton mousseline et Nankin,,non,11
1///Matières première///Articles réunis,9,9,matières premières articles réunis,,non,103
1///Matières première///Coton,16,16,matières premières coton,,non,78
1///Matières première///Fil,11,11,matières premières fil,,non,51
1///Matières première///Laine,15,15,matières premières laine,,non,86
1///Matières première///Soie,12,12,matières premières soie,,non,30
1///Matières premières///Chanvre,49,49,matières premières chanvre,,non,49
1///Matières premières///Chanvre et lin,6,6,matières premières chanvre et lin,,non,6
1///Matières premières///Coton,62,62,matières premières coton,,non,78
1///Matières premières///Fil,40,40,matières premières fil,,non,51
1///Matières premières///Laine,71,71,matières premières laine,,non,86
1///Matières premières///Lin,22,22,matières premières lin,,non,22
"1///Matières premières///Poil de chevre, lièvre et lapin",1,1,matières premières poil de chèvre lièvre et lapin,,non,9
"1///Matières premières///Poil de chèvre, lièvre et lapin",8,8,matières premières poil de chèvre lièvre et lapin,,non,9
1///Matières premières///Soie,18,18,matières premières soie,,non,30
1///Matières premières///Soie et filoselle,35,35,matières premières soie et filoselle,,non,35
"1///Subsistances///Bestiaux en Bœufs, vaches, porcs, moutons",6,6,subsistances bestiaux en bœuf vaches porcs moutons,,non,17
"1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons",5,5,subsistances bestiaux en bœuf vaches porcs moutons,,non,17
"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons",6,6,subsistances bestiaux en bœuf vaches veaux porcs et moutons,,non,12
"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",6,6,subsistances bestiaux en bœuf vaches veaux porcs et moutons,,non,12
"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons",6,6,subsistances bestiaux en bœuf vaches porcs moutons,,non,17
"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons",6,6,subsistances bestiaux en bœuf vaches veaux et moutons,,non,6
1///Subsistances///Beurre,8,8,subsistances beurre,,non,25
1///Subsistances///Bière,3,3,subsistances bière,,non,3
"1///Subsistances///Bière, cidre et vinaigre",1,1,subsistances bière cidre et vinaigre,,non,1
1///Subsistances///Biscuit de mer,1,1,subsistances biscuit de mer,,non,1
1///Subsistances///Biscuits de mer et pâtes d'Italie,1,1,subsistances biscuit de mer et pâte d'Italie,,non,1
1///Subsistances///Blé,15,15,subsistances blé,,non,15
1///Subsistances///Blé et autres grains,17,17,subsistances blé et autres grains,,non,17
1///Subsistances///Blé et autres grains comestibles,22,22,subsistances blé et autres grains comestibles,,non,56
"1///Subsistances///Blé et autres grains, comestibles",34,34,subsistances blé et autres grains comestibles,,non,56
1///Subsistances///Chairs salées,44,44,subsistances chair salée,,non,44
1///Subsistances///Eaux de vie,23,23,subsistances eau-de-vie,,non,68
1///Subsistances///Eaux-de-vie,45,45,subsistances eau-de-vie,,non,68
1///Subsistances///Farine,16,16,subsistances farine,,non,16
1///Subsistances///Farine et biscuit de mer,13,13,subsistances farine et biscuit de mer,,non,27
1///Subsistances///Farine et biscuits de mer et pâtes d'Italie,9,9,subsistances farine et biscuit de mer et pâte d'Italie,,non,9
1///Subsistances///Farine et pâtes d'Italie,1,1,subsistances farine et pâte d'Italie,,non,1
1///Subsistances///Fromage,25,25,subsistances fromage,,non,69
1///Subsistances///Fromages,28,28,subsistances fromage,,non,69
1///Subsistances///Fruits divers,60,60,subsistances fruits divers,,non,60
"1///Subsistances///Fruits secs en amandes, figues et ...",0,0,subsistances fruits secs en amandes figue et ???,,oui,0
"1///Subsistances///Fruits secs en amandes, figues et raisins",9,9,subsistances fruits secs en amandes figue et raisin,,non,33
"1///Subsistances///Fruits secs, en amandes ,figues et raisins",10,10,subsistances fruits secs en amandes figue et raisin,,non,33
"1///Subsistances///Fruits secs, en amandes, figues et raisins",14,14,subsistances fruits secs en amandes figue et raisin,,non,33
1///Subsistances///Fruits verts en Oranges et citrons,7,7,subsistances fruits verts en orange et citrons,,non,20
"1///Subsistances///Fruits verts, en oranges et citrons",6,6,subsistances fruits verts en orange et citrons,,non,20
"1///Subsistances///Fruits verts, en oranges et citrons.",7,7,subsistances fruits verts en orange et citrons,,non,20
1///Subsistances///Huile d'olive,47,47,subsistances huile d'olive,,non,89
1///Subsistances///Huile d'Olive,24,24,subsistances huile d'olive,,non,89
1///Subsistances///Légumes,62,62,subsistances légumes,,non,62
1///Subsistances///Miel,22,22,subsistances miel,,non,30
1///Subsistances///Poissons de toute sorte,59,59,subsistances poisson de toute sorte,,non,85
1///Subsistances///Poissons de toutes sortes,10,10,subsistances poisson de toute sorte,,non,85
1///Subsistances///Provisions de bouche réunies,41,41,subsistances provisions de bouche réunies,,non,60
1///Subsistances///Provisions diverses,25,25,subsistances provisions diverses,,non,25
"1///Subsistances///Provisions diverses,principalement en beurre",12,12,subsistances provisions diverses principalement en beurre,,non,13
1///Subsistances///Riz,33,33,subsistances riz,,non,46
1///Subsistances///Sel,40,40,subsistances sel,,non,59
1///Subsistances///Vin de liqueurs,14,14,subsistances vin de liqueurs,,non,23
1///Subsistances///Vins,21,21,subsistances vin,,non,21
1///Subsistances///Vins de Bordeaux,25,25,subsistances vin de Bordeaux,,non,45
1///Subsistances///Vins de bordeaux,20,20,subsistances vin de Bordeaux,,non,45
1///Subsistances///Vins de liqueur,6,6,subsistances vin de liqueurs,,non,23
1///Subsistances///Vins de liqueurs,3,3,subsistances vin de liqueurs,,non,23
1///Subsistances///Vins divers,58,58,subsistances vin divers,,non,58
2///Matières première///Articles réunis,19,19,matières premières articles réunis,,non,103
2///Matières première///Bois divers,17,17,matières premières bois divers,,non,94
"2///Matières première///Brai, goudron et résine",16,16,matières premières brai goudron et résines,,non,25
2///Matières première///Charbons,5,5,matières premières charbon,,non,27
2///Matières première///Cires jaune et blanche,13,13,matières premières cire jaune et blanche,,non,22
2///Matières première///Cuirs appretés,16,16,matières premières cuirs apprêtés,,non,16
2///Matières première///Graines de jardin,7,7,matières premières graine de jardin,,non,15
2///Matières première///Graines de trèfle,8,8,matières premières graine de trèfle,,non,11
2///Matières première///Graines diverses,11,11,matières premières graine diverse,,non,18
