quantity_unit_ortho,source_bdc,quantity_unit_ajustees,u_conv,q_conv,remarque_unit,incertitude_unit,source_hambourg,missing,needs_more_details,nbr_bdc_quantity_unit_ortho,nbr_bdc_quantity_unit_ajustees
barques,1,barriques,,,nécessite le contenu et le lieu d'émission,,,,1,1,2
barraux,1,,,,,,0,1,0,1,718
barreaux,1,barral vin de Montpellier,kg,25.35,p57 doursther,,0,,0,3,3
barres,1,,,,,,0,1,0,2,718
barrique,1,,,,nécessite le contenu et le lieu d'émission,,,,1,1,718
barriques,1,,,,nécessite le contenu et le lieu d'émission,,,,1,13,718
barriques à 400 L.,1,,,,,,,,,1,718
barriques à 500 L.,1,,,,,,,,,1,718
barriques en bottes,1,,,,,,,,,1,718
barriques en bouteilles,1,,,,,,,,,2,718
barriques grosses,1,,,,,,,,,1,718
barriques nantaises,1,,,,,,,,,1,718
barriques poids de 1000 livres,1,barriques,kg,489.49999,,,,,,1,2
bas,1,,,,,,,,,1,718
basin double,1,,,,,,,,,1,718
basses,1,,,,,,,,,1,718
bassines,1,,,,,,,,,1,718
bassins,1,,,,,,,,,3,718
bateaux,1,pièces,pièces,1,,,,,,3,127
bâtons,1,bâtons,pièces,1,,,0,1,0,2,2
battes,1,bailles,litres,14.625,,,,,,1,6
bazannes,1,pièces,pièces,1,,,0,,0,1,127
bertilles,1,,,,,,,,,1,718
bêtes,1,bêtes,pièces,1,,,,,,1,1
bichets,1,bichets de Lyon,litres,31.9,p66 doursther,,0,,0,1,1
billes,1,billes,pièces,1,,,,,,2,2
billets,1,billets,pièces,1,,,0,,0,1,1
billons,1,billons,pièces,1,,,,,,1,1
billots,1,,,,,,,,,1,718
bines,1,,,,,,0,1,0,1,718
birges,1,,,,,,0,1,0,1,718
boëtes,1,boîtes,contenant,1,,,,,,8,16
boëtes de 3 livres,1,,,,,,,,,1,718
bœufs,1,pièces,pièces,1,,,0,,0,2,127
boisseau,1,boisseau,litres,12.695,Wikipédia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur,,,,,15,15
boîtes,1,boîtes,contenant,1,,,,,,8,16
bolliches,1,,,,,,,,,1,718
bonnets,1,pièces,pièces,1,,,0,,0,2,127
bordage,1,pièces,pièces,1,,,,,,1,127
botes,,,,,,,,,1,0,0
botiches,1,,,,,,,,,3,718
bottes,1,,,,,,,,1,6,718
bottes à 68 veltes,1,,,,,,,,,1,718
boucaux,1,,,,,,,,,12,718
boucs,1,pièces,pièces,1,,,,,,3,127
boules,1,,,,,,,,,2,718
bouquets,1,,,,,,,,,1,718
bourdillons,1,pièces,pièces,1,,,,,,1,127
bourriques,1,pièces,pièces,1,,,,,,1,127
bout,1,,,,,,,,,1,718
boutades,1,,,,,,,,,2,718
bouteilles,1,,,,nécessite le contenu et le lieu d'émission,,,,1,9,718
bouteilles + muids + pintes,1,,,,,,,,1,1,718
bouteilles de pinte,1,,,,,,,,1,3,718
bouteilles ou le livres,1,,,,,,,,1,1,718
bouts,1,,,,"vérification dans la source, il s'agit de « bouts »",,,,,3,718
brancard,1,,,,,,0,1,0,1,718
brases,,,,,,,,,,0,0
brassées,1,,,,p83 doursther = brasses ?,,0,1,0,1,718
brasses,1,,,,nécessite le contenu et le lieu d'émission,,,,1,3,718
brilles,1,,,,,,,,,1,718
brins,1,,,,,,,,,3,718
briques,1,,,,,,,,,2,718
bûches,1,bûches,pièces,1,???,,,,,4,4
cabas,1,cabas,contenant,1,,,,,,2,2
cabillon,1,,,,,,0,1,0,1,718
cahiers,1,,,,,,,,,1,718
caisses,1,caisses,contenant,1,,,,,,8,9
caisses de 50 L.,1,,,,,,,,,1,718
caisses ordinaires,1,caisses,contenant,1,,,,,,1,9
caissons,1,caissons,contenant,1,,,,,,2,2
canastre,1,,,,"Doursther : 1 canastre représente la 70e partie de la pipe, page 91",,,,1,1,718
canes,1,,,,,,,,,2,718
canevettes,1,canevette,contenant,,"Canevette = petit coffre pour le vin ou les liqueurs, voir Wikipédia",,,,,10,10
cannades,1,,,,,,,,,1,718
cannées,1,,,,,,,,,1,718
cannelles,1,,,,,,,,,5,718
cannes,1,cannes,cm,194.89999,"p94 doursther, correspond à la toise",,,,,3,3
cannes en carré,1,,,,,,,,,1,718
cannettes,1,,,,,,,,,5,718
canques,1,,,,,,,,,1,718
caps,1,,,,Doursther : voir cab page 88,,0,1,0,2,718
caques,1,caques,kg,13.6,"p100 doursther : équivalent au baril, en anglais cade/cag",,,,,2,2
caratello,1,,,,,,,,,1,718
cargaisons,1,,,,,,,,,2,718
carpes,1,pièces,pièces,1,,,0,,0,1,127
carre,1,,,,,,,,,1,718
carreaux,1,carreaux,litres,102.831,"Doursther : voir page 102, 1 carreau = 3 pieds cubes de Paris = 3*34,277 L (voir Wikipédia pied cube)",,,,1,7,7
cartier du pied de 480 livres,1,,,,,,,,,1,718
cartieres,1,,,,p103 voir quartière,,0,1,0,2,718
cartons,1,,,,,,,,,1,718
cartroles,1,,,,,,,,,1,718
castes,1,,,,,,,,,1,718
cave,1,,,,,,,,,3,718
cavelles,1,,,,,,,,,2,718
cavettes,1,,,,,,,,,1,718
cent,1,,,,"p107 doursther, 10.2833 stères, 300 pieds cubes de paris",,,1,,8,718
cent au grand,1,,,,,,,,,1,718
cent au grand compte,1,,,,,,,,,2,718
cent au grand nombre,1,,,,,,,,,1,718
centaine,1,centaine,pièces,100,,,,,,3,3
cercles,1,,,,,,,,,1,718
chaises,1,chaises,pièces,1,,,,,,1,1
chaldres,1,,,,"il semble qu'il s'agisse de chaldres, une unité de mesure du charbon selon le cnrtl",,,,,6,718
chalon,1,pièces,pièces,1,,,,,,2,127
chamois,1,pièces,pièces,1,,,0,,0,1,127
chanterice,1,,,,,,,,,1,718
chantourné,1,,,,,,,,,1,718
chapeaux,1,chapeaux,kg,26000,"D'après Doursther, mesure pour le sel - varie suivant le lieu entre 28 et 26 tonnes",,0,1,0,3,3
chapons,1,,,,,,,,,1,718
chardées,1,,,,,,0,1,0,1,718
charge de 300 livres,1,charges,kg,146.849997,,,,,,1,1
charge de chenal,1,,,,,,,,,2,718
chargées,1,,,,,,,,,1,718
charges,1,,,,,,0,1,0,5,718
chariots,1,chariots,litres,1028.31,"Doursther : 1 chariot = 10 carreaux = 30 pieds cubes de Paris = 30*34,277 L (voir wikipédia pied cube)",,,,,5,5
charretées,1,charretées,litres,1920,"www.genefourneau.com/mesure.html , =1,92 stères",,,,,19,19
charrettes,1,,,,,,,,,6,718
chars,1,chars,litres,548.4400000000001,"p111 doursther, mesure de genève",,0,,0,4,4
charte,1,,,,,,,,,1,718
chartils,1,,,,,,,,,2,718
cheldes,1,,,,,,,,,2,718
chemises,1,pièces,pièces,1,,,,,,1,127
chevaux,1,pièces,pièces,1,,,0,,0,1,127
chevrier,1,,,,,,,,,1,718
chevrons,1,,,,,,,,,2,718
chipons de 300 livres,1,chipons,kg,146.849997,,,,,,1,1
chopes,1,,,,,,0,1,0,1,718
choux,1,choux,pièces,1,,,0,,0,1,1
ciel,1,,,,,,,,,1,718
citrons,1,citrons,pièces,1,,,,,,1,1
classer,1,,,,,,,,,1,718
cloches,1,,,,,,,,,1,718
coffre,1,coffres,contenant,1,,,,,,4,4
coffrets,1,coffrets,contenant,1,,,,,,1,1
colis,1,,,,,,,,,2,718
collé,1,,,,,,,,,1,718
colonnes,1,,,,,,,,,2,718
communes,1,en nombre,pièces,1,,,,,,5,15
conques,1,conques,litres,41.060001,doursther : 41.06 litres p119,,0,,0,1,1
coquilles,1,,,,,,,,,1,718
corde,1,cordes,litres,3839.055,p123 doursther,,0,,0,4,4
cordons,1,,,,,,0,1,0,1,718
costés,,,,,,,,,,0,0
cotes,,pièces,pièces,1,,,,,,0,0
cottes,1,,,,,,,,,11,718
couffe,1,,,,,,,,,1,718
coupes,1,coupes,contenant,1,,,0,,0,4,4
coupons,1,,,,,,0,1,0,4,718
courbes,1,,,,,,,,,1,718
couteaux,1,,,,,,,,,1,718
couverts,1,,,,,,,,,1,718
couvertures,1,pièces,pièces,1,,,0,,0,2,127
croix,1,,,,,,,,,2,718
cruche,1,cruches,pièces,1,,,0,,0,3,3
cuirs,1,pièces,pièces,1,,,,,,4,127
cuirs entier,1,pièces,pièces,1,,,,,,1,127
cuirs entiers,1,pièces,pièces,1,,,,,,1,127
dame-jeannes,1,pièces,pièces,1,,,,,,4,127
de,1,en nombre,pièces,1,,,0,,0,1,15
de selle,1,en nombre,pièces,1,,,0,,0,1,15
décagramme,1,décagramme,kg,.01,,,,,,1,1
décimètres,1,décimètres,cm,10,,,,,,1,1
demi,1,demi pièces,pièces,.5,,,,,,1,16
demi barriques,1,,,,nécessite le contenu et le lieu d'émission,,,,1,4,718
demi bottes,1,,,,nécessite le contenu et le lieu d'émission,,,,1,2,718
demi bouteilles,1,,,,nécessite le contenu et le lieu d'émission,,,,1,6,718
demi caisses,1,,,,nécessite le contenu et le lieu d'émission,,,,1,3,718
demi charge,1,,,,nécessite le contenu et le lieu d'émission,,,,1,3,718
demi cuirs,1,demi pièces,pièces,.5,,,,,,5,16
demi meule,1,,,,nécessite le contenu et le lieu d'émission,,,,1,1,718
demi pièces,1,demi pièces,pièces,.5,,,0,,0,7,16
demi pieds,1,demi pieds du roy,cm,16.2420005,,,,,,1,1
demi planches,1,demi planches,pièces,.5,,,,,,2,2
demi planches en barils,1,,,,,,,,,1,718
demie,1,demi pièces,pièces,.5,,,,,,3,16
demie ancres,1,demi ancre,kg,18.5,p27 doursther : en usage en Allemagne et en hollande formant le quart de l'aime,,,,,1,1
demie charge,1,demi charge,kg,73.425005,D'après Doursther (France). Aussi la valeure choisie par Werner,,,,,2,2
demycs,1,demi-pièces,pièces,.5,,,0,,0,1,1
deniers,1,,,,,,,,,1,718
devants,1,,,,,,0,1,0,1,718
dindons,1,pièces,pièces,1,,,,,,1,127
divers,1,pièces,pièces,1,,,,,,2,127
dossier,1,,,,,,,,,1,718
double,1,double pièce,pièces,2,,,,,,1,1
doubles cavelles,1,,,,,,,,,1,718
doublures,1,doublures,pièces,1,,,0,,0,1,1
douelles,1,douelles,pièces,1,,,,,,10,10
dourgs,1,,,,,,0,1,0,1,718
douzaine,1,douzaines,pièces,12,,,,,,5,11
douzaine bonnets,1,douzaines,pièces,12,,,,,,1,11
douzaine de bas,1,douzaines,pièces,12,,,,,,1,11
douzaine de boëtes,1,,,,,,,,,1,718
douzaine de fiole,1,,,,,,,,1,2,718
douzaine de mouchoirs,1,douzaines,pièces,12,,,,,,1,11
douzaine de pains,1,,,,,,,,,1,718
douzaine de paires,1,douzaines de paires,pièces,24,,,,,,6,6
douzaine de peaux,1,douzaines,pièces,12,,,,,,1,11
douzaine de plats,1,,,,,,,,,1,718
douzaine de pots,1,,,,,,,,,1,718
douzaine de tasses,1,,,,,,,,,1,718
douzaine grands,1,douzaines,pièces,12,,,,,,1,11
douzaine petits,1,douzaines,pièces,12,,,,,,1,11
draps,1,,,,,,,,,1,718
draps de lit,1,,,,,,,,,1,718
droits,1,,,,Doursther page 143,,,,,1,718
drugnes,1,,,,,,,,,1,718
écheaveaux,1,,,,,,,,,1,718
écuelles,1,,,,,,,,,1,718
émines,1,,,,,,,,,2,718
en,1,,,,,,,,,2,718
en argent,1,en argent,pièces,1,,,,,,1,1
en bouteille,1,,,,nécessite le contenu et le lieu d'émission,,,,1,1,718
en centaine,1,en centaine,pièces,100,,,,,,1,1
en feuilles,1,en feuilles,pièces,1,,,0,,0,1,1
en milliers,1,en milliers,pièces,1000,,,,,,1,1
en nombre,1,en nombre,pièces,1,,,,,,8,15
en pièces,1,pièces,pièces,,,,,,,1,127
en valeur,1,en valeur,,,,,,,,1,17
encres,1,pièces,pièces,1,,,,,,1,127
entiers,1,pièces,pièces,1,,,,,,2,127
épinettes,1,pièces,pièces,1,instrument de musique,,0,1,0,1,127
estimation,1,en valeur,,,,,,,,2,17
estimé,1,en valeur,,,,,,,,14,17
esturgeons,1,pièces,pièces,1,,,0,,0,1,127
facs,1,,,,,,,,,1,718
fagots,1,,,,,,,,,2,718
faix,1,,,,,,,,,5,718
fanègues,1,,,,nécessite le lieu d'émission,,,,,6,718
fannes,1,,,,,,0,1,0,1,718
fanons,1,fanons,pièces,1,,,0,,0,1,1
fardeaux,1,,,,,,,,,1,718
fartraux,1,,,,,,0,1,0,1,718
fau,1,,,,,,,,,1,718
fauteuils,0,pièces,pièces,1,,,,,,1,127
feittots,1,,,,,,,,,1,718
ferquins,1,,,,,,,,,1,718
fers,1,,,,,,,,,2,718
fés,1,,,,,,,,,1,718
feuillards,1,,,,,,,,,1,718
feuille,1,feuilles,pièces,1,,,,,,7,8
feuille double,1,feuilles doubles,pièces,1,,,,,,1,1
feuille simple,1,feuilles,pièces,1,,,,,,1,8
feuillet,1,,,,,,,,,3,718
feuillette,1,feuillettes,kg,134.11,p161 doursther,,0,,0,2,2
fez,1,,,,,,,,,2,718
fiole,1,,,,nécessite le contenu,,0,1,0,6,718
flacon,1,flacons,contenant,1,,,0,,0,5,5
fléau,1,,,,,,,,,1,718
flûtes,1,flûtes,pièces,1,,,,,,2,2
fonçailles,1,,,,,,,,,3,718
fontaine,1,,,,,,,,,1,718
fourneaux,1,fourneaux,pièces,1,,,,,,2,2
fournitures,1,,,,,,,,,3,718
fourrures,1,pièces,pièces,1,,,,,,1,127
fours,1,fours,pièces,1,,,,,,2,2
francs,1,,,,,,,,,2,718
frequier,1,,,,,,,,,4,718
frequin,1,,,,Wikipédia : sorte de futaille qui pèse plus de 25kg,,,,,6,718
frequins,1,,,,,,,,,1,718
fres,1,,,,,,,,,1,718
fromages,1,fromages,pièces,1,,,,,,1,1
fusils,1,fusils,pièces,1,,,0,,0,2,3
fusils de traite,1,fusils,pièces,1,,,,,,1,3
futaille de 800 livres,0,futailles,kg,391.599992,,,,,,1,4
futailles,1,futailles,contenant,1,,,,,,3,4
futailles de 500 L,1,,,,,,,,,1,718
futs,1,,,,,,,,,2,718
garbes,1,,,,,,,,,1,718
garde feux,1,,,,,,,,,1,718
garnitures,1,,,,,,,,,3,718
génisses,1,pièces,pièces,1,,,0,,0,1,127
gerbes,1,,,,,,,,,1,718
girofle,0,girofles,pièces,1,,,,,,1,1
gobelets,1,gobelets,pièces,1,,,,,,3,3
gommes,1,,,,,,,,,2,718
gonnes,1,,,,"D'après le Savary, une gonne est une sorte de futaille et 1 gonne = 400 à 450 livres (quand cela concerne du saumon), ou 1 gonne = 1,25 baril (quand cela concerne de la bière ou liqueurs)",,0,1,0,5,718
gousses,1,,,,,,,,,1,718
gramme,1,gramme,kg,.001,,,,,,2,2
grande,1,pièces,pièces,1,,,,,,3,127
grande caisse,1,,,,,,,,,1,718
grande pièce,1,pièces,pièces,1,,,,,,1,127
grandes pentes,1,,,,,,,,,1,718
grandeurs,1,pièces,pièces,1,,,,,,1,127
grandeurs diverses,1,pièces,pièces,1,,,,,,1,127
grands,1,grands,pièces,1,,,0,,0,1,1
grands pièces,1,pièces,pièces,1,,,,,,1,127
grenier,1,,,,,,,,,4,718
gros,1,pièces,pièces,1,,,,,,1,127
gros flacons,1,,,,,,,,,1,718
grosses,1,grosses,pièces,144,"p175 doursther, 12 douzaines",,,,,10,11
grosses barriques,1,,,,nécessite le contenu et le lieu d'émission,,,,1,2,718
grosses paires,1,paires,pièces,2,,,,,,1,10
grosses pièces,1,grosses,pièces,144,"p175 doursther, 12 douzaines",,,,,1,11
grosses pipes,1,,,,,,,,1,1,718
grosseur,1,,,,,,,,,1,718
guindeau,1,guindeau,pièces,1,,,,,,1,1
habits,1,,,,,,,,,1,718
haches,1,,,,,,,,,1,718
halles,1,,,,,,,,,1,718
hambourg,1,,,,,,,,,6,718
harpe,1,,,,,,,,,1,718
hectogrammes,1,hectogrammes,kg,.1,,,,,,1,1
hectolitres,1,hectolitres,litres,100,,,,,,3,3
horloges,1,horloges,pièces,1,,,,,,1,1
huitièmes,1,huitième,litres,.125,Doursther page 185,,0,1,0,1,1
huitres,1,huitres,pièces,1,,,0,,0,1,1
hume,1,,,,,,,,,1,718
incrustée d'or,1,pièces,pièces,1,,,0,1,0,1,127
issarions,1,,,,,,,,,2,718
jarres,1,,,,,,,,1,2,718
jattes,1,,,,,,,,,2,718
jets,1,jez,litres,137.11,"Doursther page 190, 1 jez = 137,11 L",,,,,5,5
jeux,1,jeux,pièces,1,,,,,,3,3
juments,1,pièces,pièces,1,,,0,,0,1,127
jupes,1,,,,,,,,,1,718
justes,1,jutte,kg,60,"Doursther page 193, la jutte pesait environ 60kg",,,,,1,5
jutes,1,jutte,kg,60,"Doursther page 193, la jutte pesait environ 60kg",,,,,3,5
juttes,1,jutte,kg,60,"Doursther page 193, la jutte pesait environ 60kg",,0,1,0,1,5
kilogrammes,1,kilogrammes,kg,1,,,,,,4,6
kilogrammes de l'étranger,1,kilogrammes,kg,1,,,,,,1,6
kilogrammes des colonies françaises,1,kilogrammes,kg,1,,,,,,1,6
laest,1,,,,,,,,,5,718
laëst,,,,,,,,,,0,0
lames,1,,,,,,,,,1,718
lames d'épées,1,pièces,pièces,1,,,,,,1,127
last,1,,,,"nécessite le contenu et le lieu d'émission, voir Doursther page 205",,,,,3,718
lats,1,,,,,,0,1,0,1,718
latz,1,,,,,,,,,1,718
le cent,1,cent,pièces,100,,,,,,2,2
le mille,1,mille,pièces,1000,,,,,,1,2
le pied cube,1,,,,,,,,,1,718
le reste,1,,,,,,,,,1,718
les 180 livres,1,livres,kg,88.10999820000001,,,,,,1,22
lest,1,,,,,,,,,1,718
leths,1,leths de cendre,litres,2638.2,"dictionnaire du commerce p600 : un leth pour 12 barils, puis p549 -> prendre tonnes de berlin ?",,0,,0,6,6
lets,1,,,,,,,,,2,718
letz,1,,,,,,,,,3,718
liens,1,,,,,,,,,1,718
lingot,1,,,,,,,,,1,718
litres,1,litres,litres,1,,,,,,2,2
livres,1,livres,kg,.48949999,,,,,,14,22
livres de bateau,0,livres de bateau,kg,150,"Witthöft 1993, Ulrich",,1,,0,1,1
livres de hambourg,0,livres de hambourg,kg,.48453999,"Witthöft 1993, Ulrich",,1,,0,1,1
livres en saumure,1,livres,kg,.48949999,,,,,,1,22
livres ou pièces,1,,,,,,,,,1,718
livrets,1,,,,,,0,1,0,1,718
lordins,1,,,,,,,,,4,718
madriers,1,madriers,pièces,1,pièces ??,,,,,4,4
madures,1,,,,,,0,1,0,1,718
mailles,0,mailles,kg,.076485001,quart de l'once,,0,,0,1,1
main,1,,,,,,,,,3,718
malles,1,malles,contenant,1,,,0,,0,8,8
manades,1,,,,,,,,,2,718
manches,1,,,,,,,,,1,718
mandes,1,,,,,,0,1,0,1,718
mannes,1,mannes,contenant,1,http://books.google.fr/books?id=9HM7AQAAIAAJ&pg=PA56&lpg=PA56&dq=mannes+de+charbon&source=bl&ots=WmK7GL1a82&sig=iO8oAqn4W-S8Bhi-28ohNUZPaP8&hl=fr&sa=X&ei=ULG2U76SNaz20gWTpoCYCQ&ved=0CFIQ6AEwCQ#v=onepage&q=mannes%20de%20charbon&f=false,,,,,5,5
marcs,1,marcs,kg,.244749995,,,,,,8,9
marcs 6 onces,0,,,,,,,,,1,718
marcs de Paris,1,marcs,kg,.244749995,,,,,,1,9
maroquins,1,peaux,pièces,1,,,0,,0,1,5
martes,1,,,,,,0,1,0,1,718
masses,1,,,,,,,,,3,718
matreaux,1,,,,,,,,,1,718
mats,1,mats,pièces,1,,,0,,0,1,1
mèches,1,mèches,pièces,1,,,,,,1,1
merrain,1,,,,,,,,,1,718
mesures,1,mesures,litres,14.63,doursther p279,,0,,0,5,5
mètre,1,mètre,cm,100,,,,,,2,2
meules,1,,,,,,,,,4,718
migères,1,,,,,,0,1,0,2,718
mille,1,mille,pièces,1000,,,,,,1,2
millerolles,1,millerolle,litres,64,Doursther : 1 millerolle = 64 litres page 292,,,,,5,5
milliers,1,milliers,pièces,1000,,,,,,13,14
milliers au grand compte,1,,,,"Pour Bordeaux, 1 millier de douelles au grand compte vaut environ 1610 douelles",,,,1,1,718
milliers de faix,1,,,,,,,,,1,718
milliers en nombre,1,milliers,pièces,1000,,,,,,1,14
mines,1,mines,litres,76.171997,Wikipedia,,0,,0,3,3
minots,1,minots,litres,38.085999,Wikipedia,,0,,0,3,3
molles,1,,,,,,,,,1,718
mollus,1,pièces,pièces,1,signifie morues,,0,1,0,1,127
monds,1,monds,kg,1250,p298 doursther,,0,,0,1,1
mont,1,monts,kg,1250,p298 doursther,,,,,4,4
morceaux,1,morceaux,pièces,1,,,0,,0,3,3
mortiers,1,,,,,,,,,2,718
morues,1,morues,pièces,1,,,,,,1,1
mottes,1,,,,,,0,1,0,1,718
mouchoirs,1,mouchoirs,pièces,1,,,,,,1,1
moutons,1,pièces,pièces,1,,,0,,0,1,127
mouts,1,,,,,,,,,1,718
moutte,1,,,,,,,,,2,718
moyenne,1,pièces,pièces,1,,,,,,4,127
moyenne pièces,1,pièces,pièces,1,,,,,,1,127
muid de 120 livres,1,muids,kg,58.7399988,,,,,,1,1
"muid de 62,5 pintes",1,,,,,,,,1,1,718
muids,1,,,,nécessite le contenu et le lieu d'émission,,,,1,5,718
muids + pintes,0,,,,nécessite le contenu et le lieu d'émission,,,,1,2,718
muids + pintes et bouteilles,1,,,,nécessite le contenu et le lieu d'émission,,,,1,1,718
muids + septiers,1,,,,nécessite le contenu et le lieu d'émission,,,,1,1,718
muids + septiers + minots,1,,,,nécessite le contenu et le lieu d'émission,,,,1,1,718
muids + septiers + minots + boisseau,1,,,,nécessite le contenu et le lieu d'émission,,,,1,1,718
muids de genièvre,1,muids de paris,kg,268.22,Muid de Paris (Wikipedia) (137-685) (mais pas cete valeur dans Dourshter),,0,,0,1,3
muids de Paris,1,muids de paris,kg,268.22,,,,,,1,3
muids en bouteilles,1,,,,,,,,,1,718
muids encerclés,1,,,,,,,,,1,718
muids le demi,1,demi muids de paris,kg,134.11,Muid de Paris (Wikipedia) (137-685) (mais pas cete valeur dans Dourshter),,,,,1,1
