marchandises,marchandises_normalisees_inter,marchandises_normalisees,product_prix,dutchtranslation,englishproduct,unit,alternativenames,source_rg_1774,source_rgbase,source_france,source_sound,source_hambourg,v14,v15,remarques,nbr_lignes_fr,nbr_lignes_hambourg,blok,source_bdc,nbr_bdc_marchandises,nbr_bdc_marchandises_normalisees
///Drogues diverses///Drogues réunies,Drogues ; Drogues réunies ; Diverses,Drogue ; Réunies ; Diverses,,,,,,0,0,1,,,,,,16,,1,1,16,109
///Drogues Diverses///Gommes diverses,Drogues ; Gommes ; Diverses,Gomme ; diverse,,,,,,0,0,1,,,,,,12,,1,1,12,621
///Drogues diverses///Gommes diverses,Drogues ; Gommes ; Diverses,Gomme ; diverse,,,,,,0,0,1,,,,,,43,,1,1,43,621
///Drogues diverses///Huile et essence de Térébenthine,Drogues ; Huile et essence de Térébenthine ; Diverses,Drogue ; térébenthine ; essence et huile,,,,,,0,0,1,,,,,,6,,1,1,6,109
///Drogues diverses///Huile et essence de térébenthine,Drogues ; Huile et essence de Térébenthine ; Diverses,Drogue ; térébenthine ; essence et huile,,,,,,0,0,1,,,,,,18,,1,1,18,109
///Drogues Diverses///Sels chimiques,Drogues ; chimiques ; Sel divers,Drogue ; chimique ; Sel divers,,,,,,0,0,1,,,,,,6,,1,1,6,17
///Drogues diverses///Sels chimiques,Drogues ; chimiques ; Sel divers,Drogue ; chimique ; Sel divers,,,,,,0,0,1,,,,,,9,,1,1,9,17
///Drogues médicinales///Drogues médicinales réunies,Drogues ; médicinales ; Diverses,Drogue ; médicinale ; Diverses,,,,,,0,0,1,,,,,,29,,1,1,29,116
///Drogues Médicinales///Drogues médicinales réunies,Drogues ; médicinales ; Réunies,Drogue ; médicinale ; Réunies,,,,,,0,0,1,,,,,,17,,1,1,17,44
///Drogues médicinales///Drogues réunies,Drogues ; médicinales ; Diverses,Drogue ; médicinale ; Diverses,,,,,,0,0,1,,,,,,12,,1,1,12,116
///Drogues Médicinales///Drogues réunies,Drogues ; médicinales ; Réunies,Drogue ; médicinale ; Réunies,,,,,,0,0,1,,,,,,16,,1,1,16,44
///Drogues Médicinales///Ipécacuanha,Drogues ; médicinales ; Ipécacuana,Drogue ; médicinale ; Ipécacuana,,,,,,0,0,1,,,,,,4,,1,1,4,142
///Drogues médicinales///Ipécacuanha,Drogues ; médicinales ; Ipécacuana,Drogue ; médicinale ; Ipécacuana,,,,,,0,0,1,,,,,,1,,1,1,1,142
///Drogues Médicinales///Jus de réglisse,Drogues ; médicinales ; Jus de réglisse,Drogue ; médicinale ; Jus de réglisse,,,,,,0,0,1,,,,,,5,,1,1,5,453
///Drogues médicinales///Jus de réglisse,Drogues ; médicinales ; Jus de réglisse,Drogue ; médicinale ; Jus de réglisse,,,,,,0,0,1,,,,,,5,,1,1,5,453
///Drogues Médicinales///Manne,Drogues ; médicinales ; Manne,Drogue ; médicinale ; manne,,,,,,0,0,1,,,,,,4,,1,1,4,52
///Drogues médicinales///Manne,Drogues ; médicinales ; Manne,Drogue ; médicinale ; manne,,,,,,0,0,1,,,,,,3,,1,1,3,52
///Drogues Médicinales///Quinquina,Drogues ; médicinales ; Quinquina,Drogue ; médicinale ; quinquina,,,,,,0,0,1,,,,,,6,,1,1,6,562
///Drogues médicinales///Quinquina,Drogues ; médicinales ; Quinquina,Drogue ; médicinale ; quinquina,,,,,,0,0,1,,,,,,10,,1,1,10,562
///Drogues Médicinales///Safran,Drogues ; médicinales ; Safran,Drogue ; safran,,,,,,0,0,1,,,,,,5,,1,1,5,1100
///Drogues médicinales///Safran,Drogues ; médicinales ; Safran,Drogue ; safran,,,,,,0,0,1,,,,,,16,,1,1,16,1100
///Drogues Médicinales///Salsepareille,Drogues ; médicinales ; Salsepareille,Drogue ; médicinale ; Salsepareille,,,,,,0,0,1,,,,,,2,,1,1,2,15
///Drogues médicinales///Salsepareille,Drogues ; médicinales ; Salsepareille,Drogue ; médicinale ; Salsepareille,,,,,,0,0,1,,,,,,2,,1,1,2,15
///Drogues Médicinales///Séné,Drogues ; médicinales ; Séné,Drogue ; médicinale ; séné,,,,,,0,0,1,,,,,,4,,1,1,4,373
///Drogues médicinales///Séné,Drogues ; médicinales ; Séné,Drogue ; médicinale ; séné,,,,,,0,0,1,,,,,,3,,1,1,3,373
///Drogues midicinales///Drogues réunies,Drogues ; médicinales ; Réunies,Drogue ; médicinale ; Réunies,,,,,,0,0,1,,,,,,11,,1,1,11,44
///Drogues midicinales///Ipécacuanha,Drogues ; médicinales ; Ipécacuana,Drogue ; médicinale ; Ipécacuana,,,,,,0,0,1,,,,,,1,,1,1,1,142
///Drogues midicinales///Jus de réglisse,Drogues ; médicinales ; Jus de réglisse,Drogue ; médicinale ; Jus de réglisse,,,,,,0,0,1,,,,,,3,,1,1,3,453
///Drogues midicinales///Manne,Drogues ; médicinales ; Manne,Drogue ; médicinale ; manne,,,,,,0,0,1,,,,,,3,,1,1,3,52
///Drogues midicinales///Quinquina,Drogues ; médicinales ; Quinquina,Drogue ; médicinale ; quinquina,,,,,,0,0,1,,,,,,2,,1,1,2,562
///Drogues midicinales///Safran,Drogues ; médicinales ; Safran,Drogue ; safran,,,,,,0,0,1,,,,,,2,,1,1,2,1100
///Drogues midicinales///Salsepareille,Drogues ; médicinales ; Salsepareille,Drogue ; médicinale ; Salsepareille,,,,,,0,0,1,,,,,,2,,1,1,2,15
///Drogues midicinales///Sené,Drogues ; médicinales ; Séné,Drogue ; médicinale ; séné,,,,,,0,0,1,,,,,,4,,1,1,4,373
///Industrie Etrangère///Articles réunis,Industrie étrangère ; Articles ; réunis,Industrie étrangère ; divers,,,,,,0,0,1,,,,,,18,,1,1,18,18
///Industrie étrangère///Articles réunis,Industrie étrangère ; Articles ; réunis,Divers,,,,,,0,0,1,,,,,,36,,1,1,36,2891
///Industrie Etrangère///Bouchons de liège,Bouchons ; de liège,Bouchons ; de liège,,,,,,0,0,1,,,,,,1,,1,1,1,541
///Industrie étrangère///Bouchons de liége,Bouchons ; de liège,Bouchons ; de liège,,,,,,0,0,1,,,,,,2,,1,1,2,541
///Industrie étrangère///Cauris,Cauris,Cauris,,,,,,0,0,1,,,,,,1,,1,1,1,153
///Industrie étrangère///Colle de toute sorte,Colles ; de toute sorte,Colle,,,,,,0,0,1,,,,,,3,,1,1,3,66
///Industrie Etrangère///Colles de toute sorte,Colles ; de toute sorte,Colle,,,,,,0,0,1,,,,,,4,,1,1,4,66
///Industrie étrangère///Colles de toute sorte,Colles ; de toute sorte,Colle,,,,,,0,0,1,,,,,,9,,1,1,9,66
///Industrie Etrangère///Faience et poterie,Faïence et poterie,Ouvrage ; de poterie et faïence,,,,,,0,0,1,,,,,,2,,1,1,2,26
///Industrie étrangère///Faience et poterie,Faïence et poterie,Ouvrage ; de poterie et faïence,,,,,,0,0,1,,,,,,4,,1,1,4,26
///Industrie Etrangère///Habillement et lingerie,Habillements et lingerie,Habit et lingerie,,,,,,0,0,1,,,,,,5,,1,1,5,588
///Industrie étrangère///Habillement et lingerie,Habillements ; et lingerie,Habit et lingerie,,,,,,0,0,1,,,,,,12,,1,1,12,588
///Industrie étrangère///Horlogerie,Horlogerie,Horlogerie,,,,,,0,0,1,,,,,,5,,1,1,5,718
///Industrie Etrangère///Horlogeries,Horlogerie,Horlogerie,,,,,,0,0,1,,,,,,3,,1,1,3,718
///Industrie Etrangère///Librairie,Librairie,Librairie,,,,,,0,0,1,,,,,,6,,1,1,6,1462
///Industrie étrangère///Librairie,Librairie,Librairie,,,,,,0,0,1,,,,,,16,,1,1,16,1462
///Industrie Etrangère///Marbres,Marbre,Marbre,,,,,,0,0,1,,,,,,3,,1,1,3,126
///Industrie étrangère///Marbres,Marbre,Marbre,,,,,,0,0,1,,,,,,10,,1,1,10,126
///Industrie Etrangère///Merceries,Mercerie,Mercerie,,,,,,0,0,1,,,,,,8,,1,1,8,1899
///Industrie étrangère///Merceries,Mercerie,Mercerie,,,,,,0,0,1,,,,,,18,,1,1,18,1899
///Industrie Etrangère///Meubles et miroirs,Meubles et miroirs,Meuble et miroir,,,,,,0,0,1,,,,,,4,,1,1,4,60
///Industrie étrangère///Meubles et miroirs,Meubles et miroirs,Meuble et miroir,,,,,,0,0,1,,,,,,9,,1,1,9,60
///Industrie Etrangère///Ouvrages de jonc,Ouvrage ; de joncs,Ouvrage ; de jonc,,,,,,0,0,1,,,,,,3,,1,1,3,103
///Industrie étrangère///Ouvrages de jonc,Ouvrage ; de joncs,Ouvrage ; de jonc,,,,,,0,0,1,,,,,,14,,1,1,14,103
///Industrie Etrangère///Ouvrages divers,Ouvrage ; Divers,Ouvrage ; divers,,,,,,0,0,1,,,,,,11,,1,1,11,433
///Industrie étrangère///Ouvrages divers,Ouvrage ; Divers,Ouvrage ; divers,,,,,,0,0,1,,,,,,26,,1,1,26,433
///Industrie Etrangère///Peaux et pelleteries,Peaux et pelleteries,Pelleterie,,,,,,0,0,1,,,,,,17,,1,1,17,113
///Industrie étrangère///Peaux et pelleteries,Peaux et pelleteries,Pelleterie,,,,,,0,0,1,,,,,,35,,1,1,35,113
///Industrie Etrangère///Plumes à écrire,Plumes ; à écrire,Plume ; à écrire,,,,,,0,0,1,,,,,,4,,1,1,4,256
///Industrie étrangère///Plumes à écrire,Plumes ; à écrire,Plume ; à écrire,,,,,,0,0,1,,,,,,6,,1,1,6,256
///Industrie Etrangère///Plumes d'autruche,Plumes ; d'autruche,Plume ; d'autruche,,,,,,0,0,1,,,,,,2,,1,1,2,8
///Industrie étrangère///Plumes d'Autruche,Plumes ; d'autruche,Plume ; d'autruche,,,,,,0,0,1,,,,,,5,,1,1,5,8
///Industrie Etrangère///Plumes de toute sorte,Plumes ; de toute sorte,Plume ; divers,,,,,,0,0,1,,,,,,3,,1,1,3,23
///Industrie étrangère///Plumes de toute sorte,Plumes ; de toute sorte,Plume ; divers,,,,,,0,0,1,,,,,,20,,1,1,20,23
"///Industrie étrangère///Porcelaine, faience et poterie","Porcelaine, faïence et poterie","Ouvrage ; de porcelaine, faïence et poterie",,,,,,0,0,1,,,,,,12,,1,1,12,12
///Industrie Etrangère///Quincailleries diverses,Quincaillerie ; Diverse,Quincaillerie,,,,,,0,0,1,,,,,,9,,1,1,9,356
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...",Quincaillerie ; Divers,Quincaillerie,,,,,,0,0,1,,,,,,8,,1,1,8,356
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..",Quincaillerie ; Divers,Quincaillerie,,,,,,0,0,1,,,,,,12,,1,1,12,356
///Industrie Etrangère///Savons,Savon,Savon,,,,,,0,0,1,,,,,,3,,1,1,3,928
///Industrie étrangère///Savons,Savon,Savon,,,,,,0,0,1,,,,,,6,,1,1,6,928
///Industrie Etrangère///Voitures,Voitures,Voiture,,,,,,0,0,1,,,,,,1,,1,1,1,123
///Industrie étrangère///Voitures,Voitures,Voiture,,,,,,0,0,1,,,,,,2,,1,1,2,123
///Industrie générale///Armes,Armes,Arme,,,,,,0,0,1,,,,,,2,,1,1,2,156
///Industrie Générale///Articles d'industrie réunis,Articles ; d'industrie ; réunis,Industrie ; divers,,,,,,0,0,1,,,,,,21,,1,1,21,296
///Industrie générale///Articles d'industrie réunis,Articles ; d'industrie ; réunis,Industrie ; divers,,,,,,0,0,1,,,,,,35,,1,1,35,296
///Industrie Générale///Bijouterie,Bijouterie,Bijouterie,,,,,,0,0,1,,,,,,6,,1,1,6,665
///Industrie générale///Bijouterie,Bijouterie,Bijouterie,,,,,,0,0,1,,,,,,24,,1,1,24,665
///Industrie Générale///Bougie,Bougie,Bougie,,,,,,0,0,1,,,,,,1,,1,1,1,469
///Industrie générale///Bougie,Bougie,Bougie,,,,,,0,0,1,,,,,,1,,1,1,1,469
///Industrie Générale///Cauris,Cauris,Cauris,,,,,,0,0,1,,,,,,1,,1,1,1,153
///Industrie générale///Cauris,Cauris,Cauris,,,,,,0,0,1,,,,,,2,,1,1,2,153
///Industrie générale///Chandelle,Chandelles,Chandelle,,,,,,0,0,1,,,,,,1,,1,1,1,130
///Industrie Générale///Chandelles,Chandelles,Chandelle,,,,,,0,0,1,,,,,,1,,1,1,1,130
///Industrie Générale///Cordages,Cordage,Cordage,,,,,,0,0,1,,,,,,1,,1,1,1,315
///Industrie générale///Cordages,Cordage,Cordage,,,,,,0,0,1,,,,,,2,,1,1,2,315
///Industrie Générale///Dorures fines,Dorure ; fine,Dorure ; fine,,,,,,0,0,1,,,,,,6,,1,1,6,510
///Industrie générale///Dorures fines,Dorure ; fine,Dorure ; fine,,,,,,0,0,1,,,,,,17,,1,1,17,510
///Industrie Générale///Esprit de vin,Esprit ; de vin,Esprit ; de vin,,,,,,0,0,1,,,,,,3,,1,1,3,113
///Industrie générale///Esprit de vin,Esprit ; de vin,Esprit ; de vin,,,,,,0,0,1,,,,,,11,,1,1,11,113
///Industrie Générale///Faience et poterie,Faïence et poterie,Ouvrage ; de poterie et faïence,,,,,,0,0,1,,,,,,5,,1,1,5,26
///Industrie générale///Faience et poterie,Faïence et poterie,Ouvrage ; de poterie et faïence,,,,,,0,0,1,,,,,,14,,1,1,14,26
///Industrie Générale///Gants de peau,Gants ; de peaux,Gants ; de peaux,,,,,,0,0,1,,,,,,8,,1,1,8,289
///Industrie générale///Gants de peau,Gants ; de peaux,Gants ; de peaux,,,,,,0,0,1,,,,,,21,,1,1,21,289
///Industrie générale///Habillemens et lingerie,Habillements ; et lingerie,Habit et lingerie,,,,,,0,0,1,,,,,,22,,1,1,22,588
///Industrie Générale///Habillements et lingeries,Habillements ; et lingerie,Habit et lingerie,,,,,,0,0,1,,,,,,7,,1,1,7,588
///Industrie Générale///Horlogerie,Horlogerie,Horlogerie,,,,,,0,0,1,,,,,,6,,1,1,6,718
///Industrie générale///Horlogerie,Horlogerie,Horlogerie,,,,,,0,0,1,,,,,,15,,1,1,15,718
///Industrie Générale///Jeux de voiles,Jeux ; de voiles,Jeux ; de voiles,,,,,,0,0,1,,,,,,1,,1,1,1,38
///Industrie générale///Jeux de voiles,Jeux ; de voiles,Jeux ; de voiles,,,,,,0,0,1,,,,,,2,,1,1,2,38
///Industrie Générale///Librairie,Librairie,Librairie,,,,,,0,0,1,,,,,,14,,1,1,14,1462
///Industrie générale///Librairie,Librairie,Librairie,,,,,,0,0,1,,,,,,31,,1,1,31,1462
///Industrie Générale///Marchandises des indes,Marchandises ; des Indes,Marchandises ; des Indes,,,,,,0,0,1,,,,,,1,,1,1,1,6
///Industrie Générale///Merceries,Mercerie,Mercerie,,,,,,0,0,1,,,,,,17,,1,1,17,1899
///Industrie générale///Merceries,Mercerie,Mercerie,,,,,,0,0,1,,,,,,37,,1,1,37,1899
///Industrie Générale///Meubles et glaces,Meubles et miroirs,Meuble et miroir,,,,,,0,0,1,,,,,,10,,1,1,10,60
///Industrie générale///Meubles et glaces,Meubles et miroirs,Meuble et miroir,,,,,,0,0,1,,,,,,28,,1,1,28,60
///Industrie Générale///Ouvrages de cruivre doré et argenté,Ouvrage ; de cuivre ; Doré et argenté,Ouvrage ; de cuivre,,,,,,0,0,1,,,,,,4,,1,1,4,626
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie,Ouvrage ; de cuir ; en cordonnerie et sellerie,Ouvrage ; de cuir ; cordonnerie et sellerie,,,,,,0,0,1,,,,,,2,,1,1,2,200
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,Ouvrage ; de cuir ; en cordonnerie et sellerie,Ouvrage ; de cuir ; cordonnerie et sellerie,,,,,,0,0,1,,,,,,9,,1,1,9,200
///Industrie générale///Ouvrages de cuivre doré et argenté,Ouvrage ; de cuivre ; Doré et argenté,Ouvrage ; de cuivre,,,,,,0,0,1,,,,,,13,,1,1,13,626
///Industrie Générale///Ouvrages de modes et fleurs artificielles,Ouvrage ; de modes ; En fleurs artificielles,Ouvrage ; de mode ; fleurs artificielles,,,,,,0,0,1,,,,,,8,,1,1,8,411
///Industrie générale///Ouvrages de modes et fleurs artificielles,Ouvrage ; de modes ; En fleurs artificielles,Ouvrage ; de mode ; fleurs artificielles,,,,,,0,0,1,,,,,,24,,1,1,24,411
///Industrie générale///Ouvrages de terre cuite,Ouvrage ; de terre cuite,Ouvrage ; de terre cuite,,,,,,0,0,1,,,,,,1,,1,1,1,33
///Industrie générale///Ouvrages divers,Ouvrage ; Divers,Ouvrage ; divers,,,,,,0,0,1,,,,,,22,,1,1,22,433
///Industrie Générale///Ouvrages divers en bois et futailles vuides,Ouvrage ; Divers ; en bois et futailles vides,Ouvrage ; divers ; en bois et futailles vides,,,,,,0,0,1,,,,,,5,,1,1,5,5
///Industrie Générale///Ouvrages en terre cuite,Ouvrage ; de terre cuite,Ouvrage ; de terre cuite,,,,,,0,0,1,,,,,,1,,1,1,1,33
///Industrie générale///Papier pour tenture,Papier ; à tenture,Papier ; à tenture,,,,,,0,0,1,,,,,,6,,1,1,6,29
///Industrie Générale///Papiers à écrire,Papier ; à écrire,Papier ; à écrire,,,,,,0,0,1,,,,,,15,,1,1,15,411
///Industrie générale///Papiers à écrire,Papier ; à écrire,Papier ; à écrire,,,,,,0,0,1,,,,,,36,,1,1,36,411
///Industrie Générale///Papiers pour tenture,Papier ; à tenture,Papier ; à tenture,,,,,,0,0,1,,,,,,8,,1,1,8,29
///Industrie générale///Papiers pour tenture,Papier ; à tenture,Papier ; à tenture,,,,,,0,0,1,,,,,,14,,1,1,14,29
///Industrie Générale///Parasols,Parasols,Parasols,,,,,,0,0,1,,,,,,1,,1,1,1,128
///Industrie Générale///Parfumerie,Parfumerie,Parfumerie,,,,,,0,0,1,,,,,,15,,1,1,15,678
///Industrie générale///Parfumerie,Parfumerie,Parfumerie,,,,,,0,0,1,,,,,,21,,1,1,21,678
///Industrie Générale///Passementerie,Passementerie,Passementerie,,,,,,0,0,1,,,,,,2,,1,1,2,187
///Industrie générale///Passementerie,Passementerie,Passementerie,,,,,,0,0,1,,,,,,6,,1,1,6,187
///Industrie Générale///Peaux et pelleteries,Peaux et pelleteries,Peaux et pelleteries,,,,,,0,0,1,,,,,,12,,1,1,12,42
///Industrie générale///Peaux et pelleteries,Peaux et pelleteries,Peaux et pelleteries,,,,,,0,0,1,,,,,,28,,1,1,28,42
///Industrie Générale///Porcelaine,Porcelaine,Porcelaine,,,,,,0,0,1,,,,,,7,,1,1,7,849
///Industrie générale///Porcelaine,Porcelaine,Porcelaine,,,,,,0,0,1,,,,,,13,,1,1,13,849
///Industrie Générale///Poudre à tirer,Poudre ; à tirer,Poudre à tirer,,,,,,0,0,1,,,,,,2,,1,1,2,191
///Industrie générale///Poudre à tirer,Poudre ; à tirer,Poudre à tirer,,,,,,0,0,1,,,,,,1,,1,1,1,191
///Industrie Générale///Quincaillerie,Quincaillerie,Quincaillerie,,,,,,0,0,1,,,,,,14,,1,1,14,356
///Industrie générale///Quincaillerie,Quincaillerie,Quincaillerie,,,,,,0,0,1,,,,,,26,,1,1,26,356
///Industrie Générale///Savons,Savon,Savon,,,,,,0,0,1,,,,,,14,,1,1,14,928
///Industrie générale///Savons,Savon,Savon,,,,,,0,0,1,,,,,,30,,1,1,30,928
///Industrie Générale///Tableaux et Estampes,Tableau et estampes,Tableaux et estampes,,,,,,0,0,1,,,,,,5,,1,1,5,333
///Industrie générale///Tableaux et estampes,Tableau et estampes,Tableaux et estampes,,,,,,0,0,1,,,,,,12,,1,1,12,333
///Industrie Générale///Verrerie,Verrerie,Verrerie,,,,,,0,0,1,,,,,,12,,1,1,12,31
///Industrie générale///Verrerie,Verrerie,Verrerie,,,,,,0,0,1,,,,,,19,,1,1,19,31
///Matière d'Or et d'argent///Monnaies au type étranger,Monnaies ; étrangères,Monnaie ; étrangère,,,,,,0,0,1,,,,,,6,,1,1,6,102
///Matière d'Or et d'argent///Orfévrerie,Orfèvrerie,Orfèvrerie,,,,,,0,0,1,,,,,,16,,1,1,16,227
///Matières d'Or et d'argent///Argenterie et orfévrerie,Argenterie et orfèvrerie,Argenterie et orfèvrerie,,,,,,0,0,1,,,,,,4,,1,1,4,121
///Matières d'Or et d'argent///Argenteries et orfévrerie,Argenterie et orfèvrerie,Argenterie et orfèvrerie,,,,,,0,0,1,,,,,,5,,1,1,5,121
///Matieres d'Or et d'argent///Monnaies au type étranger,Monnaies ; étrangères,Monnaie ; or et argent,,,,,,0,0,1,,,,,,1,,1,1,1,2
"///Matières d'Or et d'argent///Monnaies étrangères , ou lingots",Monnaies ; étrangères ou lingots,Monnaie ; or et argent et lingot,,,,,,0,0,1,,,,,,10,,1,1,10,17
///Matières d'or et d'argent///Monnaies étrangères et lingots,Monnaies ; étrangères ou lingots,Monnaie ; or et argent et lingot,,,,,,0,0,1,,,,,,3,,1,1,3,17
///Matières d'Or et d'argent///Monnaies étrangères ou lingots,Monnaies ; étrangères ou lingots,Monnaie ; or et argent et lingot,,,,,,0,0,1,,,,,,4,,1,1,4,17
///Matieres d'Or et d'argent///Orfévrerie,Orfèvrerie,Orfèvrerie,,,,,,0,0,1,,,,,,7,,1,1,7,227
///Matières d'or et d'argent///Orfévrerie,Orfèvrerie,Orfèvrerie,,,,,,0,0,1,,,,,,1,,1,1,1,227
///Métaux///Argent vif,Argent ; vif,Argent ; vif,,,,,,0,0,1,,,,,,7,,1,1,7,331
///Métaux///Articles réunis,Métaux ; Articles ; réunis,Métaux ; divers,,,,,,0,0,1,,,,,,5,,1,1,5,178
///Métaux///Autres métaux,Métaux ; autres,Métaux ; divers,,,,,,0,0,1,,,,,,29,,1,1,29,178
///Métaux///Cuivre,Cuivre,Cuivre,,,,,,0,0,1,,,,,,28,,1,1,28,589
"///Métaux///Cuivre, bronze et Laiton","Cuivre, bronze et laiton","Cuivre, bronze et laiton",,,,,,0,0,1,,,,,,10,,1,1,10,195
"///Métaux///Cuivre, bronze et laiton","Cuivre, bronze et laiton","Cuivre, bronze et laiton",,,,,,0,0,1,,,,,,15,,1,1,15,195
"///Métaux///Cuivre,bronze et laiton","Cuivre, bronze et laiton","Cuivre, bronze et laiton",,,,,,0,0,1,,,,,,9,,1,1,9,195
///Métaux///Etain,Étain,Étoffe,,,,,,0,0,1,,,,,,12,,1,1,12,50
///Métaux///Fer blanc,Fer ; blanc,Fer ; blanc,,,,,,0,0,1,,,,,,6,,1,1,6,799
///Métaux///Fer-blanc,Fer ; blanc,Fer ; blanc,,,,,,0,0,1,,,,,,9,,1,1,9,799
///Métaux///Fers,Fer,Fer,,,,,,0,0,1,,,,,,37,,1,1,37,555
///Métaux///Fers blanc,Fer ; blanc,Fer ; blanc,,,,,,0,0,1,,,,,,3,,1,1,3,799
///Métaux///Fers et aciers,Fer et acier,Fer et acier,,,,,,0,0,1,,,,,,42,,1,1,42,370
///Métaux///Plomb,Plomb,Plomb,,,,,,0,0,1,,,,,,18,,1,1,18,293
///Métaux///plomb,Plomb,Plomb,,,,,,0,0,1,,,,,,8,,1,1,8,293
