hypothese,marchandises,definition,nbre d’occurrences,remarques
0,aigre de vitriol,"Savary, volume 2, 1748 : SEL OU AIGRE DE VITRIOL « Espèce de vitriol séché au soleil […] excellent contre l'épilepsie, & contre les fièvres chaudes & malignes »",,
0,ail,"Selon Robert J James, Dictionnaire universel de la médecine, 1746, « échauffent & atténuent le sang […] fortifient les vicères […] et est un excellent remède contre la collique. […] contre l'asthme et les maladies respoiratoires »",,
0,ailor,Erreur de retranscription (c’était «ails»),,
0,ails à fauches,Erreur de retranscription : il s’agit de « faux à faucher »,,
0,"aime, ame (contenant)","aussi Aam, Ohm, etc., ""sorte de futaille ou mesure pour liquides, employée surtout en Allemagne, en Hollande et en Belgique"". Horace Doursther, Dictionnaire universel des poids et mesures anciens et modernes, Bruxelles, M. Hayez, 1840, article ""Aime"".",,
0,ain,"Savary, Dictionnaire 1, article ""Ain"", ""hameçon"".",,
0,"ajamies, ajamies, jamis, à jamis, à jamin, ajamier, ajamir, ajamix, ajanis, ajami","Jacques Savary des Brûlons, Dictionnaire universel de commerce, vol. 2, Paris, Vve Estienne et Fils, 1748 [ci-après Savary, Dictionnaire 2], article ""Jamis, ""On appelle Toile à Jamis une espèce de toile de coton qui se tire du Levant par la voye d'Alep""également Encyclopédie, article ""Jamis toile à"". Cf. aussi Eloy Martin Corrales. Marseille, échelle des toiles levantines pour l'Espagne, XVIIe et XVIIIe siècle. Rives méditerranéennes 29, 2008.",,
0,"akia, achia","Savary, Dictionnaire 1, article ""Achia"", ""sorte de canne qui croît dans les Indes Orientales, que l'on confit en verd dans le pays avec du fort vinaigre, du poivre quelques épices et autres ingrédients [...].""",,
1,alana,"Probablement « Alatia », à vérifier",,
0,alegia,Voir « alegias »,,
0,"alegias, allegias, elegias","Savary Dictionnaire 2, article ""Lagias"", ""Toiles peintes très belles qui se fabriquent & se vendent au Royaum de Pegu"".",,
0,alènes,Littré : « Poinçon de fer dont on se sert pour percer et coudre le cuir. »,,
0,alibanies,"Encyclopédie, article ""Alibanies"", ""toiles de coton qu'on apporte en Hollande des Indes Orientales, par les retours de la Compagnie"". Cf. Gérard Deschamps, Les filets maillants, éditions Quae, 2009, p. 189Frédéric Mistral, Trésor dòu Felibrige. Dictionnaire provençal-français, Raphèle-les-Arleson en emploie de trois grosseurs, qu’on distingue par les noms de liguette ou brumel, le baudou et filet prin. Ces cordes se vendent par balles. Extrait de Description des arts et métiers, vol. 5, 1776, de l’imprimerie de la société typographique, p. 714.",,
0,"alibanis, alibania, alibanic, alibans",Voir « alibanies »,,
0,"alizary, alizari","alizar, ""Nom donné dans le commerce à la racine entière de la garance"", ATILF, article ""Alizari"".",,
0,alkerme,"Wiki : Alkermès (sanglant rouge cochenille kermès) : nom d'une liqueur à base de plantes nommée aussi kermès officinal. Élixir alkermès : nom de médicaments composés renfermant le suc du kermès animal.Selon l'ouvrage de Dorvault (1875) (pArts et métiers mécaniques, Paris",,
0,alkermès,"Encyclopédie, article ""Alkermès"", ""graine d'écarlate. Cette graine se cueille en grande quantité dans la campagne de Montpellier [...]"".",,
,"allaya, alaya, alatia: forme choisie ""allaya"".",,,
1,alleaux,"Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts : « Erreur du copiste, qui aurait voulu écrire « alloes » » selon David Cassagne. Hypothèse peu probable étant donné la qualité de l’écriture du mot « alleaux » et de par son unité (pièces), différente de celle de « alloes » (livres)",,
,alocir,"Absent de la base de données centrale, ainsi que du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts",,
0,aloès,"Savary, volume 1, 1748 : Pour soigner les hommes et les chevaux. Violent purgatif entrant dans la composition de certaines pilules.",,
1,aloès cabalin,Marchandise évoquée par Savary dans le volume 1 (page 181) dans le volume 2 (page 495),,
0,aloès capalin,Erreur de retranscription : le copiste a (mal) écrit « aloes cabalin »,,
,aloiset,"La retranscription semble correcte, mais le sens du mot reste inconnu (Savary, Littré, Encyclopédie)",,
0,alpargate,espadrilles (Savary),,
0,"alpargatte, alpargalle, alfargate","alpargate, esp.""alpargatas"", ""espadrille"". Cf. Abel Hugo. France militaire. Histoire des armées françaises de terre et de mer, Paris, Delloye, 1838, vol. 4, p. 297.",,
0,alquifoux,"espèce de plomb minéral très pesant, article ""Alquifoux"", Encyclopédie.",,
0,alquifoux,"Savary, volume 1, 1748 : « espèces de plomb minéral très pesant… utilisé par les potiers »",,
0,alquitra,"espagnol pour ""bitume"".",,
0,alquitra,Synonyme de goudron (tiré de l'espagnol),,
1,aluchiabanis,"La retranscription semble bonne, mais le copiste a pu vouloir écrire « Archiabanis » ",,
0,alun gâté,"Savary, volume 1, 1748 : «  Alun : Espèce de sel fossile »",,
0,alvés,Erreur de retranscription (c’était «aloes»),,
0,amadou,"Agaric (Grieve Herbal: B. chirurgorum (SURGEON'S AGARIC, OAK AGARIC, PUNK, TOUCHWOOD) is the product of P. fomentarius, which is found upon the oak and beech trees of Europe and is a very different substance, its uses being mechanical, as tinde",,
0,amadou et agaric,"Agaric (Grieve Herbal: B. chirurgorum (SURGEON'S AGARIC, OAK AGARIC, PUNK, TOUCHWOOD) is the product of P. fomentarius, which is found upon the oak and beech trees of Europe and is a very different substance, its uses being mechanical, as tinde",,
,amaril,Marchandise provenant d’une source belge dont la signification est inconnue. ,,
,ambrain,"Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts, mais n’apparait qu’une seule fois dans la BDD, et pour un faible montant",,
,ambrain à grande barrique,Voir « ambrain » ci dessus,,
0,ambre gris,Wallis : primarily perfumerywaxy substance secreted by the sperm whale and found floating at sea or washed ashoreused in perfume,,
0,ambre gris,Wallis : primarily perfumerywaxy substance secreted by the sperm whale and found floating at sea or washed ashoreused in perfume,,
0,"ambre jaune, carabé, karabé","Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé bien des gens ayant l'art de le contrefaire... ».",,
0,amertis,"étoffe du Bengale, Jacques Peuchet, Dictionnaire universel de la geographie commercante, vol. 4, Paris",,
0,amertis,Toile de coton blanche,,
0,ami de toillé,Erreur de retranscription : c’est « anis etoillé »,,
0,ammoniac,"Savary, volume 1, 1748 : « Gomme […] On tire un esprit & une huile de cette gomme à qui l'on attribue de grandes vertus. »",,
0,"ammonium verum [ammonium comme composé chimique apparaît en 1814, cf. trésor de la langue française informatisé, /?",« verum » signifie « Produit pharmacologiquement actif» en latin,,
0,amomum,"Savary, volume 1, 1748 : «Espèce de fruit que l'on rapporte des Indes […]. L'Amomium qu'on compte parmi les drogues qui servent à la Médecine & qui entre particulièrement dans la composition de la Thériaque... »",,
0,anabase,Fait l’objet d’une normalisation orthographique en faveur de « anabasse » (voir ci dessous),,
0,anabasse,"Anabasse, ""Toile de fil et de coton, bleu et blanc, d'un demi pouce entre chaque raye, et de la largeur de trois quarts d'aulnes, divisé par longueurs de trois quarts d'aulne et demi. » Extrait de Traité général du commerce de l’Amérique…, Marc-Michel Rey, 1783, vol. 2, p. 382-3.",,
0,anacarde,"genre de plante à fleur monopétale, article ""Moluque"", Encyclopédie.",,
0,anacarde,"Savary, volume 1, 1748 : «Espèce de sèves qui sont rapportées des grandes Indes […] ces sortes de sèves sont de quelque usage en Médecine étant un bon purgatif... »",,
0,anacoste,"Espèce d'étoffe de laine croisée très rare, Savary, Dictionnaire 1, article ""Anacoste"".",,
0,anascote,"ancienne graphie d'Anacoste, ATILF, article ""Anacoste"".",,
0,andolium,"morue que l'on nomme l'andolium, Jean-Élie Bertrand, Descriptions des Arts et Métiers, faites ou approuvées par messieurs de l'Académie Royale des Sciences, [ci-après Bertrand, Descriptions], vol. 10, 1779, p. 122.",,
0,angélique,"Savary, volume 1, 1748 : «Qu'on appelle aussi Archangelic ou Racine du S. Esprit,Angelica en latin ou Radix Siriaca. Plante médicinale fort estimée à cause des vertus qu'on lui croit contre les poisons, qui la fait entrer dans la composition du",,
,angélique du rozème,Une seule occurrence dans la BDD,,
0,anille,"Fer de moulin, article ""Anille"", Dictionnaire de l'Académie française, 4e édition, 1762 [ci-après Académie française, 1762].",,
0,animée (gomme),"gomme de l'arbre ""courbaril"", ou ""animé"", Xycol.",,
0,anspect,"Les matelots appellent ainsi un levier, article ""anspect"", Encyclopédie.",,
,ansprete (bois d'),Introuvable dans les dictionnaires et dans la liste de marchandises , seulement 2 occurrences ,
,"antchibanis, archiabanis",Les écritures des copistes sont difficiles à déchiffrer dans les deux cas , chacun n’appararaît qu’une seule fois dans la BDD , peut être à rapprocher avec « aluchiabanis »
0,antimoine,"Savary, volume 1, 1748 : « Minéral qui approche fort de la nature des métaux, […] est d'un grand usage soit dans la fonte des métaux, dans la médecine et chez les Maréchaux. […] l'Antimoine, qui ne trouve plus d'adversaire et qui est devenu le ",,
0,antofle de girofle,"Clou de girofle, article ""Girofle (clou de)"", Encyclopédie.",,
0,apier,"rucher, ATILF.",,
0,"apios, appios","espèce de tithymale qui pousse plusieurs petites tiges basses, article ""Apios"", Encyclopédie.",,
0,apparaux,"Matériel fixe servant à effectuer, sur un navire, les manœuvres et les opérations de manutention, ATILF.",,
0,arcalum duplicatum,"arcanum duplicatum, ""remede secret composé de deux, savoir de l' acide vitriolique & de la base alkaline du nitre, ce qui fait un sel moyen qu' on nomme sel de duobus"". Encyclopédie, article ""Arcanum duplicatum"".",,
0,arcanette,"Nom vulgaire donné en Lorraine à la sarcelle indigène, ATILF.",,
0,arcanson,"Résine jaunâtre, encore appelée galipot, brai sec ou colophane, ATILF.",,
1,arcanum duplicatum,"Provient peut être du latin ? « Arcanum » signifie « arcane, secret » tandis que ",,
0,aristoloche,"Savary, volume 1, 1748 : « Plante qui rentre dans la composition du Thériaque »",,
0,armoisin,"Savary, volume 1, 1748 : «  Armoisin : Etoffe de soie, ou sorte de taffetas de moyenne bonté, qui se fait à Lyon et en plusieurs endroits de l'Italie. »",,
0,armoisin,"taffetas extrêmement mince, Encyclopédie, article ""Armoisin"".",,
,arpois,"Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts ; 1 seule occurrence ",,
0,arquifou,"Savary, volume 1, 1748 : «  Arquifou : espèce de minéral »",,
0,arsenic,Dietz sugg is used as a pigment,,
1,arson de bois,Peut-être « Arçons »,,
0,asfafélida,"???//atilf.atilf.fr/ [ci-après ATILF], Article ""Ac(c)on"", ""Embarcation à fond plat, servant à divers usages"".",,
,aspatton (bois d'),"Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts et de la liste de marchandises, 1 seule occurrence ; écriture du copiste à étudier…",1,
0,asphalte,Liste Wallis: Appears in 1773 re exp out of time,,
0,assa fétide,"Drapiez, Dictionnaire classique des sciences naturelles, volume 1 : Sève, « L'assa Foetida est employée en médecine comme anti-spasmodique ».",,
0,asustum,"Asustum ou chaux d'airain, Savary, Dictionnaire 1, article ""Asustum"".Chez l'Auteur, 1786, article ""Pondichéry"".",,
,auclimes,"Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts et de la liste de marchandises, 1 seule occurrence ",,
,aucsats,"Absent de la base de données ainsi que du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts et de la liste de marchandises",,
0,"auf, aeuf, auffe ou aufo, provençal, esp. alfa","Auf, aeuf, auffe ou aufo, provençal, esp. alfa: Plante de la famille des graminés dont les fibres étaient jadis utilisées dans la confection des cordages, nattes et filets. Au XVIIIe siècle les auffiers travaillent ces fibres. Fr.: spart ou sparte. Cf. Gérard Deschamps, Les filets maillants, éditions Quae, 2009, p. 189; Frédéric Mistral, Trésor dòu Felibrige. Dictionnaire provençal-français, Raphèle-les-Arles: Marcel Petit,  1878. Voir aussi Cordes d’auffe : on en emploie de trois grosseurs, qu’on distingue par les noms de liguette ou brumel, le baudou et filet prin. Ces cordes se vendent par balles. Extrait de : Description des arts et métiers, vol. 5, 1776, de l’imprimerie de la société typographique, p. 714.",,
,"augemy, augeny: forme choisie augemy","Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts et de la liste de marchandises, seulement 2 occurrances (une pour chaque orthographe)",,
,augustins,"Absent du dictionnaire Savary, du dictionnaire Ménagé et de l’encyclopédie des arts et de la liste de marchandises ; 1 seule occurrene ; peut être « augustine » ?",,
,aurcsats,"La graphie du copiste semble parfaitement lisible, mais cette marchandise n’apparaît qu’une seule fois dans la BDD, et sa signification nous est inconnue. ",,
0,aussières,"S’écrit en réalité « haussières » : « Terme de marine. Cordage commis avec des torons au nombre de trois ou quatre. On dit aussi aussière, et, par corruption, hansière. » (Littré)",,
0,avelanèdes,"cosse du gland de chêne velani, article ""Avelanede"", Savary, Dictionnaire 1.",,
0,avelanèdes,"Encyclopédie Universelle : « Cupule qui entoure la base des glands du chêne velani, employée dans le tannage des cuirs et la teinture",,
0,avelines,"espèce de fruit comestible semblable à la noisette, article ""Aveline"", Savary, Dictionnaire 1.",,
0,avelines,"Wikitionary : « Variété de grosse noisette, dont on extrait une huile fine. »",,
0,azur,Cf. P.H.Wallis  : semi-precious stone,,
0,babus,Barbus (poisson)?,,
0,baffetas,"Savary, volume 1, 1748 : « Baffetas : Toile toute de fil de coton blanc, très grosse, qui vient des indes orientales. »",,
0,baffetas,"toile grosse de coton blanc, qui vient des Indes orientales. Article ""Baffetas"", Encyclopédie.",,
,bagarot,"Absent des dictionnaires. Une seule occurrence dans la BDD, écriture correcte (Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv, mports, Page 4)",,
1,baie de foye,Peut-être «Baie de soie »,,
0,baigne,Baigues ou Baignes : sorte de ratine (étoffe de laine) , source supplémentaire : dictionnaire du textile (https://archive.org/stream/dictionaryoftext00harmrich/dictionaryoftext00harmrich_djvu.txt),
0,baignes,voir « baigne »,,
,baigots,"Absent des dictionnaires, une seule occurrence ; écriture difficilement lisible, peut être une erreur du retranscripteur (Local/La Rochelle/41 ETP 270/La Rochelle - Entrées – 1726 – Page 4)",,
0,"baillarge, bailliarge","Baillarge, ""Orge de printemps à deux rangs"", Centre national de Ressources Textuelles et Lexicales, http",,
0,baille,"Savary, volume 1, 1748 : «  Baille : Moitié de tonneau en forme de bacquet»",,
0,bailliarge,Espèce d'orge qui vient de l'Angoumois ou du Poitou,,
0,"bajanes, bajannes, bajaunes, basane, bazane","Basannes ""Peau de bélier, mouton, de brebis, passée en tan"", Savary, Dictionnaire 1. Écrit parfois ""Basane"" dans l'Encyclopédie.",,
0,"bajutapau, bajutabeau, bajutapeau","Bajutapaux, ""espèces de toile de coton, rayées de blanc"", Almanach général des marchands, négocians et armateurs de la France, de l'Europe et des autres parties du Monde, Paris",,
0,balaustes,"Fleurs de grenadire sauvage, Encyclopédie, article ""Balaustes"".",,
,balfas,L’écriture paraît pourtant lisible (La Rochelle - 41 ETP 271 – 1729 – page 3),1,
0,bambouc,"bambou, ""bois extrêmement noueux qui croît dans plusieurs endroits des Indes Orientales"", article ""Bambouc"", Encyclopédie.",,
0,bannette,"espèce de panier, article ""Bannette"", Encyclopédie.",,
0,baquelet,erreur de retranscription (c’était «baquets»),1,
0,baracan,"aussi Bouracan, ""étoffe non croisée"", article ""Bouracan"", Encyclopédie.",,
0,barbançons,"cruches ou bouteilles de grès. Cf. le décret concernant le tarif des droits d’entrées et de sorties du royaume (28 juillet=1er août 1792) « les cruches et bouteilles de grès, même celles connues sous le nom de barbançons et barbues, seront traitées comme poteries de terre », in L. Rondonneau dir., Collection générale des lois, décrets, arrêtés, sénatus-consultes, avis du Conseil d'Etat et réglements d'administration publiés depuis 1789 jusqu'au 1er avril 1814, 16 tomes en 28 volumes, Tome 3, IIe partie, Assemblée législative Mai-Septembre 1792, p. 592 et suiv.",,
0,barbe de baleine,partie du fanon des baleines,,
0,barbotine,"Savary, volume 1, 1748 : Ou Semen Contra « Graine qui sert à faire mourir les vers qui s'engendrent dans le corps humain, auxquels surtout les enfants sont fort sujets »",,
0,barbues,"cruches ou bouteilles de grès, cf. Barbançons.",,
0,barileau,"Barilleau, ""petit baril"", CNRTFL.",,
0,bariteau,étoffe de laine et fil qui sert à tamiser,,
,barois,tous à l’export vers la Flandre. Semble correspondre à la « toile de barois (et clinchamp) ».,4,
0,basin,"Savary, volume 1, 1748 : «  Basin : Etoffe croisée qui doit être fabriquée toute de fil de coton »Dictionnaire de commerce Savary, vol. 2, 1723, p. 139  [ci-après Savary, Dictionnaire 2].",,
0,basin,"Savary, volume 1, 1748 : « Basin : Étoffe coiffée qui doit être fabriquée toute de fil de coton »",,
1,"basin, bazin"," étoffe croisée dont la chaîne est ordinairement de fil et la trame de coton, CNRTFL, Cf. aussi article ""Bazin"", Jacques Peuchet, Vocabulaire des termes de commerce, banque, manufactures, navigation marchande, finance mercantile et statistique, Paris, Chez Testut, 1801.",,
0,"batanoimes, batanoines, batanomic, batanomis, batanonis","Batanomes, ""toiles longues de vingt- huit pieds la pièce"", article ""Batanomes"", Encyclopédie.",,
0,batanonis,toile de lin,,
0,bâtardes,"Trois définitions cohérentes dans le Littré : 1) « Sucre produit par des sirops qui sont le résidu d'un raffinage précédent. » 2) « Terme de marine. Corde qui assemble les racages et les amarres sur le mât près de la vergue. » 3) «  Dans l'ancienne artillerie, bâtarde, sorte de canon, long d'environ neuf pieds et demi, avec trois pouces dix lignes de calibre. »",,
0,bâtier (bourre à),"attestée dans l'article ""Bourre"", Savary, Dictionnaire 1.",,
0,batiste,"Savary, volume 1, 1748 : «Nom que l'on donne à une sorte de toile de lin»",,
,batonge (bois en),Absent des dictionnaires et de l’encyclopédie ,1,
1,baudands,S’écrit peut être « baudans » (source : (La Rochelle – 41 ETP 271 – 1749 – Page 3),1,
,baumanes,Peut être une erreur de retranscription (voir Sources locales – Nantes – Imports – 1765 – page 12),1,
0,baume,"Savary, volume 1, 1748 : « Espèce de gomme de grande réputation en Médecine & en Chirurgie […] remède souverain pour la guérison des plaies, & de quantité de maladies. »",,
0,baume de la mecque,"Savary, volume 1, 1748 : « Les deux principaux usages du baume blanc sont, l'un pour la santé et l'autre pour la beauté. C'est ce dernier qui proprement met le prix à cette liqueur […] pour l'embellissement du teint des Dames. »",,
0,bavette,"Littré : «  Dans l'ancienne artillerie, bâtarde, sorte de canon, long d'environ neuf pieds et demi, avec trois pouces dix lignes de calibre. » (Ou encore « En termes d'architecture, bande de plomb dont les bords des chéneaux sont couverts. »)",,
0,bavolet,"seconde pièce d'une coiffure, article ""Bavolet"", Encyclopédie.",,
0,baye de laurier,"Cf. P.H.Wallis  : Bay = Laurus. Grieve: The dried, black, aromatic berries come from Provence, Spain, Italy and Morocco.",,
0,"baye, bayette","étoffe de laine, Savary Dictionnaire 1, article ""Baye"".",,
0,bayette,"Savary, volume 1, 1748 : «  Baye : Les Anglais donnent ce nom à une étoffe de laine qu'on appelle en france Bayette »",,
,bayoulen,"source belge, aucune occurrance dans la BDD centrale. Traduction ?",,
1,bazin,"Peut-être est-ce basin, dans ce cas 6d",,
,bazzitte,"Absent des dictionnaires. Ecriture moyenne, peut être Bazille ? Source : National par direction – Imports – Lille – 1789 – Page 2)",1,1014
0,"bdellium, bedellium","Bdellium, ""gomme aromatique apportée du levant"", article ""Bdellium"", Encyclopédie.",,
0,beau vert broyé,"D’après le Littré, un « vert » peut être le « nom de certaines roches, marbres, substances. »  ou encore « différentes couleurs vertes préparées pour la peinture ou la teinture. »",,
,beaudeaux ,"Inconnu des dictionnaires, une seule occurrence. L’écriture du copiste paraît lisible (National – Objet général – Paris – 1776)",1,1524
0,beaume de copahu,"La résine de copaïba est un puissant cicatrisant à la fois antiseptique et anti-inflammatoire. Elle aide à la cicatrisation des plaies les plus difficiles et estompe visiblement les maladies de la peau comme l'eczéma, l'herpès et le psoriasis. ",,
0,beaume de sucrier,"Edouard Adolphe Duchesne, Répertoire des plantes utiles et des plantes vénéneuses du globe : « Il existe une deuxième écorce, une résine que l'on appelle baume du sucrier ou baume houmiri, encens du Brésil, que l'on dit vulnéraire et bonne contcoclearia.",,
0,becafique,"Becfigue, ""petit oiseau connu et fort estimé des Anciens"", article ""Becfigue ou Becafigue"", François-Alexandre Aubert de La Chesnaye des Bois, Dictionnaire raisonné et universel des animaux ou le règne animal, Paris, Chez Claude-Jean-Baptiste Bauche, 1759.",,
0,bedelin,Coton qui vient du Levant par Marseille,,
,benblanc,"Terme inconnu des dictionnaires et de l’encyclopédie, alors que la retranscription semble correcte (Source : Nantes -- 1762 -- Imports – AD44_C716.pdf, page 2)",,
0,benjoin,"Savary, volume 1, 1748 : « On tire du Benjoin des fleurs blanches propres pour les asthmatiques et une huile, qui est une espèce de baume pour les plaies. » + purgatif. Utilisé également en teinture",,
0,benjoin,"savary, volume 1, 1748 : « Espèce de gomme que quelques-uns mettent au nombre des encens et des aromates »",,
0,"benjoin, benjouin, bejouant, bonjoin","substance résineuse inflammable [...] fort employée dans les parfums. Elle vient des îles Philippines & de Sumatra, article ""Benjoin"", Encyclopédie.",,
0,"bergop, bergopsum, bergopzoom","Espèce de blonde que l'on fabrique à Berg-op-zoom et dans ses environs, article ""Blonde"", Pierre Jaubert, Dictionnaire raisoné universel des arts et métiers, Lyon, Leroy, 1801, p. 281.",,
0,"berne, bernus","Bernes ""Grande pièce d'étoffe et particulièrement de laine"", ATILF.",,
0,berse,"verse, ""manne d'osier dans laquelle on met du charbon"", Dictionnaire de l'Académie Française, 1802, article ""Verse"".",,
0,bête de somme cheval,chevaux et mulets,,
0,"bétille, bétille orgadi, bétille tarnatane ","« Mousselines, ou toiles de coton blanches, qui se fabriquent aux Indes Orientales, particulièrement à Pondichéry. Savary, Dictionnaire 1, p. 929.Blanchon, 1799, p. 691.",,
0,beunne,Certainement une erreur de retranscription : il fallait lire « beaume »,,
0,beurre à bastier,Erreur du retranscripteur , correspond à « bourre a bastier »,
,beurreterie,Ecriture difficilement lisible sur le pdf , peut être « beurretière » ? (National par direction – 1789 – Lille – Imports),1
,beurreterie en bar de fil blanc,"L’écriture du copiste paraît lisible (Source : 1789 - Importations - Direction de Lille – AN_F12_1667.pdf), mais le terme est inconnu des différents dictionnaires ; une seule occurrence dans la BDD. ",,
0,bezoar,"remède connu dans la Pharmacie, article ""Bezoar"", Encyclopédie.",,
0,bézoard,"Savary, volume 1, 1748 : « Pierre médicinale qu'on estime un souverain contre poison & un cardiaque excellent. On le donne aussi contre les vertiges, l'épilepsie, le palpitation au coeur, la colique »",,
0,bidache (carreaux de ),"petite ville de France, dans la basse Navarre, article ""Bidache"", Encyclopédie.",,
0,bierze,"Erreurs de retranscription à chaque fois : il s’agit de « bierre », qui est l’ancienne graphie de « bière », selon le wiktionnaire.",nombreuses,absent des dicos
0,bigarade,"orange aigre, article ""Oranger"", Encyclopédie.",,
,"bigons, bigous",erreur du retranscripteur : « bigous » correspond en fait à « bigons »,,
0,bigues,"grosse et longue piece de bois, article ""Bigue"", Encyclopédie.",,
0,bilardeau,"Pièce de bois, Godefroi Eugène Brixhe, Essai d'un répertoire raisonné de législation et de jurisprudence, en matière de mines, minières, tourbières, carrières, etc., suivi d'un vocabulaire des termes d'un usage général en France et en Belgique, dans l'exploitation des mines, Liège",,
0,bilardeaux,"pluriel de « bilardeau », voir ci-dessus.",,
0,bimbeloterie,"Tarif général des douanes de France, 1844 : « La bimbeloterie se compose d'une foule de petits objets en matières diverses, uniquement propres à servir de jouets aux enfants. »",,
1,binages à pousser,"Selon le Littré, le binage est « (Terme d'agriculture). Action de biner. Donner un binage ; ainsi la marchandise ici étudiée correspond sûrement à un outil pour le binage.",,
,birampeaux des Indes,Certainement une autre graphie de « birampot » (voir ci dessus). Ajouté à la normalisation orthographique.,,
0,birampots bleu,« Le birampot est un tissu très grossier » (Source : https://books.google.fr/books?id=d3IKWd7KQ_cC&pg=PT137&lpg=PT137&dq=birampot&source=bl&ots=-Nn2i65lj9&sig=7mXAxAOjRx_3Wxf7k2_7RTDxaxs&hl=fr&sa=X&ved=0ahUKEwinyPfaqanMAhVLAZoKHdxiDUcQ6AEIHTAA#v=onepage&q=birampot&f=false),,
0,bitume de judée,Wallis List : in 1725 additional rate book: easily read as Indiacum,,
,blallst,"Possible erreur du retranscripteur ; du point de vue de l’ordre alphabétique dans le registre du copiste, « blallst » ne fait pas sens étant placé après « blanc » par exemple. Voir Objet Général -- 1756 -- BMRouen_Ms_Montbret_155-1b.pdf",1,
0,blanc,Désigne dans l’Encyclopédie de Diderot et d’Alembert (http://artflsrv02.uchicago.edu/cgi-bin/philologic/getobject.pl?c.1:1446.encyclopedie0513) divers colorants et autres matériaux de couleurs blanche.,,
0,blanc d'espagne,Craie réduite en molécules extrêmement fines,,
0,blanc de baleine,"Dapriez, Dictionnaire classique des sciences naturelles, volume 1, 1837 : « Matière grasse, solide […] Le Blanc de Baleine est employé en pharmacie dans la préparation de quelques topiques gras  on en fait usage dans les arts pour la confecti",,
0,blanchette,"D’après le Littré, c’est un des noms donnés à la mâche (la salade)",,
,blanchissoire,"La retranscription semble correcte, mais le terme est inconnue des dictionnaires. Apparait une fois sous cette graphie, et une fois écrit « blanchisoire »",,
0,blanquette,Variété de bière avec un faible degré d'alcool,,
0,bled,"Savary, volume 1, 1748 : « Blé ou Bled»",,
0,blicourt,"serge de Blicourt, article ""Reglemens pour la Draperie"", Jacques Savary des Brûlons, Dictionnaire de commerce, vol. 3, Paris",,
0,blonde,"ouvrage de soie, Encyclopédie, article ""Blonde"".",,
0,blonde d'or,Dentelle de soie faite en auvergne,,
,blonde visage,Une seule occurrence dans la BDD , fait peut être référence à une blonde de soie ? ,
0,bluteau,"instrument dont les Boulangers se servent pour séparer le son d'avec la farine, Encyclopédie, article ""Bluteau"".",,
